Idx,win_rate0
0,0.5
1000,0.6
2000,0.7272727272727273
3000,0.6470588235294118
4000,0.5416666666666666
5000,0.4838709677419355
6000,0.4594594594594595
7000,0.4186046511627907
8000,0.3673469387755102
9000,0.34545454545454546
10000,0.3559322033898305
11000,0.3333333333333333
12000,0.3333333333333333
13000,0.35064935064935066
14000,0.36470588235294116
15000,0.35555555555555557
16000,0.3473684210526316
17000,0.34
18000,0.33
19000,0.3
20000,0.3
21000,0.3
22000,0.3
23000,0.28
24000,0.29
25000,0.33
26000,0.36
27000,0.37
28000,0.36
29000,0.4
30000,0.4
31000,0.37
32000,0.38
33000,0.37
34000,0.36
35000,0.38
36000,0.35
37000,0.34
38000,0.33
39000,0.33
40000,0.36
41000,0.38
42000,0.35
43000,0.36
44000,0.34
45000,0.35
46000,0.35
47000,0.34
48000,0.32
49000,0.31
50000,0.34
51000,0.34
52000,0.34
53000,0.32
54000,0.33
55000,0.34
56000,0.37
57000,0.37
58000,0.37
59000,0.37
60000,0.37
61000,0.36
62000,0.38
63000,0.39
64000,0.39
65000,0.4
66000,0.38
67000,0.35
68000,0.35
69000,0.36
70000,0.35
71000,0.34
72000,0.33
73000,0.31
74000,0.3
75000,0.29
76000,0.28
77000,0.27
78000,0.26
79000,0.24
80000,0.21
81000,0.2
82000,0.2
83000,0.2
84000,0.22
85000,0.23
86000,0.24
87000,0.25
88000,0.26
89000,0.25
90000,0.26
91000,0.27
92000,0.27
93000,0.25
94000,0.27
95000,0.26
96000,0.27
97000,0.26
98000,0.27
99000,0.26
100000,0.27
101000,0.31
102000,0.33
103000,0.33
104000,0.3
105000,0.31
106000,0.31
107000,0.3
108000,0.31
109000,0.33
110000,0.33
111000,0.33
112000,0.33
113000,0.33
114000,0.33
115000,0.32
116000,0.33
117000,0.33
118000,0.33
119000,0.29
120000,0.28
121000,0.27
122000,0.28
123000,0.28
124000,0.29
125000,0.29
126000,0.29
127000,0.29
128000,0.3
129000,0.3
130000,0.29
131000,0.3
132000,0.31
133000,0.3
134000,0.28
135000,0.28
136000,0.3
137000,0.31
138000,0.31
139000,0.31
140000,0.31
141000,0.35
142000,0.37
143000,0.38
144000,0.36
145000,0.33
146000,0.32
147000,0.36
148000,0.35
149000,0.37
150000,0.38
151000,0.39
152000,0.41
153000,0.39
154000,0.36
155000,0.37
156000,0.38
157000,0.39
158000,0.38
159000,0.34
160000,0.36
161000,0.36
162000,0.38
163000,0.35
164000,0.35
165000,0.34
166000,0.35
167000,0.33
168000,0.34
169000,0.35
170000,0.35
171000,0.34
172000,0.33
173000,0.29
174000,0.27
175000,0.29
176000,0.27
177000,0.28
178000,0.25
179000,0.28
180000,0.27
181000,0.29
182000,0.3
183000,0.29
184000,0.27
185000,0.26
186000,0.27
187000,0.28
188000,0.29
189000,0.3
190000,0.31
191000,0.32
192000,0.31
193000,0.32
194000,0.32
195000,0.3
196000,0.31
197000,0.29
198000,0.29
199000,0.29
200000,0.31
201000,0.31
202000,0.28
203000,0.28
204000,0.28
205000,0.28
206000,0.31
207000,0.31
208000,0.3
209000,0.29
210000,0.32
211000,0.33
212000,0.33
213000,0.33
214000,0.33
215000,0.35
216000,0.36
217000,0.35
218000,0.35
219000,0.36
220000,0.37
221000,0.35
222000,0.34
223000,0.36
224000,0.39
225000,0.38
226000,0.39
227000,0.41
228000,0.4
229000,0.37
230000,0.39
231000,0.41
232000,0.41
233000,0.42
234000,0.43
235000,0.43
236000,0.46
237000,0.45
238000,0.45
239000,0.44
240000,0.46
241000,0.49
242000,0.5
243000,0.54
244000,0.56
245000,0.57
246000,0.58
247000,0.6
248000,0.62
249000,0.65
250000,0.71
251000,0.73
252000,0.72
253000,0.77
254000,0.81
255000,0.82
256000,0.83
257000,0.85
258000,0.85
259000,0.88
260000,0.88
261000,0.89
262000,0.9
263000,0.88
264000,0.85
265000,0.85
266000,0.84
267000,0.84
268000,0.83
269000,0.81
270000,0.85
271000,0.86
272000,0.86
273000,0.85
274000,0.88
275000,0.89
276000,0.87
277000,0.88
278000,0.89
279000,0.89
280000,0.88
281000,0.87
282000,0.88
283000,0.87
284000,0.89
285000,0.89
286000,0.87
287000,0.88
288000,0.9
289000,0.89
290000,0.87
291000,0.88
292000,0.89
293000,0.9
294000,0.91
295000,0.92
296000,0.91
297000,0.92
298000,0.93
299000,0.93
300000,0.93
