Idx,win_rate0
0,0.5
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.029411764705882353
8000,0.02702702702702703
9000,0.025
10000,0.021739130434782608
11000,0.058823529411764705
12000,0.05660377358490566
13000,0.05357142857142857
14000,0.05172413793103448
15000,0.06451612903225806
16000,0.0625
17000,0.06153846153846154
18000,0.05970149253731343
19000,0.0547945205479452
20000,0.05263157894736842
21000,0.06172839506172839
22000,0.07142857142857142
23000,0.06818181818181818
24000,0.06382978723404255
25000,0.061855670103092786
26000,0.06060606060606061
27000,0.06
28000,0.06
29000,0.06
30000,0.06
31000,0.06
32000,0.07
33000,0.07
34000,0.07
35000,0.07
36000,0.07
37000,0.06
38000,0.07
39000,0.07
40000,0.06
41000,0.05
42000,0.05
43000,0.05
44000,0.05
45000,0.06
46000,0.06
47000,0.06
48000,0.07
49000,0.08
50000,0.08
51000,0.08
52000,0.08
53000,0.08
54000,0.07
55000,0.08
56000,0.08
57000,0.08
58000,0.09
59000,0.09
60000,0.09
61000,0.09
62000,0.09
63000,0.08
64000,0.08
65000,0.08
66000,0.08
67000,0.08
68000,0.08
69000,0.08
70000,0.07
71000,0.08
72000,0.08
73000,0.08
74000,0.08
75000,0.08
76000,0.08
77000,0.07
78000,0.06
79000,0.06
80000,0.05
81000,0.05
82000,0.05
83000,0.05
84000,0.04
85000,0.04
86000,0.04
87000,0.04
88000,0.04
89000,0.03
90000,0.03
91000,0.03
92000,0.03
93000,0.03
94000,0.03
95000,0.04
96000,0.04
97000,0.04
98000,0.04
99000,0.04
100000,0.04
101000,0.04
102000,0.04
103000,0.04
104000,0.04
105000,0.04
106000,0.04
107000,0.04
108000,0.04
109000,0.04
110000,0.04
111000,0.04
112000,0.05
113000,0.05
114000,0.05
115000,0.04
116000,0.04
117000,0.04
118000,0.04
119000,0.04
120000,0.04
121000,0.04
122000,0.04
123000,0.04
124000,0.04
125000,0.05
126000,0.05
127000,0.05
128000,0.05
129000,0.05
130000,0.05
131000,0.05
132000,0.05
133000,0.05
134000,0.05
135000,0.05
136000,0.05
137000,0.06
138000,0.04
139000,0.04
140000,0.04
141000,0.04
142000,0.04
143000,0.04
144000,0.04
145000,0.04
146000,0.04
147000,0.04
148000,0.04
149000,0.04
150000,0.04
151000,0.03
152000,0.04
153000,0.04
154000,0.04
155000,0.04
156000,0.04
157000,0.04
158000,0.05
159000,0.05
160000,0.05
161000,0.05
162000,0.05
163000,0.04
164000,0.03
165000,0.03
166000,0.03
167000,0.03
168000,0.03
169000,0.03
170000,0.04
171000,0.04
172000,0.04
173000,0.04
174000,0.04
175000,0.05
176000,0.05
177000,0.05
178000,0.06
179000,0.06
180000,0.06
181000,0.06
182000,0.06
183000,0.06
184000,0.06
185000,0.06
186000,0.06
187000,0.06
188000,0.07
189000,0.08
190000,0.08
191000,0.08
192000,0.08
193000,0.09
194000,0.09
195000,0.09
196000,0.09
197000,0.1
198000,0.1
199000,0.09
200000,0.09
201000,0.1
202000,0.11
203000,0.11
204000,0.12
205000,0.12
206000,0.11
207000,0.11
208000,0.11
209000,0.11
210000,0.11
211000,0.11
212000,0.12
213000,0.11
214000,0.11
215000,0.11
216000,0.1
217000,0.1
218000,0.1
219000,0.09
220000,0.09
221000,0.09
222000,0.09
223000,0.09
224000,0.09
225000,0.08
226000,0.07
227000,0.07
228000,0.07
229000,0.06
230000,0.06
231000,0.06
232000,0.06
233000,0.05
234000,0.05
235000,0.04
236000,0.04
237000,0.05
238000,0.05
239000,0.05
240000,0.05
241000,0.03
242000,0.03
243000,0.03
244000,0.02
245000,0.02
246000,0.02
247000,0.03
248000,0.03
249000,0.03
250000,0.03
251000,0.03
252000,0.02
253000,0.02
254000,0.02
255000,0.02
256000,0.02
257000,0.02
258000,0.02
259000,0.03
260000,0.03
261000,0.03
262000,0.03
263000,0.03
264000,0.03
265000,0.03
266000,0.03
267000,0.03
268000,0.03
269000,0.03
270000,0.03
271000,0.03
272000,0.03
273000,0.03
274000,0.04
275000,0.04
276000,0.04
277000,0.04
278000,0.04
279000,0.04
280000,0.04
281000,0.04
282000,0.04
283000,0.04
284000,0.03
285000,0.03
286000,0.03
287000,0.04
288000,0.04
289000,0.04
290000,0.05
291000,0.05
292000,0.05
293000,0.06
294000,0.06
295000,0.06
296000,0.06
297000,0.05
298000,0.05
299000,0.05
300000,0.05
301000,0.05
302000,0.05
303000,0.05
304000,0.05
305000,0.05
306000,0.05
307000,0.06
308000,0.06
309000,0.06
310000,0.05
311000,0.05
312000,0.05
313000,0.05
314000,0.06
315000,0.05
316000,0.05
317000,0.05
318000,0.05
319000,0.05
320000,0.06
321000,0.06
322000,0.06
323000,0.06
324000,0.07
325000,0.07
326000,0.07
327000,0.07
328000,0.07
329000,0.07
330000,0.07
331000,0.07
332000,0.07
333000,0.07
334000,0.06
335000,0.06
336000,0.06
337000,0.06
338000,0.06
339000,0.06
340000,0.06
341000,0.06
342000,0.08
343000,0.08
344000,0.08
345000,0.08
346000,0.08
347000,0.08
348000,0.08
349000,0.07
350000,0.07
351000,0.07
352000,0.07
353000,0.07
354000,0.07
355000,0.07
356000,0.08
357000,0.08
358000,0.08
359000,0.08
360000,0.08
361000,0.08
362000,0.07
363000,0.08
364000,0.07
365000,0.07
366000,0.07
367000,0.07
368000,0.07
369000,0.07
370000,0.05
371000,0.05
372000,0.05
373000,0.05
374000,0.06
375000,0.06
376000,0.06
377000,0.06
378000,0.06
379000,0.06
380000,0.07
381000,0.05
382000,0.05
383000,0.05
384000,0.05
385000,0.04
386000,0.03
387000,0.03
388000,0.03
389000,0.03
390000,0.03
391000,0.04
392000,0.04
