Idx,win_rate0
0,0.5
1000,0.5
2000,0.5
3000,0.375
4000,0.3636363636363636
5000,0.4
6000,0.4
7000,0.4090909090909091
8000,0.3703703703703703
9000,0.3870967741935484
10000,0.3333333333333333
11000,0.3414634146341463
12000,0.3333333333333333
13000,0.3265306122448979
14000,0.3333333333333333
15000,0.3269230769230769
16000,0.3333333333333333
17000,0.3387096774193548
18000,0.328125
19000,0.3235294117647059
20000,0.3428571428571428
21000,0.3287671232876712
22000,0.3421052631578947
23000,0.3625
24000,0.3658536585365853
25000,0.3764705882352941
26000,0.3932584269662921
27000,0.3870967741935484
28000,0.3854166666666667
29000,0.3939393939393939
30000,0.4
31000,0.4
32000,0.39
33000,0.39
34000,0.39
35000,0.39
36000,0.38
37000,0.37
38000,0.37
39000,0.4
40000,0.41
41000,0.41
42000,0.41
43000,0.41
44000,0.42
45000,0.42
46000,0.41
47000,0.43
48000,0.42
49000,0.43
50000,0.43
51000,0.41
52000,0.41
53000,0.41
54000,0.41
55000,0.4
56000,0.41
57000,0.4
58000,0.4
59000,0.42
60000,0.45
61000,0.46
62000,0.44
63000,0.45
64000,0.47
65000,0.47
66000,0.5
67000,0.5
68000,0.51
69000,0.5
70000,0.51
71000,0.52
72000,0.53
73000,0.52
74000,0.53
75000,0.51
76000,0.51
77000,0.52
78000,0.52
79000,0.52
80000,0.52
81000,0.53
82000,0.54
83000,0.52
84000,0.52
85000,0.51
86000,0.49
87000,0.48
88000,0.49
89000,0.48
90000,0.47
91000,0.46
92000,0.46
93000,0.47
94000,0.46
95000,0.47
96000,0.45
97000,0.44
98000,0.44
99000,0.45
100000,0.44
101000,0.43
102000,0.44
103000,0.44
104000,0.44
105000,0.46
106000,0.46
107000,0.46
108000,0.46
109000,0.46
110000,0.48
111000,0.47
112000,0.48
113000,0.5
114000,0.49
115000,0.49
116000,0.51
117000,0.54
118000,0.54
119000,0.55
120000,0.55
121000,0.54
122000,0.55
123000,0.55
124000,0.55
125000,0.55
126000,0.55
127000,0.56
128000,0.57
129000,0.57
130000,0.57
131000,0.57
132000,0.58
133000,0.58
134000,0.59
135000,0.58
136000,0.6
137000,0.58
138000,0.57
139000,0.56
140000,0.57
141000,0.56
142000,0.57
143000,0.57
144000,0.58
145000,0.58
146000,0.59
147000,0.6
148000,0.59
149000,0.58
150000,0.59
151000,0.58
152000,0.57
153000,0.59
154000,0.59
155000,0.6
156000,0.6
157000,0.6
158000,0.6
159000,0.61
160000,0.59
161000,0.59
162000,0.61
163000,0.6
164000,0.62
165000,0.61
166000,0.62
167000,0.62
168000,0.61
169000,0.62
170000,0.64
171000,0.63
172000,0.63
173000,0.64
174000,0.63
175000,0.64
176000,0.62
177000,0.62
178000,0.63
179000,0.62
180000,0.63
181000,0.63
182000,0.62
183000,0.62
184000,0.63
185000,0.62
186000,0.62
187000,0.63
188000,0.62
189000,0.63
190000,0.63
191000,0.63
192000,0.64
193000,0.63
194000,0.64
195000,0.64
196000,0.64
197000,0.63
198000,0.63
199000,0.63
200000,0.61
201000,0.62
202000,0.61
203000,0.61
204000,0.6
205000,0.59
206000,0.58
207000,0.59
208000,0.59
209000,0.59
210000,0.58
211000,0.6
212000,0.59
213000,0.61
214000,0.59
215000,0.59
216000,0.55
217000,0.56
218000,0.57
219000,0.57
220000,0.54
221000,0.54
222000,0.53
223000,0.54
224000,0.54
225000,0.55
226000,0.56
227000,0.55
228000,0.55
229000,0.54
230000,0.53
231000,0.53
232000,0.54
233000,0.54
234000,0.53
235000,0.52
236000,0.5
237000,0.5
238000,0.5
239000,0.5
240000,0.49
241000,0.48
242000,0.48
243000,0.5
244000,0.49
245000,0.5
246000,0.49
247000,0.48
248000,0.47
249000,0.47
250000,0.47
251000,0.49
252000,0.49
253000,0.5
254000,0.5
255000,0.5
256000,0.49
257000,0.47
258000,0.5
259000,0.51
260000,0.51
261000,0.5
262000,0.51
263000,0.51
264000,0.51
265000,0.5
266000,0.53
267000,0.54
268000,0.55
269000,0.56
270000,0.57
271000,0.58
272000,0.59
273000,0.58
274000,0.61
275000,0.63
276000,0.62
277000,0.61
278000,0.61
279000,0.61
280000,0.6
281000,0.61
282000,0.61
283000,0.59
284000,0.59
285000,0.61
286000,0.63
287000,0.61
288000,0.61
289000,0.61
290000,0.61
291000,0.61
292000,0.6
293000,0.58
294000,0.57
295000,0.57
296000,0.56
297000,0.57
298000,0.56
299000,0.57
300000,0.56
301000,0.58
302000,0.58
303000,0.57
304000,0.56
305000,0.56
306000,0.58
307000,0.57
308000,0.55
309000,0.52
310000,0.54
311000,0.55
312000,0.53
313000,0.52
314000,0.54
315000,0.54
316000,0.56
317000,0.56
318000,0.57
319000,0.57
320000,0.58
321000,0.57
322000,0.6
323000,0.61
324000,0.6
325000,0.59
326000,0.59
327000,0.59
328000,0.58
329000,0.58
330000,0.61
331000,0.59
332000,0.59
333000,0.57
334000,0.57
335000,0.57
336000,0.55
337000,0.54
338000,0.55
339000,0.57
340000,0.6
341000,0.61
342000,0.61
343000,0.59
344000,0.61
345000,0.61
346000,0.6
347000,0.6
348000,0.6
349000,0.64
350000,0.64
351000,0.65
352000,0.64
353000,0.63
354000,0.61
355000,0.58
356000,0.59
357000,0.61
358000,0.61
359000,0.62
360000,0.59
361000,0.59
362000,0.63
363000,0.6
364000,0.59
365000,0.6
366000,0.6
367000,0.59
368000,0.62
369000,0.6
370000,0.61
371000,0.6
372000,0.63
373000,0.64
374000,0.66
375000,0.67
376000,0.68
377000,0.71
378000,0.73
379000,0.72
380000,0.71
381000,0.7
382000,0.67
383000,0.67
384000,0.67
385000,0.68
386000,0.69
387000,0.69
388000,0.7
389000,0.71
390000,0.68
391000,0.64
392000,0.59
393000,0.59
394000,0.56
395000,0.55
396000,0.57
397000,0.61
398000,0.65
399000,0.69
400000,0.68
401000,0.66
402000,0.69
403000,0.67
404000,0.67
405000,0.65
406000,0.67
407000,0.63
408000,0.63
409000,0.6
410000,0.6
411000,0.59
412000,0.57
413000,0.6
414000,0.62
415000,0.63
416000,0.65
417000,0.65
418000,0.62
419000,0.65
420000,0.64
421000,0.65
422000,0.63
423000,0.64
424000,0.65
425000,0.64
426000,0.64
427000,0.63
428000,0.65
429000,0.65
430000,0.65
431000,0.65
432000,0.68
433000,0.7
434000,0.64
435000,0.64
436000,0.65
437000,0.66
438000,0.64
439000,0.66
440000,0.68
441000,0.67
442000,0.66
443000,0.63
444000,0.63
445000,0.61
446000,0.61
447000,0.6
448000,0.61
449000,0.67
450000,0.67
451000,0.66
452000,0.66
453000,0.62
454000,0.63
455000,0.62
456000,0.62
457000,0.64
458000,0.65
459000,0.67
460000,0.66
461000,0.7
462000,0.69
463000,0.69
464000,0.71
465000,0.71
466000,0.73
467000,0.7
468000,0.7
469000,0.71
470000,0.69
471000,0.72
472000,0.74
473000,0.72
474000,0.73
475000,0.71
476000,0.72
477000,0.69
478000,0.7
479000,0.69
480000,0.7
481000,0.71
482000,0.71
483000,0.72
484000,0.74
485000,0.72
486000,0.71
487000,0.7
488000,0.7
489000,0.71
490000,0.74
491000,0.72
492000,0.73
493000,0.75
494000,0.74
495000,0.75
496000,0.72
497000,0.73
498000,0.71
499000,0.72
500000,0.72
501000,0.73
502000,0.71
503000,0.71
504000,0.74
505000,0.74
506000,0.74
507000,0.74
508000,0.73
509000,0.72
510000,0.71
511000,0.71
512000,0.72
513000,0.71
514000,0.71
515000,0.72
516000,0.72
517000,0.72
518000,0.72
519000,0.75
520000,0.73
521000,0.76
522000,0.73
523000,0.74
524000,0.74
525000,0.71
526000,0.7
527000,0.72
528000,0.71
529000,0.72
530000,0.72
531000,0.74
532000,0.75
533000,0.75
534000,0.75
535000,0.73
536000,0.72
537000,0.72
538000,0.71
539000,0.73
540000,0.74
541000,0.73
542000,0.74
543000,0.71
544000,0.72
545000,0.72
546000,0.73
547000,0.75
548000,0.75
549000,0.77
