Idx,win_rate0
0,0.5
1000,0.2
2000,0.5
3000,0.5333333333333333
4000,0.6190476190476191
5000,0.6666666666666666
6000,0.6896551724137931
7000,0.6666666666666666
8000,0.717948717948718
9000,0.6666666666666666
10000,0.6851851851851852
11000,0.6935483870967742
12000,0.6764705882352942
13000,0.6805555555555556
14000,0.684931506849315
15000,0.6708860759493671
16000,0.6463414634146342
17000,0.6352941176470588
18000,0.6292134831460674
19000,0.6344086021505376
20000,0.6262626262626263
21000,0.62
22000,0.61
23000,0.61
24000,0.62
25000,0.61
26000,0.6
27000,0.59
28000,0.57
29000,0.58
30000,0.6
31000,0.59
32000,0.59
33000,0.59
34000,0.6
35000,0.59
36000,0.6
37000,0.62
38000,0.62
39000,0.61
40000,0.61
41000,0.63
42000,0.63
43000,0.65
44000,0.64
45000,0.64
46000,0.66
47000,0.68
48000,0.68
49000,0.69
50000,0.69
51000,0.7
52000,0.69
53000,0.7
54000,0.71
55000,0.69
56000,0.68
57000,0.67
58000,0.66
59000,0.64
60000,0.65
61000,0.64
62000,0.63
63000,0.64
64000,0.64
65000,0.63
66000,0.65
67000,0.65
68000,0.64
69000,0.62
70000,0.59
71000,0.58
72000,0.58
73000,0.56
74000,0.54
75000,0.54
76000,0.5
77000,0.51
78000,0.52
79000,0.51
80000,0.52
81000,0.54
82000,0.54
83000,0.56
84000,0.56
85000,0.56
86000,0.55
87000,0.55
88000,0.55
89000,0.56
90000,0.58
91000,0.59
92000,0.61
93000,0.61
94000,0.61
95000,0.62
96000,0.64
97000,0.66
98000,0.66
99000,0.66
100000,0.67
101000,0.66
102000,0.67
103000,0.66
104000,0.66
105000,0.67
106000,0.64
107000,0.63
108000,0.64
109000,0.66
110000,0.66
111000,0.66
112000,0.65
113000,0.64
114000,0.63
115000,0.63
116000,0.66
117000,0.64
118000,0.63
119000,0.62
120000,0.63
121000,0.62
122000,0.62
123000,0.6
124000,0.62
125000,0.63
126000,0.64
127000,0.63
128000,0.63
129000,0.65
130000,0.64
131000,0.63
132000,0.64
133000,0.63
134000,0.63
135000,0.62
136000,0.63
137000,0.6
138000,0.59
139000,0.6
140000,0.62
141000,0.63
142000,0.63
143000,0.64
144000,0.65
145000,0.67
146000,0.68
147000,0.66
148000,0.65
149000,0.65
150000,0.65
151000,0.67
152000,0.66
153000,0.65
154000,0.64
155000,0.63
156000,0.63
157000,0.64
158000,0.65
159000,0.66
160000,0.67
161000,0.66
162000,0.68
163000,0.68
164000,0.68
165000,0.68
166000,0.67
167000,0.66
168000,0.66
169000,0.67
170000,0.65
171000,0.62
172000,0.63
173000,0.65
174000,0.64
175000,0.63
176000,0.64
177000,0.66
178000,0.66
179000,0.67
180000,0.67
181000,0.67
182000,0.67
183000,0.65
184000,0.65
185000,0.64
186000,0.65
187000,0.65
188000,0.65
189000,0.66
190000,0.66
191000,0.67
192000,0.67
193000,0.66
194000,0.65
195000,0.66
196000,0.65
197000,0.67
198000,0.68
199000,0.7
200000,0.7
201000,0.72
202000,0.72
203000,0.73
204000,0.69
205000,0.68
206000,0.7
207000,0.72
208000,0.74
209000,0.72
210000,0.71
211000,0.7
212000,0.68
213000,0.66
214000,0.66
215000,0.67
216000,0.66
217000,0.65
218000,0.66
219000,0.67
220000,0.66
221000,0.67
222000,0.65
223000,0.63
224000,0.62
225000,0.62
226000,0.62
227000,0.61
228000,0.61
229000,0.61
230000,0.59
231000,0.57
232000,0.58
233000,0.59
234000,0.61
235000,0.61
236000,0.62
237000,0.62
238000,0.63
239000,0.66
240000,0.66
241000,0.68
242000,0.68
243000,0.69
244000,0.68
245000,0.68
246000,0.66
247000,0.67
248000,0.69
249000,0.69
250000,0.71
251000,0.69
252000,0.71
253000,0.71
254000,0.71
255000,0.71
256000,0.72
257000,0.72
258000,0.71
259000,0.69
260000,0.69
261000,0.71
262000,0.69
263000,0.68
264000,0.7
265000,0.72
266000,0.7
267000,0.69
268000,0.68
269000,0.7
270000,0.72
271000,0.73
272000,0.71
273000,0.7
274000,0.7
275000,0.68
276000,0.69
277000,0.71
278000,0.7
279000,0.71
280000,0.69
281000,0.69
282000,0.71
283000,0.7
284000,0.69
285000,0.67
286000,0.69
287000,0.68
288000,0.67
289000,0.67
290000,0.66
291000,0.64
