Idx,win_rate0
0,0.5
1000,0.1428571428571428
2000,0.0909090909090909
3000,0.3
4000,0.3461538461538461
5000,0.3225806451612903
6000,0.375
7000,0.3958333333333333
8000,0.4150943396226415
9000,0.3968253968253968
10000,0.4246575342465753
11000,0.4230769230769231
12000,0.4166666666666667
13000,0.4111111111111111
14000,0.4329896907216495
15000,0.42
16000,0.45
17000,0.44
18000,0.42
19000,0.41
20000,0.42
21000,0.41
22000,0.4
23000,0.38
24000,0.35
25000,0.35
26000,0.35
27000,0.36
28000,0.37
29000,0.38
30000,0.38
31000,0.37
32000,0.38
33000,0.4
34000,0.4
35000,0.41
36000,0.42
37000,0.44
38000,0.44
39000,0.45
40000,0.44
41000,0.43
42000,0.41
43000,0.42
44000,0.44
45000,0.42
46000,0.44
47000,0.42
48000,0.42
49000,0.41
50000,0.41
51000,0.45
52000,0.44
53000,0.44
54000,0.45
55000,0.44
56000,0.47
57000,0.49
58000,0.51
59000,0.49
60000,0.46
61000,0.49
62000,0.48
63000,0.47
64000,0.47
65000,0.43
66000,0.41
67000,0.4
68000,0.39
69000,0.4
70000,0.39
71000,0.34
72000,0.33
73000,0.35
74000,0.36
75000,0.36
76000,0.38
77000,0.39
78000,0.41
79000,0.45
80000,0.45
81000,0.44
82000,0.43
83000,0.42
84000,0.45
85000,0.47
86000,0.43
87000,0.43
88000,0.43
89000,0.41
90000,0.41
91000,0.4
92000,0.38
93000,0.39
94000,0.39
95000,0.41
96000,0.44
97000,0.42
98000,0.45
99000,0.5
100000,0.5
101000,0.49
102000,0.49
103000,0.49
104000,0.48
105000,0.47
106000,0.49
107000,0.51
108000,0.5
109000,0.47
110000,0.47
111000,0.48
112000,0.48
113000,0.48
114000,0.52
115000,0.5
116000,0.52
117000,0.52
118000,0.55
119000,0.54
120000,0.51
121000,0.49
122000,0.48
123000,0.45
124000,0.45
125000,0.43
126000,0.47
127000,0.44
128000,0.48
129000,0.46
130000,0.48
131000,0.54
132000,0.58
133000,0.62
134000,0.61
135000,0.62
136000,0.59
137000,0.59
138000,0.6
139000,0.61
140000,0.62
141000,0.65
142000,0.66
143000,0.7
144000,0.69
145000,0.77
146000,0.78
147000,0.78
148000,0.79
149000,0.8
150000,0.81
151000,0.84
152000,0.86
153000,0.86
154000,0.85
155000,0.87
156000,0.84
157000,0.83
158000,0.85
159000,0.85
160000,0.85
161000,0.87
162000,0.89
163000,0.88
164000,0.89
165000,0.9
166000,0.89
167000,0.91
168000,0.91
169000,0.91
170000,0.92
171000,0.91
172000,0.91
173000,0.86
174000,0.88
175000,0.9
176000,0.88
177000,0.88
178000,0.91
179000,0.92
180000,0.89
181000,0.87
182000,0.87
183000,0.88
184000,0.87
185000,0.86
186000,0.88
187000,0.92
188000,0.92
189000,0.92
190000,0.92
191000,0.93
192000,0.93
193000,0.94
194000,0.95
195000,0.96
196000,0.95
197000,0.95
198000,0.95
199000,0.93
200000,0.91
201000,0.91
202000,0.94
203000,0.93
204000,0.93
205000,0.92
206000,0.93
207000,0.94
208000,0.93
209000,0.91
210000,0.91
211000,0.92
212000,0.91
213000,0.9
214000,0.89
215000,0.91
216000,0.9
217000,0.92
218000,0.92
219000,0.93
220000,0.93
221000,0.93
222000,0.92
223000,0.91
224000,0.92
225000,0.92
226000,0.9
227000,0.9
228000,0.9
229000,0.9
230000,0.88
231000,0.89
232000,0.9
233000,0.9
234000,0.89
235000,0.89
236000,0.9
237000,0.91
238000,0.92
239000,0.93
240000,0.95
241000,0.96
242000,0.97
243000,0.96
244000,0.97
245000,0.97
246000,0.96
247000,0.96
248000,0.94
249000,0.92
250000,0.92
251000,0.91
252000,0.9
253000,0.92
254000,0.93
255000,0.93
256000,0.93
257000,0.91
258000,0.9
259000,0.89
260000,0.87
261000,0.87
262000,0.87
263000,0.89
264000,0.88
265000,0.89
266000,0.93
267000,0.92
268000,0.91
269000,0.93
270000,0.91
271000,0.91
272000,0.91
273000,0.92
274000,0.92
275000,0.91
276000,0.92
277000,0.92
278000,0.91
279000,0.93
280000,0.93
281000,0.9
282000,0.91
283000,0.89
284000,0.9
285000,0.89
286000,0.89
287000,0.89
288000,0.89
289000,0.9
290000,0.9
291000,0.88
292000,0.89
293000,0.88
294000,0.89
295000,0.89
296000,0.92
297000,0.92
298000,0.9
299000,0.9
300000,0.9
301000,0.88
302000,0.87
303000,0.86
304000,0.88
305000,0.89
306000,0.88
307000,0.9
308000,0.9
309000,0.89
310000,0.88
311000,0.9
312000,0.88
313000,0.88
314000,0.89
315000,0.86
316000,0.87
317000,0.87
318000,0.85
319000,0.87
320000,0.85
321000,0.85
322000,0.84
323000,0.85
324000,0.86
325000,0.87
326000,0.88
327000,0.89
328000,0.89
329000,0.9
330000,0.92
331000,0.93
332000,0.95
333000,0.96
334000,0.97
335000,0.95
336000,0.95
337000,0.93
338000,0.94
339000,0.92
340000,0.9
341000,0.9
342000,0.89
343000,0.88
344000,0.87
345000,0.86
346000,0.86
347000,0.83
348000,0.82
349000,0.82
350000,0.85
351000,0.87
352000,0.86
353000,0.87
354000,0.87
355000,0.85
356000,0.84
357000,0.8
358000,0.82
359000,0.81
360000,0.82
361000,0.83
362000,0.85
363000,0.85
364000,0.88
365000,0.87
366000,0.88
367000,0.88
368000,0.88
369000,0.87
370000,0.86
371000,0.86
372000,0.84
373000,0.84
374000,0.82
375000,0.83
376000,0.84
377000,0.81
378000,0.81
379000,0.81
380000,0.83
381000,0.84
382000,0.82
383000,0.85
384000,0.8
385000,0.81
386000,0.79
387000,0.81
388000,0.84
389000,0.85
390000,0.88
391000,0.91
392000,0.93
393000,0.93
394000,0.94
395000,0.93
396000,0.92
397000,0.9
398000,0.88
399000,0.86
400000,0.88
401000,0.9
402000,0.89
403000,0.9
404000,0.93
405000,0.91
406000,0.9
407000,0.9
408000,0.88
409000,0.87
410000,0.88
411000,0.86
412000,0.86
413000,0.85
414000,0.83
415000,0.79
416000,0.81
417000,0.79
418000,0.77
419000,0.81
420000,0.81
421000,0.81
422000,0.81
423000,0.81
424000,0.8
425000,0.79
426000,0.77
427000,0.8
428000,0.8
429000,0.81
430000,0.84
431000,0.85
432000,0.87
433000,0.93
434000,0.95
435000,0.96
436000,0.96
437000,0.95
438000,0.93
439000,0.91
440000,0.94
441000,0.93
442000,0.92
443000,0.92
444000,0.91
445000,0.9
446000,0.89
447000,0.89
448000,0.88
449000,0.89
450000,0.88
451000,0.87
452000,0.84
453000,0.86
454000,0.82
455000,0.83
456000,0.82
457000,0.85
458000,0.82
459000,0.85
460000,0.83
461000,0.81
462000,0.83
463000,0.86
464000,0.86
465000,0.86
466000,0.9
467000,0.87
468000,0.87
469000,0.88
470000,0.86
471000,0.85
472000,0.85
473000,0.8
474000,0.82
475000,0.87
476000,0.88
477000,0.91
478000,0.96
479000,0.96
480000,0.94
481000,0.92
482000,0.91
483000,0.89
484000,0.89
485000,0.91
486000,0.94
487000,0.94
488000,0.94
489000,0.93
490000,0.91
491000,0.89
492000,0.88
493000,0.88
494000,0.89
495000,0.91
496000,0.9
497000,0.91
498000,0.94
499000,0.9
500000,0.9
501000,0.9
502000,0.89
503000,0.89
504000,0.89
505000,0.87
506000,0.87
507000,0.87
508000,0.88
509000,0.89
510000,0.9
511000,0.9
512000,0.89
513000,0.88
514000,0.88
515000,0.88
516000,0.9
517000,0.88
518000,0.88
519000,0.89
520000,0.9
521000,0.92
522000,0.96
523000,0.98
524000,0.99
525000,0.97
526000,0.95
527000,0.94
528000,0.93
529000,0.92
530000,0.91
531000,0.89
532000,0.9
533000,0.88
534000,0.88
535000,0.89
536000,0.89
537000,0.91
538000,0.92
539000,0.92
540000,0.92
541000,0.9
542000,0.9
543000,0.91
544000,0.9
545000,0.89
546000,0.88
547000,0.89
548000,0.86
549000,0.89
550000,0.89
551000,0.92
552000,0.91
553000,0.9
554000,0.89
555000,0.88
556000,0.87
557000,0.89
558000,0.87
559000,0.88
560000,0.86
561000,0.87
562000,0.9
563000,0.91
564000,0.9
565000,0.89
566000,0.87
567000,0.85
568000,0.86
569000,0.87
570000,0.88
571000,0.88
572000,0.88
573000,0.85
574000,0.82
575000,0.8
576000,0.8
577000,0.83
578000,0.84
579000,0.84
580000,0.87
581000,0.88
582000,0.87
583000,0.89
584000,0.91
585000,0.91
586000,0.91
587000,0.89
588000,0.89
589000,0.9
590000,0.9
591000,0.91
592000,0.87
593000,0.9
594000,0.89
595000,0.9
596000,0.9
597000,0.94
598000,0.94
599000,0.92
600000,0.92
601000,0.9
602000,0.86
603000,0.83
604000,0.85
605000,0.86
606000,0.88
607000,0.89
608000,0.9
609000,0.9
610000,0.88
611000,0.88
612000,0.88
613000,0.91
614000,0.9
615000,0.92
616000,0.92
617000,0.92
618000,0.9
619000,0.9
620000,0.89
621000,0.89
622000,0.88
623000,0.88
624000,0.86
625000,0.84
626000,0.86
627000,0.83
628000,0.86
629000,0.89
630000,0.88
631000,0.88
632000,0.91
633000,0.9
634000,0.89
635000,0.91
636000,0.89
637000,0.86
638000,0.9
639000,0.88
640000,0.87
641000,0.88
642000,0.89
643000,0.88
644000,0.87
645000,0.86
646000,0.85
647000,0.87
648000,0.86
649000,0.87
650000,0.91
651000,0.92
652000,0.91
653000,0.9
654000,0.88
655000,0.87
656000,0.84
657000,0.83
658000,0.85
659000,0.83
660000,0.82
661000,0.85
662000,0.87
663000,0.86
664000,0.88
665000,0.89
666000,0.91
667000,0.88
668000,0.89
669000,0.89
670000,0.86
671000,0.82
672000,0.79
673000,0.78
674000,0.79
675000,0.81
676000,0.83
677000,0.87
678000,0.84
679000,0.85
680000,0.85
681000,0.88
682000,0.9
683000,0.93
684000,0.91
685000,0.88
686000,0.88
687000,0.84
688000,0.84
689000,0.83
690000,0.84
691000,0.83
692000,0.83
693000,0.86
694000,0.86
695000,0.87
696000,0.89
697000,0.9
698000,0.88
699000,0.86
700000,0.86
701000,0.84
702000,0.86
703000,0.89
704000,0.88
705000,0.87
706000,0.88
707000,0.87
708000,0.88
709000,0.86
710000,0.86
711000,0.83
712000,0.85
713000,0.83
714000,0.82
715000,0.83
716000,0.88
717000,0.91
718000,0.9
719000,0.92
720000,0.92
721000,0.91
722000,0.91
723000,0.89
724000,0.9
725000,0.88
726000,0.85
727000,0.84
728000,0.8
729000,0.8
730000,0.8
731000,0.82
732000,0.81
733000,0.83
734000,0.86
735000,0.83
736000,0.85
737000,0.85
738000,0.85
739000,0.85
740000,0.87
741000,0.88
742000,0.89
743000,0.92
744000,0.91
745000,0.89
746000,0.89
747000,0.88
748000,0.89
749000,0.89
750000,0.92
751000,0.95
752000,0.95
753000,0.95
754000,0.96
755000,0.94
756000,0.92
757000,0.91
758000,0.89
759000,0.89
760000,0.89
761000,0.89
762000,0.88
763000,0.9
764000,0.9
765000,0.89
766000,0.88
767000,0.89
768000,0.86
769000,0.87
770000,0.88
771000,0.89
772000,0.89
773000,0.92
774000,0.92
775000,0.91
776000,0.89
777000,0.89
778000,0.88
779000,0.88
780000,0.88
781000,0.92
782000,0.9
783000,0.9
784000,0.88
785000,0.9
786000,0.87
787000,0.87
788000,0.84
789000,0.85
790000,0.83
791000,0.83
792000,0.83
793000,0.86
794000,0.86
795000,0.87
796000,0.88
797000,0.87
798000,0.85
799000,0.86
800000,0.87
801000,0.88
802000,0.9
803000,0.91
804000,0.91
805000,0.89
806000,0.88
807000,0.87
808000,0.84
809000,0.84
810000,0.87
811000,0.87
812000,0.87
813000,0.87
814000,0.88
815000,0.86
816000,0.86
817000,0.85
818000,0.85
819000,0.86
820000,0.87
821000,0.84
822000,0.84
823000,0.83
824000,0.8
825000,0.79
826000,0.81
827000,0.81
828000,0.8
829000,0.83
830000,0.82
831000,0.81
832000,0.81
833000,0.82
834000,0.83
835000,0.81
836000,0.81
837000,0.82
838000,0.83
839000,0.8
840000,0.84
841000,0.87
842000,0.88
843000,0.89
844000,0.89
845000,0.84
846000,0.85
847000,0.82
848000,0.82
849000,0.82
850000,0.84
851000,0.83
852000,0.83
853000,0.82
854000,0.82
855000,0.83
856000,0.82
857000,0.85
858000,0.89
859000,0.89
860000,0.89
861000,0.88
862000,0.86
863000,0.83
864000,0.83
865000,0.83
866000,0.83
867000,0.82
868000,0.83
869000,0.8
870000,0.78
871000,0.8
872000,0.79
873000,0.77
874000,0.79
875000,0.81
876000,0.81
877000,0.82
878000,0.81
879000,0.82
880000,0.8
881000,0.81
882000,0.79
883000,0.8
884000,0.81
885000,0.81
886000,0.79
887000,0.83
888000,0.82
889000,0.81
890000,0.83
891000,0.84
892000,0.8
893000,0.79
894000,0.79
895000,0.8
896000,0.81
897000,0.83
898000,0.84
899000,0.85
900000,0.88
901000,0.87
902000,0.84
903000,0.85
904000,0.86
905000,0.83
906000,0.85
907000,0.85
908000,0.85
909000,0.84
910000,0.83
911000,0.81
912000,0.81
913000,0.82
914000,0.81
915000,0.81
916000,0.82
917000,0.84
918000,0.84
919000,0.83
920000,0.82
921000,0.81
922000,0.78
923000,0.77
924000,0.79
925000,0.8
926000,0.83
927000,0.81
928000,0.81
929000,0.8
930000,0.8
931000,0.8
932000,0.84
933000,0.85
934000,0.88
935000,0.88
936000,0.87
937000,0.88
938000,0.88
939000,0.86
940000,0.86
941000,0.87
942000,0.85
943000,0.85
944000,0.86
945000,0.85
946000,0.85
947000,0.85
948000,0.84
949000,0.85
950000,0.85
951000,0.84
952000,0.84
953000,0.84
954000,0.84
955000,0.85
956000,0.83
957000,0.83
958000,0.83
959000,0.82
960000,0.8
961000,0.8
962000,0.82
963000,0.83
964000,0.81
965000,0.83
966000,0.8
967000,0.8
968000,0.81
969000,0.83
970000,0.83
971000,0.84
972000,0.87
973000,0.87
974000,0.85
975000,0.83
976000,0.83
977000,0.81
978000,0.81
979000,0.82
980000,0.84
981000,0.85
982000,0.82
983000,0.79
984000,0.79
985000,0.81
986000,0.8
987000,0.83
988000,0.84
989000,0.85
990000,0.83
991000,0.79
992000,0.78
993000,0.79
994000,0.81
995000,0.83
996000,0.83
997000,0.84
998000,0.84
999000,0.84
