Idx,win_rate0
0,0.5
1000,0.1538461538461538
2000,0.1071428571428571
3000,0.081081081081081
4000,0.0652173913043478
5000,0.0535714285714285
6000,0.044776119402985
7000,0.0394736842105263
8000,0.0344827586206896
9000,0.0306122448979591
10000,0.02
11000,0.02
12000,0.03
13000,0.06
14000,0.07
15000,0.08
16000,0.09
17000,0.1
18000,0.12
19000,0.11
20000,0.1
21000,0.09
22000,0.09
23000,0.06
24000,0.06
25000,0.05
26000,0.05
27000,0.04
28000,0.04
29000,0.05
30000,0.03
31000,0.02
32000,0.02
33000,0.02
34000,0.02
35000,0.02
36000,0.02
37000,0.03
38000,0.03
39000,0.03
40000,0.03
41000,0.04
42000,0.04
43000,0.04
44000,0.04
45000,0.04
46000,0.04
47000,0.04
48000,0.04
49000,0.04
50000,0.03
51000,0.03
52000,0.03
53000,0.04
54000,0.04
55000,0.05
56000,0.05
57000,0.05
58000,0.05
59000,0.05
60000,0.05
61000,0.05
62000,0.05
63000,0.05
64000,0.05
65000,0.05
66000,0.05
67000,0.05
68000,0.06
69000,0.06
70000,0.07
71000,0.07
72000,0.07
73000,0.07
74000,0.07
75000,0.07
76000,0.07
77000,0.07
78000,0.07
79000,0.06
80000,0.06
81000,0.06
82000,0.05
83000,0.05
84000,0.05
85000,0.05
86000,0.05
87000,0.05
88000,0.03
89000,0.04
90000,0.04
91000,0.04
92000,0.03
93000,0.03
94000,0.04
95000,0.03
96000,0.02
97000,0.02
98000,0.02
99000,0.03
100000,0.03
101000,0.03
102000,0.03
103000,0.03
104000,0.03
105000,0.05
106000,0.05
107000,0.06
108000,0.07
109000,0.08
110000,0.08
111000,0.08
112000,0.07
113000,0.09
114000,0.09
115000,0.09
116000,0.09
117000,0.09
118000,0.08
119000,0.08
120000,0.08
121000,0.09
122000,0.1
123000,0.1
124000,0.11
125000,0.11
126000,0.11
127000,0.11
128000,0.11
129000,0.09
130000,0.09
131000,0.09
132000,0.09
133000,0.07
134000,0.07
135000,0.07
136000,0.07
137000,0.05
138000,0.05
139000,0.05
140000,0.05
141000,0.05
142000,0.05
143000,0.05
144000,0.05
145000,0.05
146000,0.04
147000,0.04
148000,0.04
149000,0.04
150000,0.05
151000,0.06
152000,0.06
153000,0.06
154000,0.06
155000,0.06
156000,0.06
157000,0.06
158000,0.07
159000,0.07
160000,0.07
161000,0.07
162000,0.08
163000,0.08
164000,0.08
165000,0.08
166000,0.09
167000,0.09
168000,0.1
169000,0.1
170000,0.11
171000,0.11
172000,0.11
173000,0.11
174000,0.11
175000,0.1
176000,0.1
177000,0.09
178000,0.09
179000,0.09
180000,0.08
181000,0.07
182000,0.07
183000,0.07
184000,0.07
185000,0.06
186000,0.08
187000,0.08
188000,0.09
189000,0.08
190000,0.07
191000,0.07
192000,0.06
193000,0.07
194000,0.06
195000,0.06
196000,0.06
197000,0.07
198000,0.07
199000,0.08
200000,0.08
201000,0.07
202000,0.07
203000,0.06
204000,0.05
205000,0.05
206000,0.05
207000,0.05
208000,0.05
209000,0.07
210000,0.07
211000,0.07
212000,0.08
213000,0.08
214000,0.08
215000,0.09
216000,0.08
217000,0.08
218000,0.08
219000,0.08
220000,0.08
221000,0.09
222000,0.1
223000,0.1
224000,0.1
