Idx,win_rate0
0,0.5
1000,0.5
2000,0.4
3000,0.5555555555555556
4000,0.6
5000,0.5
6000,0.5
7000,0.5
8000,0.5
9000,0.47368421052631576
10000,0.4418604651162791
11000,0.4791666666666667
12000,0.48
13000,0.45454545454545453
14000,0.4745762711864407
15000,0.48333333333333334
16000,0.4696969696969697
17000,0.4583333333333333
18000,0.4473684210526316
19000,0.4375
20000,0.47126436781609193
21000,0.47191011235955055
22000,0.4787234042553192
23000,0.4791666666666667
24000,0.46
25000,0.44
26000,0.44
27000,0.43
28000,0.47
29000,0.48
30000,0.5
31000,0.5
32000,0.48
33000,0.49
34000,0.48
35000,0.48
36000,0.48
37000,0.51
38000,0.5
39000,0.51
40000,0.5
41000,0.51
42000,0.52
43000,0.52
44000,0.54
45000,0.57
46000,0.59
47000,0.56
48000,0.54
49000,0.53
50000,0.53
51000,0.56
52000,0.59
53000,0.59
54000,0.58
55000,0.6
56000,0.61
57000,0.59
58000,0.58
59000,0.59
60000,0.59
61000,0.59
62000,0.59
63000,0.59
64000,0.6
65000,0.6
66000,0.61
67000,0.62
68000,0.62
69000,0.62
70000,0.65
71000,0.63
72000,0.64
73000,0.66
74000,0.65
75000,0.66
76000,0.65
77000,0.66
78000,0.66
79000,0.66
80000,0.66
81000,0.66
82000,0.66
83000,0.66
84000,0.65
85000,0.63
86000,0.64
87000,0.62
88000,0.61
89000,0.6
90000,0.62
91000,0.66
92000,0.65
93000,0.72
94000,0.72
95000,0.71
96000,0.71
97000,0.69
98000,0.68
99000,0.67
100000,0.64
101000,0.64
102000,0.62
103000,0.62
104000,0.63
105000,0.62
106000,0.63
107000,0.65
108000,0.64
109000,0.65
110000,0.66
111000,0.65
112000,0.67
113000,0.66
114000,0.69
115000,0.65
116000,0.64
117000,0.65
118000,0.66
119000,0.66
120000,0.7
121000,0.71
122000,0.68
123000,0.66
124000,0.66
125000,0.68
126000,0.67
127000,0.67
128000,0.68
129000,0.69
130000,0.68
131000,0.67
132000,0.67
133000,0.69
134000,0.67
135000,0.68
136000,0.68
137000,0.69
138000,0.68
139000,0.68
140000,0.7
141000,0.7
142000,0.7
143000,0.7
144000,0.72
145000,0.72
146000,0.73
147000,0.74
148000,0.74
149000,0.74
150000,0.72
151000,0.73
152000,0.73
153000,0.72
154000,0.71
155000,0.71
156000,0.73
157000,0.73
158000,0.73
159000,0.74
160000,0.73
161000,0.71
162000,0.7
163000,0.72
164000,0.73
165000,0.76
166000,0.75
167000,0.75
168000,0.75
169000,0.75
170000,0.74
171000,0.75
172000,0.74
173000,0.73
174000,0.75
175000,0.74
176000,0.71
177000,0.72
178000,0.7
179000,0.71
180000,0.75
181000,0.75
182000,0.75
183000,0.74
184000,0.72
185000,0.72
186000,0.71
187000,0.71
188000,0.74
189000,0.73
190000,0.74
191000,0.74
192000,0.73
193000,0.74
194000,0.74
195000,0.75
196000,0.75
197000,0.77
198000,0.77
199000,0.75
200000,0.74
201000,0.72
202000,0.72
203000,0.74
204000,0.74
205000,0.75
206000,0.75
207000,0.75
208000,0.74
209000,0.74
210000,0.74
211000,0.73
212000,0.75
213000,0.75
214000,0.73
215000,0.72
216000,0.73
217000,0.73
218000,0.72
219000,0.73
220000,0.73
221000,0.72
222000,0.73
223000,0.72
224000,0.73
225000,0.73
226000,0.75
227000,0.73
228000,0.73
229000,0.73
230000,0.73
231000,0.73
232000,0.72
233000,0.73
234000,0.75
235000,0.75
236000,0.75
237000,0.75
238000,0.75
239000,0.75
240000,0.75
241000,0.74
242000,0.75
243000,0.75
244000,0.74
245000,0.74
246000,0.75
247000,0.73
248000,0.73
249000,0.75
250000,0.73
251000,0.75
252000,0.74
253000,0.74
254000,0.74
255000,0.75
256000,0.75
257000,0.76
258000,0.76
259000,0.75
260000,0.76
261000,0.76
262000,0.76
263000,0.73
264000,0.75
265000,0.74
266000,0.73
267000,0.73
268000,0.74
269000,0.74
270000,0.74
271000,0.74
272000,0.76
273000,0.77
274000,0.76
275000,0.77
276000,0.77
277000,0.77
278000,0.77
279000,0.76
280000,0.75
281000,0.75
282000,0.74
283000,0.74
284000,0.74
285000,0.74
286000,0.75
287000,0.75
288000,0.76
289000,0.76
290000,0.77
291000,0.77
292000,0.75
293000,0.75
294000,0.75
295000,0.75
296000,0.75
297000,0.76
298000,0.74
299000,0.74
300000,0.74
301000,0.74
302000,0.74
303000,0.73
304000,0.72
305000,0.72
306000,0.73
307000,0.74
308000,0.75
309000,0.77
310000,0.76
311000,0.75
312000,0.75
313000,0.74
314000,0.74
315000,0.73
316000,0.71
317000,0.71
318000,0.71
319000,0.72
320000,0.73
321000,0.74
322000,0.76
323000,0.76
324000,0.74
325000,0.74
326000,0.74
327000,0.73
328000,0.75
329000,0.75
330000,0.78
331000,0.76
332000,0.77
333000,0.76
334000,0.75
335000,0.73
336000,0.73
337000,0.72
338000,0.74
339000,0.75
340000,0.76
341000,0.76
342000,0.77
343000,0.77
344000,0.77
345000,0.77
346000,0.77
347000,0.77
348000,0.75
349000,0.75
350000,0.75
351000,0.74
352000,0.75
353000,0.75
354000,0.75
355000,0.75
356000,0.76
357000,0.76
358000,0.77
359000,0.76
360000,0.75
361000,0.74
362000,0.74
363000,0.74
364000,0.74
365000,0.75
366000,0.75
367000,0.74
368000,0.73
369000,0.73
370000,0.74
371000,0.72
372000,0.72
373000,0.74
374000,0.75
375000,0.75
376000,0.78
377000,0.76
378000,0.76
379000,0.77
380000,0.75
381000,0.76
382000,0.75
383000,0.76
384000,0.75
385000,0.75
386000,0.75
387000,0.75
388000,0.75
389000,0.76
390000,0.77
391000,0.75
392000,0.74
393000,0.74
394000,0.75
395000,0.75
396000,0.77
397000,0.77
398000,0.76
399000,0.76
400000,0.73
401000,0.74
402000,0.73
403000,0.75
404000,0.74
405000,0.75
406000,0.75
407000,0.74
408000,0.75
409000,0.75
410000,0.76
411000,0.76
412000,0.75
413000,0.75
414000,0.76
415000,0.75
416000,0.76
417000,0.75
418000,0.77
419000,0.77
420000,0.76
421000,0.76
422000,0.74
423000,0.74
424000,0.73
425000,0.72
426000,0.73
427000,0.75
428000,0.74
429000,0.73
430000,0.72
431000,0.73
432000,0.73
433000,0.75
434000,0.75
435000,0.75
436000,0.74
437000,0.73
438000,0.72
439000,0.73
440000,0.72
441000,0.72
442000,0.73
443000,0.75
444000,0.74
445000,0.76
446000,0.77
447000,0.77
448000,0.78
449000,0.78
450000,0.77
451000,0.77
452000,0.76
453000,0.76
454000,0.77
455000,0.76
456000,0.76
457000,0.77
458000,0.75
459000,0.74
460000,0.74
461000,0.74
462000,0.74
463000,0.74
464000,0.74
465000,0.74
466000,0.73
467000,0.73
468000,0.75
469000,0.77
470000,0.77
471000,0.79
472000,0.8
473000,0.8
474000,0.8
475000,0.8
476000,0.78
477000,0.78
478000,0.78
479000,0.77
480000,0.78
481000,0.78
482000,0.77
483000,0.78
484000,0.77
485000,0.75
486000,0.74
487000,0.73
488000,0.72
489000,0.71
490000,0.72
491000,0.73
492000,0.76
493000,0.76
494000,0.79
495000,0.77
496000,0.77
497000,0.75
498000,0.73
499000,0.73
500000,0.74
501000,0.74
502000,0.76
503000,0.78
504000,0.76
505000,0.77
506000,0.77
507000,0.75
508000,0.76
509000,0.77
510000,0.76
511000,0.76
512000,0.78
513000,0.76
514000,0.75
515000,0.74
516000,0.72
517000,0.72
518000,0.75
519000,0.77
520000,0.79
521000,0.78
522000,0.78
523000,0.78
524000,0.77
525000,0.77
526000,0.76
527000,0.77
528000,0.75
529000,0.74
530000,0.75
531000,0.76
532000,0.77
533000,0.76
534000,0.76
535000,0.75
536000,0.75
537000,0.75
538000,0.75
539000,0.74
540000,0.74
541000,0.74
542000,0.73
543000,0.74
544000,0.74
545000,0.75
546000,0.75
547000,0.76
548000,0.75
549000,0.72
550000,0.73
551000,0.71
552000,0.74
553000,0.76
554000,0.75
555000,0.74
