Idx,win_rate0
0,0.5
1000,0.5
2000,0.375
3000,0.6
4000,0.6842105263157895
5000,0.6956521739130435
6000,0.6538461538461539
7000,0.6451612903225806
8000,0.6756756756756757
9000,0.7
10000,0.6590909090909091
11000,0.6122448979591837
12000,0.6545454545454545
13000,0.6779661016949152
14000,0.6875
15000,0.6811594202898551
16000,0.6712328767123288
17000,0.6875
18000,0.6823529411764706
19000,0.6593406593406593
20000,0.6631578947368421
21000,0.66
22000,0.67
23000,0.68
24000,0.68
25000,0.65
26000,0.66
27000,0.65
28000,0.63
29000,0.63
30000,0.64
31000,0.64
32000,0.63
33000,0.6
34000,0.59
35000,0.59
36000,0.61
37000,0.65
38000,0.66
39000,0.66
40000,0.64
41000,0.61
42000,0.63
43000,0.65
44000,0.64
45000,0.65
46000,0.66
47000,0.65
48000,0.65
49000,0.64
50000,0.64
51000,0.61
52000,0.63
53000,0.6
54000,0.6
55000,0.58
56000,0.56
57000,0.53
58000,0.54
59000,0.53
60000,0.53
61000,0.55
62000,0.55
63000,0.53
64000,0.54
65000,0.53
66000,0.54
67000,0.51
68000,0.51
69000,0.51
70000,0.52
71000,0.56
72000,0.57
73000,0.57
74000,0.57
75000,0.59
76000,0.6
77000,0.62
78000,0.61
79000,0.61
80000,0.62
81000,0.62
82000,0.61
83000,0.6
84000,0.61
85000,0.62
86000,0.57
87000,0.62
88000,0.62
89000,0.62
90000,0.61
91000,0.6
92000,0.61
93000,0.62
94000,0.64
95000,0.62
96000,0.61
97000,0.62
98000,0.62
99000,0.62
100000,0.64
101000,0.65
102000,0.64
103000,0.63
104000,0.67
105000,0.66
106000,0.64
107000,0.65
108000,0.64
109000,0.62
110000,0.65
111000,0.63
112000,0.64
113000,0.66
114000,0.64
115000,0.62
116000,0.63
117000,0.63
118000,0.63
119000,0.65
120000,0.65
121000,0.65
122000,0.63
123000,0.64
124000,0.64
125000,0.65
126000,0.66
127000,0.66
128000,0.68
129000,0.71
130000,0.71
131000,0.7
132000,0.69
133000,0.7
134000,0.69
135000,0.68
136000,0.68
137000,0.68
138000,0.67
139000,0.66
140000,0.68
141000,0.67
142000,0.67
143000,0.69
144000,0.71
145000,0.71
146000,0.67
147000,0.65
148000,0.65
149000,0.64
150000,0.65
151000,0.64
152000,0.66
153000,0.68
154000,0.69
155000,0.67
156000,0.69
157000,0.7
158000,0.67
159000,0.67
160000,0.67
161000,0.67
162000,0.66
163000,0.68
164000,0.72
165000,0.71
166000,0.69
167000,0.69
168000,0.71
169000,0.7
170000,0.71
171000,0.69
172000,0.68
173000,0.69
174000,0.69
175000,0.71
176000,0.71
177000,0.7
178000,0.69
179000,0.7
180000,0.69
181000,0.68
182000,0.66
183000,0.68
184000,0.7
185000,0.69
186000,0.66
187000,0.66
188000,0.65
189000,0.67
190000,0.66
191000,0.65
192000,0.67
193000,0.68
194000,0.65
195000,0.63
196000,0.65
197000,0.66
198000,0.67
199000,0.66
200000,0.68
201000,0.67
202000,0.66
203000,0.66
204000,0.66
205000,0.67
206000,0.66
207000,0.69
208000,0.68
209000,0.66
210000,0.68
211000,0.69
212000,0.68
213000,0.68
214000,0.68
215000,0.68
216000,0.68
217000,0.67
218000,0.65
219000,0.62
220000,0.64
221000,0.64
222000,0.64
223000,0.63
224000,0.62
225000,0.62
226000,0.62
227000,0.6
228000,0.6
229000,0.6
230000,0.58
231000,0.59
232000,0.59
233000,0.57
234000,0.54
235000,0.57
236000,0.59
237000,0.61
238000,0.62
239000,0.62
240000,0.6
241000,0.62
242000,0.61
243000,0.62
244000,0.62
245000,0.62
246000,0.63
247000,0.64
248000,0.65
249000,0.64
250000,0.66
251000,0.66
252000,0.69
253000,0.7
254000,0.7
255000,0.71
256000,0.69
257000,0.7
258000,0.71
259000,0.71
260000,0.72
261000,0.71
262000,0.71
263000,0.74
264000,0.68
265000,0.7
266000,0.69
267000,0.66
268000,0.67
269000,0.65
270000,0.62
271000,0.62
272000,0.62
273000,0.6
274000,0.6
275000,0.61
276000,0.61
277000,0.59
278000,0.58
279000,0.6
280000,0.62
281000,0.63
282000,0.63
283000,0.62
284000,0.64
285000,0.61
286000,0.61
287000,0.61
288000,0.63
289000,0.63
290000,0.63
291000,0.64
292000,0.65
293000,0.66
294000,0.67
295000,0.69
296000,0.69
297000,0.71
298000,0.7
299000,0.72
300000,0.73
301000,0.73
302000,0.72
303000,0.68
304000,0.68
305000,0.68
306000,0.69
307000,0.69
308000,0.67
309000,0.68
310000,0.66
311000,0.66
312000,0.64
313000,0.66
314000,0.64
315000,0.63
316000,0.61
317000,0.6
318000,0.63
319000,0.63
320000,0.61
321000,0.61
322000,0.6
323000,0.62
324000,0.62
325000,0.63
326000,0.65
327000,0.63
328000,0.62
329000,0.65
330000,0.67
331000,0.68
332000,0.69
333000,0.67
334000,0.68
335000,0.67
336000,0.64
337000,0.64
338000,0.64
339000,0.63
340000,0.62
341000,0.61
342000,0.59
343000,0.6
344000,0.61
345000,0.6
346000,0.62
347000,0.61
348000,0.62
349000,0.61
350000,0.62
351000,0.64
352000,0.66
353000,0.64
354000,0.66
355000,0.65
356000,0.66
357000,0.65
358000,0.65
359000,0.64
360000,0.64
361000,0.64
362000,0.65
363000,0.68
364000,0.66
365000,0.66
366000,0.63
367000,0.59
368000,0.6
369000,0.63
370000,0.64
371000,0.64
372000,0.64
373000,0.64
374000,0.64
375000,0.62
376000,0.62
377000,0.62
378000,0.66
379000,0.67
380000,0.66
381000,0.67
382000,0.66
383000,0.65
384000,0.66
385000,0.66
386000,0.67
387000,0.69
388000,0.68
389000,0.65
390000,0.66
391000,0.67
392000,0.64
393000,0.67
394000,0.65
395000,0.64
396000,0.67
397000,0.66
398000,0.65
399000,0.64
400000,0.67
401000,0.71
402000,0.72
403000,0.72
404000,0.72
405000,0.7
406000,0.71
407000,0.73
408000,0.73
409000,0.71
410000,0.76
411000,0.7
412000,0.7
413000,0.7
414000,0.74
415000,0.72
416000,0.7
417000,0.69
418000,0.71
419000,0.69
420000,0.71
421000,0.7
422000,0.68
423000,0.71
424000,0.69
425000,0.68
426000,0.7
427000,0.67
428000,0.69
429000,0.69
430000,0.71
431000,0.72
432000,0.71
433000,0.69
434000,0.66
435000,0.67
436000,0.69
437000,0.69
438000,0.72
439000,0.74
440000,0.72
441000,0.71
442000,0.74
443000,0.7
444000,0.76
445000,0.76
446000,0.77
447000,0.74
448000,0.7
449000,0.68
450000,0.75
451000,0.73
452000,0.71
453000,0.72
454000,0.7
455000,0.72
456000,0.71
457000,0.73
458000,0.74
459000,0.74
460000,0.68
461000,0.7
462000,0.73
463000,0.72
464000,0.68
465000,0.7
466000,0.7
467000,0.69
468000,0.71
469000,0.72
470000,0.7
471000,0.68
472000,0.69
473000,0.7
474000,0.72
475000,0.72
476000,0.69
477000,0.68
478000,0.67
479000,0.66
480000,0.66
481000,0.68
482000,0.68
483000,0.65
484000,0.66
485000,0.68
486000,0.7
487000,0.7
488000,0.74
489000,0.75
490000,0.75
491000,0.78
492000,0.78
493000,0.76
494000,0.72
495000,0.74
496000,0.75
497000,0.75
498000,0.76
499000,0.71
500000,0.7
501000,0.7
502000,0.67
503000,0.69
504000,0.68
505000,0.66
506000,0.69
507000,0.69
508000,0.65
509000,0.65
510000,0.63
511000,0.65
512000,0.67
513000,0.71
514000,0.73
515000,0.74
516000,0.72
517000,0.74
518000,0.74
519000,0.74
520000,0.78
521000,0.79
522000,0.76
523000,0.73
524000,0.76
525000,0.78
526000,0.73
527000,0.74
528000,0.76
529000,0.76
530000,0.74
531000,0.72
532000,0.75
533000,0.74
534000,0.72
535000,0.73
536000,0.73
537000,0.72
538000,0.75
539000,0.77
540000,0.77
541000,0.75
542000,0.75
543000,0.73
544000,0.72
545000,0.72
546000,0.7
547000,0.7
548000,0.69
549000,0.66
550000,0.71
551000,0.72
552000,0.72
553000,0.75
554000,0.75
555000,0.78
