Idx,win_rate0
0,0.5
1000,0.5
2000,0.35294117647058826
3000,0.41379310344827586
4000,0.48717948717948717
5000,0.4222222222222222
6000,0.48148148148148145
7000,0.5074626865671642
8000,0.5064935064935064
9000,0.5116279069767442
10000,0.5052631578947369
11000,0.5
12000,0.53
13000,0.54
14000,0.55
15000,0.58
16000,0.59
17000,0.63
18000,0.62
19000,0.62
20000,0.63
21000,0.61
22000,0.62
23000,0.59
24000,0.58
25000,0.56
26000,0.56
27000,0.55
28000,0.54
29000,0.55
30000,0.58
31000,0.61
32000,0.64
33000,0.62
34000,0.64
35000,0.67
36000,0.68
37000,0.68
38000,0.68
39000,0.69
40000,0.68
41000,0.7
42000,0.73
43000,0.77
44000,0.79
45000,0.82
46000,0.83
47000,0.85
48000,0.87
49000,0.87
50000,0.86
51000,0.88
52000,0.84
53000,0.82
54000,0.8
55000,0.81
56000,0.8
57000,0.8
58000,0.78
59000,0.79
60000,0.84
61000,0.81
62000,0.8
63000,0.81
64000,0.83
65000,0.87
66000,0.86
67000,0.87
68000,0.91
69000,0.93
70000,0.91
71000,0.88
72000,0.88
73000,0.89
74000,0.88
75000,0.87
76000,0.89
77000,0.9
78000,0.92
79000,0.93
80000,0.92
81000,0.92
82000,0.93
83000,0.94
84000,0.89
85000,0.9
86000,0.89
87000,0.9
88000,0.9
89000,0.9
90000,0.94
91000,0.93
92000,0.96
93000,0.95
94000,0.96
95000,0.95
96000,0.95
97000,0.96
98000,0.94
99000,0.92
100000,0.92
101000,0.9
102000,0.91
103000,0.92
104000,0.93
105000,0.93
106000,0.95
107000,0.94
108000,0.92
109000,0.94
110000,0.94
111000,0.94
112000,0.93
113000,0.96
114000,0.96
115000,0.95
116000,0.95
117000,0.94
118000,0.94
119000,0.94
120000,0.93
121000,0.91
122000,0.91
123000,0.9
124000,0.91
125000,0.93
126000,0.96
127000,0.96
128000,0.97
129000,0.96
130000,0.95
131000,0.95
132000,0.95
133000,0.96
134000,0.97
135000,0.97
136000,0.97
137000,0.95
138000,0.95
139000,0.95
140000,0.93
141000,0.95
142000,0.94
143000,0.95
144000,0.94
145000,0.93
146000,0.94
147000,0.92
148000,0.92
149000,0.93
150000,0.95
151000,0.95
152000,0.96
153000,0.98
154000,0.96
155000,0.95
156000,0.95
157000,0.94
158000,0.94
159000,0.96
160000,0.97
161000,0.93
162000,0.92
163000,0.91
164000,0.92
165000,0.88
166000,0.87
167000,0.91
168000,0.93
169000,0.92
170000,0.95
171000,0.97
172000,0.97
173000,0.98
174000,0.97
175000,0.96
176000,0.96
177000,0.94
178000,0.94
179000,0.93
180000,0.93
181000,0.96
182000,0.96
183000,0.94
184000,0.93
185000,0.93
186000,0.94
187000,0.95
188000,0.94
189000,0.97
190000,0.97
191000,0.97
192000,0.97
193000,0.95
194000,0.94
195000,0.93
196000,0.93
197000,0.9
198000,0.89
199000,0.92
200000,0.92
201000,0.92
202000,0.92
203000,0.94
204000,0.95
205000,0.95
206000,0.93
207000,0.91
208000,0.92
209000,0.91
210000,0.89
211000,0.88
212000,0.9
213000,0.91
214000,0.89
215000,0.9
216000,0.89
217000,0.84
218000,0.82
219000,0.81
220000,0.8
221000,0.82
222000,0.83
223000,0.85
224000,0.87
225000,0.88
226000,0.86
227000,0.84
228000,0.84
229000,0.85
230000,0.86
231000,0.87
232000,0.86
233000,0.87
234000,0.83
235000,0.83
236000,0.83
237000,0.84
238000,0.85
239000,0.83
240000,0.86
241000,0.86
242000,0.85
243000,0.84
244000,0.83
245000,0.83
246000,0.82
247000,0.82
248000,0.83
249000,0.83
250000,0.85
251000,0.84
252000,0.85
253000,0.86
254000,0.83
255000,0.83
256000,0.82
257000,0.83
258000,0.82
259000,0.81
260000,0.86
261000,0.87
262000,0.88
263000,0.9
264000,0.87
265000,0.9
266000,0.9
267000,0.92
268000,0.92
269000,0.94
270000,0.97
271000,0.97
272000,0.94
273000,0.95
274000,0.95
275000,0.96
276000,0.96
277000,0.96
278000,0.97
279000,0.96
280000,0.96
281000,0.95
282000,0.96
283000,0.96
284000,0.97
285000,0.98
286000,0.99
287000,0.97
288000,0.95
289000,0.94
290000,0.94
291000,0.94
292000,0.95
293000,0.94
294000,0.96
295000,0.97
296000,0.95
297000,0.94
298000,0.94
299000,0.93
300000,0.92
301000,0.9
302000,0.92
303000,0.93
304000,0.95
305000,0.95
306000,0.98
307000,0.98
308000,0.97
309000,0.95
310000,0.94
311000,0.94
312000,0.91
313000,0.9
314000,0.9
315000,0.9
316000,0.89
317000,0.92
318000,0.92
319000,0.92
320000,0.92
321000,0.9
322000,0.91
323000,0.89
324000,0.91
325000,0.89
326000,0.89
327000,0.88
328000,0.88
329000,0.9
330000,0.9
331000,0.89
332000,0.9
333000,0.89
334000,0.89
335000,0.87
336000,0.87
337000,0.86
338000,0.84
339000,0.83
340000,0.81
341000,0.82
342000,0.8
343000,0.8
344000,0.82
345000,0.81
346000,0.83
347000,0.84
348000,0.84
349000,0.84
350000,0.85
351000,0.87
352000,0.88
353000,0.9
354000,0.92
355000,0.95
356000,0.95
357000,0.96
358000,0.97
359000,0.97
360000,0.96
361000,0.96
362000,0.97
363000,0.97
364000,0.97
365000,0.96
366000,0.96
367000,0.95
368000,0.95
369000,0.95
370000,0.96
371000,0.97
372000,0.96
373000,0.95
374000,0.93
375000,0.92
376000,0.91
377000,0.88
378000,0.91
379000,0.9
380000,0.9
381000,0.91
382000,0.94
383000,0.94
384000,0.94
385000,0.95
386000,0.95
387000,0.95
388000,0.94
389000,0.96
390000,0.96
391000,0.95
392000,0.93
393000,0.93
394000,0.9
395000,0.89
396000,0.91
397000,0.92
398000,0.92
399000,0.9
400000,0.88
401000,0.85
402000,0.83
403000,0.8
404000,0.79
405000,0.81
406000,0.8
407000,0.8
408000,0.81
409000,0.82
410000,0.82
411000,0.82
412000,0.83
413000,0.82
414000,0.84
415000,0.86
416000,0.87
417000,0.9
418000,0.9
419000,0.92
420000,0.93
421000,0.94
422000,0.96
423000,0.96
424000,0.98
425000,0.98
426000,0.97
427000,0.96
428000,0.94
429000,0.94
430000,0.92
431000,0.9
432000,0.88
433000,0.87
434000,0.87
435000,0.86
436000,0.88
437000,0.87
438000,0.89
439000,0.86
440000,0.87
441000,0.86
442000,0.87
443000,0.88
444000,0.89
445000,0.88
446000,0.86
447000,0.86
448000,0.86
449000,0.85
450000,0.85
451000,0.84
452000,0.83
453000,0.84
454000,0.85
455000,0.86
456000,0.86
457000,0.88
458000,0.88
459000,0.9
460000,0.88
461000,0.9
462000,0.87
463000,0.86
464000,0.82
465000,0.81
466000,0.81
467000,0.8
468000,0.81
469000,0.83
470000,0.86
471000,0.85
472000,0.85
473000,0.86
474000,0.87
475000,0.87
476000,0.87
477000,0.87
478000,0.87
479000,0.85
480000,0.83
481000,0.86
482000,0.84
483000,0.84
484000,0.86
485000,0.89
486000,0.88
487000,0.89
488000,0.89
489000,0.88
490000,0.87
491000,0.85
492000,0.83
493000,0.83
494000,0.85
495000,0.84
496000,0.87
497000,0.88
498000,0.9
499000,0.9
500000,0.9
501000,0.91
502000,0.92
503000,0.93
504000,0.9
505000,0.92
506000,0.93
507000,0.93
508000,0.93
509000,0.94
510000,0.94
511000,0.92
512000,0.92
513000,0.9
514000,0.85
515000,0.84
516000,0.81
517000,0.81
518000,0.82
519000,0.81
520000,0.82
521000,0.8
522000,0.83
523000,0.83
524000,0.84
525000,0.86
526000,0.88
527000,0.86
528000,0.83
529000,0.82
530000,0.81
531000,0.79
532000,0.78
533000,0.8
534000,0.84
535000,0.85
536000,0.85
537000,0.85
538000,0.85
539000,0.81
540000,0.81
541000,0.82
542000,0.84
543000,0.85
544000,0.9
545000,0.91
546000,0.92
547000,0.91
548000,0.92
549000,0.91
550000,0.91
551000,0.92
552000,0.91
553000,0.9
554000,0.88
555000,0.9
556000,0.89
557000,0.92
558000,0.9
559000,0.95
