Idx,win_rate0
0,0.5
1000,0.0
2000,0.0
3000,0.025
4000,0.0392156862745098
5000,0.03278688524590164
6000,0.027777777777777776
7000,0.03488372093023256
8000,0.03
9000,0.04
10000,0.04
11000,0.04
12000,0.04
13000,0.03
14000,0.03
15000,0.02
16000,0.02
17000,0.03
18000,0.03
19000,0.04
20000,0.04
21000,0.04
22000,0.03
23000,0.03
24000,0.03
25000,0.04
26000,0.04
27000,0.04
28000,0.04
29000,0.04
30000,0.04
31000,0.04
32000,0.06
33000,0.06
34000,0.06
35000,0.07
36000,0.07
37000,0.07
38000,0.09
39000,0.1
40000,0.08
41000,0.08
42000,0.1
43000,0.12
44000,0.12
45000,0.12
46000,0.14
47000,0.14
48000,0.17
49000,0.18
50000,0.19
51000,0.19
52000,0.19
53000,0.19
54000,0.21
55000,0.22
56000,0.23
57000,0.23
58000,0.24
59000,0.24
60000,0.25
61000,0.25
62000,0.26
63000,0.28
64000,0.28
65000,0.29
66000,0.3
67000,0.3
68000,0.29
69000,0.29
70000,0.3
71000,0.3
72000,0.3
73000,0.31
74000,0.29
75000,0.28
76000,0.28
77000,0.28
78000,0.26
79000,0.24
80000,0.25
81000,0.24
82000,0.2
83000,0.19
84000,0.18
85000,0.18
86000,0.18
87000,0.18
88000,0.16
89000,0.16
90000,0.15
91000,0.15
92000,0.13
93000,0.13
94000,0.13
95000,0.11
96000,0.1
97000,0.1
98000,0.09
99000,0.1
100000,0.1
101000,0.1
102000,0.1
103000,0.1
104000,0.1
105000,0.09
106000,0.1
107000,0.11
108000,0.11
109000,0.11
110000,0.11
111000,0.12
112000,0.11
113000,0.13
114000,0.14
115000,0.14
116000,0.14
117000,0.14
118000,0.14
119000,0.14
120000,0.14
121000,0.14
122000,0.12
123000,0.11
124000,0.11
125000,0.12
126000,0.12
127000,0.13
128000,0.14
129000,0.15
130000,0.14
131000,0.14
132000,0.16
133000,0.16
134000,0.16
135000,0.18
136000,0.17
137000,0.17
138000,0.17
139000,0.18
140000,0.18
141000,0.19
142000,0.2
143000,0.2
144000,0.19
145000,0.19
146000,0.18
147000,0.19
148000,0.21
149000,0.19
150000,0.19
151000,0.2
152000,0.21
153000,0.21
154000,0.2
155000,0.2
156000,0.2
157000,0.21
158000,0.17
159000,0.18
160000,0.19
161000,0.2
162000,0.2
163000,0.22
164000,0.22
165000,0.21
166000,0.2
167000,0.2
168000,0.2
169000,0.19
170000,0.16
171000,0.16
172000,0.15
173000,0.14
174000,0.15
175000,0.14
176000,0.16
177000,0.17
178000,0.15
179000,0.16
180000,0.13
181000,0.12
182000,0.1
183000,0.09
184000,0.09
185000,0.09
186000,0.1
187000,0.11
188000,0.11
189000,0.12
190000,0.11
191000,0.12
192000,0.12
193000,0.1
194000,0.07
195000,0.08
196000,0.08
197000,0.08
198000,0.07
199000,0.08
200000,0.09
201000,0.1
202000,0.11
203000,0.11
204000,0.1
205000,0.11
206000,0.12
207000,0.13
208000,0.12
209000,0.12
210000,0.12
211000,0.12
212000,0.13
213000,0.13
214000,0.13
215000,0.13
216000,0.13
217000,0.13
218000,0.13
219000,0.12
220000,0.12
221000,0.13
222000,0.13
223000,0.12
224000,0.09
225000,0.1
226000,0.11
227000,0.11
228000,0.12
229000,0.13
230000,0.12
231000,0.12
232000,0.11
233000,0.12
234000,0.11
235000,0.13
236000,0.14
237000,0.14
238000,0.13
239000,0.13
240000,0.12
241000,0.13
242000,0.13
243000,0.14
244000,0.14
245000,0.13
246000,0.13
247000,0.12
248000,0.14
249000,0.14
250000,0.14
251000,0.14
252000,0.15
253000,0.15
254000,0.14
255000,0.14
256000,0.13
257000,0.14
258000,0.15
259000,0.14
260000,0.16
261000,0.14
262000,0.15
263000,0.16
264000,0.16
265000,0.16
266000,0.13
267000,0.13
268000,0.12
269000,0.12
270000,0.11
271000,0.1
272000,0.11
273000,0.1
274000,0.1
275000,0.09
276000,0.1
277000,0.09
278000,0.1
279000,0.09
280000,0.09
281000,0.08
282000,0.08
283000,0.08
284000,0.07
285000,0.07
286000,0.07
287000,0.08
288000,0.08
289000,0.09
290000,0.09
291000,0.08
292000,0.1
293000,0.1
294000,0.1
295000,0.12
296000,0.12
297000,0.11
298000,0.12
299000,0.14
300000,0.14
301000,0.15
302000,0.15
303000,0.15
304000,0.14
305000,0.16
306000,0.17
307000,0.18
308000,0.19
309000,0.19
310000,0.18
311000,0.18
312000,0.19
313000,0.19
314000,0.21
315000,0.2
316000,0.21
317000,0.2
318000,0.22
319000,0.21
320000,0.17
321000,0.16
322000,0.15
323000,0.15
324000,0.16
325000,0.16
326000,0.14
327000,0.15
328000,0.16
329000,0.17
330000,0.16
331000,0.16
332000,0.15
333000,0.14
334000,0.12
335000,0.11
336000,0.1
337000,0.12
338000,0.12
339000,0.13
340000,0.14
341000,0.15
342000,0.15
343000,0.15
344000,0.13
345000,0.12
346000,0.14
347000,0.13
348000,0.13
349000,0.11
350000,0.12
351000,0.1
352000,0.1
353000,0.1
354000,0.11
355000,0.11
356000,0.09
357000,0.09
358000,0.09
359000,0.09
360000,0.08
361000,0.08
362000,0.09
363000,0.1
364000,0.09
365000,0.09
366000,0.09
367000,0.09
368000,0.09
369000,0.1
370000,0.1
371000,0.11
372000,0.11
373000,0.1
374000,0.11
375000,0.1
376000,0.1
377000,0.1
378000,0.1
379000,0.11
380000,0.12
381000,0.11
382000,0.1
383000,0.1
384000,0.1
385000,0.1
386000,0.09
387000,0.09
388000,0.08
389000,0.09
390000,0.09
391000,0.1
392000,0.11
393000,0.1
394000,0.1
395000,0.1
396000,0.1
397000,0.1
398000,0.1
399000,0.12
400000,0.14
401000,0.13
402000,0.14
