Idx,win_rate0
0,0.5
1000,0.0
2000,0.0
3000,0.0
4000,0.018867924528301886
5000,0.015384615384615385
6000,0.038461538461538464
7000,0.04597701149425287
8000,0.053763440860215055
9000,0.05
10000,0.06
11000,0.06
12000,0.1
13000,0.11
14000,0.14
15000,0.13
16000,0.13
17000,0.14
18000,0.15
19000,0.19
20000,0.22
21000,0.24
22000,0.26
23000,0.31
24000,0.31
25000,0.34
26000,0.43
27000,0.47
28000,0.51
29000,0.52
30000,0.59
31000,0.62
32000,0.6
33000,0.68
34000,0.7
35000,0.71
36000,0.72
37000,0.72
38000,0.75
39000,0.72
40000,0.72
41000,0.72
42000,0.73
43000,0.72
44000,0.73
45000,0.72
46000,0.72
47000,0.74
48000,0.77
49000,0.76
50000,0.76
51000,0.79
52000,0.79
53000,0.78
54000,0.76
55000,0.75
56000,0.75
57000,0.74
58000,0.73
59000,0.71
60000,0.7
61000,0.7
62000,0.68
63000,0.69
64000,0.68
65000,0.67
66000,0.66
67000,0.68
68000,0.66
69000,0.67
70000,0.66
71000,0.67
72000,0.68
73000,0.68
74000,0.68
75000,0.71
76000,0.71
77000,0.73
78000,0.72
79000,0.74
80000,0.76
81000,0.76
82000,0.78
83000,0.8
84000,0.79
85000,0.79
86000,0.74
87000,0.71
88000,0.73
89000,0.72
90000,0.74
91000,0.76
92000,0.77
93000,0.77
94000,0.81
95000,0.79
96000,0.78
97000,0.75
98000,0.75
99000,0.72
100000,0.73
101000,0.74
102000,0.75
103000,0.78
104000,0.79
105000,0.82
106000,0.81
107000,0.81
108000,0.8
109000,0.77
110000,0.76
111000,0.77
112000,0.75
113000,0.77
114000,0.78
115000,0.76
116000,0.77
117000,0.77
118000,0.76
119000,0.78
120000,0.78
121000,0.77
122000,0.77
123000,0.75
124000,0.75
125000,0.77
126000,0.77
127000,0.78
128000,0.78
129000,0.8
130000,0.81
131000,0.8
132000,0.77
133000,0.78
134000,0.77
135000,0.78
136000,0.79
137000,0.79
138000,0.78
139000,0.76
140000,0.74
141000,0.73
142000,0.71
143000,0.76
144000,0.78
145000,0.8
146000,0.82
147000,0.8
148000,0.8
149000,0.78
150000,0.8
151000,0.8
152000,0.81
153000,0.79
154000,0.77
155000,0.77
156000,0.74
157000,0.73
158000,0.73
159000,0.73
160000,0.76
161000,0.78
162000,0.76
163000,0.76
164000,0.76
165000,0.76
166000,0.79
167000,0.77
168000,0.73
169000,0.72
170000,0.72
171000,0.69
172000,0.69
173000,0.73
174000,0.73
175000,0.78
176000,0.79
177000,0.76
178000,0.76
179000,0.71
180000,0.71
181000,0.71
182000,0.73
183000,0.74
184000,0.78
185000,0.79
186000,0.78
187000,0.77
188000,0.76
189000,0.75
190000,0.76
191000,0.77
192000,0.74
193000,0.75
194000,0.75
195000,0.75
196000,0.78
197000,0.79
198000,0.81
199000,0.79
200000,0.78
201000,0.77
202000,0.75
203000,0.75
204000,0.76
205000,0.72
206000,0.76
207000,0.77
208000,0.77
209000,0.76
210000,0.75
211000,0.76
212000,0.75
213000,0.77
214000,0.78
215000,0.79
216000,0.79
217000,0.79
218000,0.79
219000,0.78
220000,0.78
221000,0.77
222000,0.76
223000,0.75
224000,0.77
225000,0.78
226000,0.8
227000,0.79
228000,0.8
229000,0.78
230000,0.77
231000,0.78
232000,0.76
233000,0.77
234000,0.77
235000,0.77
236000,0.79
237000,0.78
238000,0.79
239000,0.78
240000,0.76
241000,0.77
242000,0.76
243000,0.76
244000,0.76
245000,0.76
246000,0.75
247000,0.75
248000,0.75
249000,0.74
250000,0.74
251000,0.72
252000,0.73
253000,0.74
254000,0.74
255000,0.71
256000,0.68
257000,0.68
258000,0.73
259000,0.73
260000,0.71
261000,0.71
262000,0.72
263000,0.74
264000,0.8
265000,0.78
266000,0.73
267000,0.74
268000,0.76
269000,0.75
270000,0.75
271000,0.74
272000,0.71
273000,0.7
274000,0.72
275000,0.73
276000,0.75
277000,0.76
278000,0.76
279000,0.77
280000,0.76
281000,0.76
282000,0.78
283000,0.78
284000,0.78
285000,0.79
286000,0.78
287000,0.76
288000,0.77
289000,0.74
290000,0.72
291000,0.71
292000,0.7
293000,0.69
294000,0.69
295000,0.69
296000,0.68
297000,0.69
298000,0.7
299000,0.67
300000,0.67
301000,0.67
302000,0.66
303000,0.67
304000,0.66
305000,0.68
306000,0.67
307000,0.67
308000,0.66
309000,0.66
310000,0.66
311000,0.66
312000,0.66
313000,0.7
314000,0.72
315000,0.73
316000,0.74
317000,0.73
318000,0.73
319000,0.72
320000,0.73
321000,0.73
322000,0.74
323000,0.72
324000,0.7
325000,0.67
326000,0.67
327000,0.67
328000,0.65
329000,0.64
330000,0.63
331000,0.66
332000,0.71
333000,0.69
334000,0.7
335000,0.72
336000,0.75
337000,0.74
338000,0.74
339000,0.72
340000,0.71
341000,0.7
342000,0.69
343000,0.68
344000,0.68
345000,0.66
346000,0.64
347000,0.63
348000,0.63
349000,0.65
350000,0.69
351000,0.69
352000,0.69
353000,0.7
354000,0.69
355000,0.7
356000,0.69
357000,0.68
358000,0.67
359000,0.67
360000,0.7
361000,0.69
362000,0.71
363000,0.72
364000,0.71
365000,0.71
366000,0.7
367000,0.67
368000,0.68
369000,0.69
370000,0.7
371000,0.7
372000,0.7
373000,0.69
374000,0.68
375000,0.66
376000,0.65
377000,0.65
378000,0.64
379000,0.66
380000,0.66
381000,0.68
382000,0.68
383000,0.7
384000,0.67
385000,0.66
386000,0.67
387000,0.67
388000,0.67
389000,0.68
390000,0.68
391000,0.67
392000,0.68
393000,0.68
394000,0.68
395000,0.66
396000,0.65
397000,0.65
398000,0.67
399000,0.71
400000,0.72
401000,0.72
