Idx,win_rate0
0,0.5
1000,0.4
2000,0.5333333333333333
3000,0.4
4000,0.4230769230769231
5000,0.4375
6000,0.46153846153846156
7000,0.4666666666666667
8000,0.49019607843137253
9000,0.4827586206896552
10000,0.4696969696969697
11000,0.4507042253521127
12000,0.44871794871794873
13000,0.4523809523809524
14000,0.45161290322580644
15000,0.45454545454545453
16000,0.47
17000,0.47
18000,0.48
19000,0.46
20000,0.48
21000,0.46
22000,0.45
23000,0.44
24000,0.5
25000,0.52
26000,0.56
27000,0.54
28000,0.51
29000,0.53
30000,0.53
31000,0.55
32000,0.57
33000,0.58
34000,0.6
35000,0.61
36000,0.62
37000,0.62
38000,0.62
39000,0.59
40000,0.57
41000,0.56
42000,0.62
43000,0.64
44000,0.64
45000,0.63
46000,0.62
47000,0.62
48000,0.6
49000,0.6
50000,0.59
51000,0.63
52000,0.65
53000,0.63
54000,0.65
55000,0.66
56000,0.65
57000,0.63
58000,0.63
59000,0.63
60000,0.64
61000,0.66
62000,0.66
63000,0.64
64000,0.63
65000,0.65
66000,0.63
67000,0.66
68000,0.67
69000,0.65
70000,0.67
71000,0.66
72000,0.67
73000,0.67
74000,0.67
75000,0.69
76000,0.66
77000,0.68
78000,0.73
79000,0.73
80000,0.72
81000,0.7
82000,0.71
83000,0.7
84000,0.7
85000,0.69
86000,0.68
87000,0.69
88000,0.68
89000,0.69
90000,0.69
91000,0.66
92000,0.68
93000,0.64
94000,0.65
95000,0.67
96000,0.66
97000,0.66
98000,0.67
99000,0.66
100000,0.65
101000,0.64
102000,0.64
103000,0.63
104000,0.63
105000,0.67
106000,0.66
107000,0.67
108000,0.67
109000,0.67
110000,0.69
111000,0.7
112000,0.7
113000,0.71
114000,0.72
115000,0.7
116000,0.69
117000,0.7
118000,0.69
119000,0.7
120000,0.69
121000,0.68
122000,0.65
123000,0.65
124000,0.64
125000,0.62
126000,0.64
127000,0.69
128000,0.66
129000,0.66
130000,0.65
131000,0.65
132000,0.64
133000,0.61
134000,0.61
135000,0.64
136000,0.69
137000,0.66
138000,0.61
139000,0.61
140000,0.6
141000,0.62
142000,0.61
143000,0.6
144000,0.63
145000,0.63
146000,0.63
147000,0.6
148000,0.58
149000,0.6
150000,0.63
151000,0.65
152000,0.65
153000,0.66
154000,0.67
155000,0.67
156000,0.68
157000,0.68
158000,0.67
