Idx,win_rate0
0,0.5
1000,0.6666666666666666
2000,0.75
3000,0.75
4000,0.75
5000,0.625
6000,0.625
7000,0.625
8000,0.5
9000,0.4545454545454545
10000,0.4545454545454545
11000,0.4545454545454545
12000,0.5
13000,0.5
14000,0.5
15000,0.45
16000,0.45
17000,0.45
18000,0.4090909090909091
19000,0.4090909090909091
20000,0.4090909090909091
21000,0.375
22000,0.4137931034482758
23000,0.4
24000,0.40625
25000,0.40625
26000,0.4411764705882353
27000,0.4411764705882353
28000,0.4411764705882353
29000,0.4166666666666667
30000,0.54
31000,0.5555555555555556
32000,0.5454545454545454
33000,0.5737704918032787
34000,0.5737704918032787
35000,0.5873015873015873
36000,0.6164383561643836
37000,0.6164383561643836
38000,0.6216216216216216
39000,0.6341463414634146
40000,0.6385542168674698
41000,0.6428571428571429
42000,0.6436781609195402
43000,0.67
44000,0.71
45000,0.75
46000,0.78
47000,0.8
48000,0.79
49000,0.79
50000,0.78
51000,0.78
52000,0.78
53000,0.77
54000,0.78
55000,0.78
56000,0.78
57000,0.77
58000,0.76
59000,0.75
60000,0.73
61000,0.73
62000,0.73
63000,0.73
64000,0.73
65000,0.73
66000,0.73
67000,0.73
68000,0.72
69000,0.72
70000,0.73
71000,0.72
72000,0.72
73000,0.72
74000,0.72
75000,0.72
76000,0.72
77000,0.72
78000,0.71
79000,0.7
80000,0.7
81000,0.7
82000,0.69
83000,0.67
84000,0.67
85000,0.67
86000,0.67
87000,0.67
88000,0.67
89000,0.67
90000,0.68
91000,0.68
92000,0.69
93000,0.69
94000,0.69
95000,0.69
96000,0.68
97000,0.68
98000,0.68
99000,0.68
100000,0.68
101000,0.68
102000,0.68
103000,0.68
104000,0.67
105000,0.68
106000,0.67
107000,0.67
108000,0.67
109000,0.67
110000,0.66
111000,0.67
112000,0.67
113000,0.67
114000,0.67
115000,0.65
116000,0.64
117000,0.64
118000,0.65
119000,0.69
120000,0.7
121000,0.69
122000,0.69
123000,0.69
124000,0.69
125000,0.69
126000,0.69
127000,0.69
128000,0.69
129000,0.69
130000,0.72
131000,0.73
132000,0.73
133000,0.73
134000,0.73
135000,0.73
136000,0.73
137000,0.73
138000,0.71
139000,0.71
140000,0.72
141000,0.72
142000,0.72
143000,0.71
144000,0.73
145000,0.73
146000,0.72
147000,0.72
148000,0.72
149000,0.71
150000,0.71
151000,0.71
152000,0.69
153000,0.68
154000,0.68
155000,0.68
156000,0.68
157000,0.7
158000,0.71
159000,0.7
160000,0.7
161000,0.69
162000,0.69
163000,0.69
164000,0.67
165000,0.67
166000,0.67
167000,0.65
168000,0.67
169000,0.67
170000,0.67
171000,0.67
172000,0.67
173000,0.67
174000,0.65
175000,0.66
176000,0.65
177000,0.65
178000,0.65
179000,0.64
180000,0.64
181000,0.64
182000,0.62
183000,0.62
184000,0.65
185000,0.65
186000,0.65
187000,0.64
188000,0.63
189000,0.63
190000,0.63
191000,0.63
192000,0.61
193000,0.61
194000,0.6
195000,0.6
196000,0.6
197000,0.63
198000,0.63
199000,0.63
200000,0.63
201000,0.62
202000,0.61
203000,0.61
204000,0.61
205000,0.6
206000,0.59
207000,0.59
208000,0.59
209000,0.58
210000,0.58
211000,0.58
212000,0.57
213000,0.57
214000,0.57
215000,0.58
216000,0.57
217000,0.57
218000,0.57
219000,0.57
220000,0.57
221000,0.57
222000,0.56
223000,0.59
224000,0.59
225000,0.59
226000,0.59
227000,0.59
228000,0.57
229000,0.57
230000,0.57
231000,0.56
232000,0.56
233000,0.56
234000,0.55
235000,0.54
236000,0.54
237000,0.54
238000,0.55
239000,0.55
240000,0.55
241000,0.54
242000,0.55
243000,0.55
244000,0.55
245000,0.55
246000,0.57
247000,0.57
248000,0.57
249000,0.56
250000,0.56
251000,0.56
252000,0.56
253000,0.56
254000,0.56
255000,0.56
256000,0.55
257000,0.54
258000,0.54
259000,0.54
260000,0.52
261000,0.52
262000,0.52
263000,0.51
264000,0.51
265000,0.51
266000,0.51
267000,0.52
268000,0.54
269000,0.54
270000,0.54
271000,0.54
272000,0.54
273000,0.53
274000,0.53
275000,0.53
276000,0.53
277000,0.53
278000,0.54
279000,0.53
280000,0.53
281000,0.53
282000,0.52
283000,0.52
284000,0.52
285000,0.51
286000,0.51
287000,0.51
288000,0.51
289000,0.5
290000,0.5
291000,0.5
292000,0.5
293000,0.52
294000,0.53
295000,0.53
296000,0.53
297000,0.53
298000,0.51
299000,0.51
300000,0.51
301000,0.51
302000,0.51
