Idx,win_rate0
0,0.5
1000,0.6363636363636364
2000,0.6190476190476191
3000,0.6666666666666666
4000,0.6666666666666666
5000,0.72
6000,0.746031746031746
7000,0.72
8000,0.7558139534883721
9000,0.7653061224489796
10000,0.78
11000,0.79
12000,0.8
13000,0.8
14000,0.79
15000,0.77
16000,0.76
17000,0.72
18000,0.71
19000,0.69
20000,0.65
21000,0.6
22000,0.6
23000,0.6
24000,0.64
25000,0.65
26000,0.67
27000,0.68
28000,0.71
29000,0.74
30000,0.74
31000,0.73
32000,0.73
33000,0.75
34000,0.76
35000,0.77
36000,0.81
37000,0.82
38000,0.82
39000,0.83
40000,0.85
41000,0.81
42000,0.78
43000,0.77
44000,0.77
45000,0.76
46000,0.76
47000,0.77
48000,0.79
49000,0.8
50000,0.8
51000,0.82
52000,0.83
53000,0.82
54000,0.83
55000,0.85
56000,0.83
57000,0.82
58000,0.78
59000,0.79
60000,0.8
61000,0.82
62000,0.84
63000,0.87
64000,0.86
65000,0.84
66000,0.81
67000,0.8
68000,0.81
69000,0.8
70000,0.85
71000,0.86
72000,0.86
73000,0.85
74000,0.84
75000,0.84
76000,0.85
77000,0.88
78000,0.89
79000,0.93
80000,0.9
81000,0.88
82000,0.85
83000,0.84
84000,0.82
85000,0.84
86000,0.8
87000,0.81
88000,0.83
89000,0.86
90000,0.84
91000,0.81
92000,0.78
93000,0.8
94000,0.76
95000,0.77
96000,0.79
97000,0.8
98000,0.81
99000,0.84
100000,0.89
101000,0.85
102000,0.82
103000,0.77
104000,0.76
105000,0.69
106000,0.68
107000,0.63
108000,0.67
109000,0.69
110000,0.74
111000,0.78
112000,0.79
113000,0.79
114000,0.8
115000,0.8
116000,0.82
117000,0.8
118000,0.82
119000,0.84
120000,0.81
121000,0.82
122000,0.83
123000,0.8
124000,0.79
125000,0.81
126000,0.79
127000,0.81
128000,0.79
129000,0.78
130000,0.77
131000,0.77
132000,0.8
133000,0.82
134000,0.78
135000,0.81
136000,0.85
137000,0.88
138000,0.85
139000,0.85
140000,0.91
141000,0.9
142000,0.86
143000,0.84
144000,0.83
145000,0.84
146000,0.83
147000,0.81
148000,0.82
149000,0.86
150000,0.86
151000,0.85
152000,0.85
153000,0.85
154000,0.82
155000,0.81
156000,0.81
157000,0.81
158000,0.81
159000,0.84
160000,0.86
161000,0.87
162000,0.88
163000,0.88
164000,0.88
165000,0.85
166000,0.84
167000,0.81
168000,0.79
169000,0.77
170000,0.78
171000,0.79
172000,0.82
173000,0.87
174000,0.87
175000,0.88
176000,0.86
177000,0.86
178000,0.86
179000,0.85
180000,0.87
181000,0.87
182000,0.91
183000,0.9
184000,0.88
185000,0.87
186000,0.89
187000,0.88
188000,0.86
189000,0.85
190000,0.83
191000,0.82
192000,0.8
193000,0.78
194000,0.77
195000,0.78
196000,0.84
197000,0.82
198000,0.83
199000,0.85
200000,0.87
201000,0.85
202000,0.84
203000,0.87
204000,0.85
205000,0.84
206000,0.83
207000,0.84
208000,0.83
209000,0.81
210000,0.81
211000,0.81
212000,0.81
213000,0.83
214000,0.82
215000,0.83
216000,0.85
217000,0.87
218000,0.87
219000,0.87
220000,0.86
221000,0.86
222000,0.88
223000,0.84
224000,0.86
225000,0.85
226000,0.86
227000,0.85
228000,0.83
229000,0.87
230000,0.85
231000,0.83
232000,0.84
233000,0.87
234000,0.87
235000,0.84
236000,0.83
237000,0.86
238000,0.82
239000,0.82
240000,0.8
241000,0.82
242000,0.81
243000,0.83
244000,0.86
245000,0.84
246000,0.85
247000,0.86
248000,0.88
249000,0.88
250000,0.85
251000,0.84
252000,0.85
253000,0.85
254000,0.84
255000,0.83
256000,0.87
257000,0.89
258000,0.86
259000,0.84
260000,0.84
261000,0.86
262000,0.83
263000,0.85
264000,0.87
265000,0.86
266000,0.85
267000,0.84
268000,0.86
269000,0.86
270000,0.85
271000,0.86
272000,0.9
273000,0.9
274000,0.9
275000,0.92
276000,0.91
277000,0.89
278000,0.89
279000,0.84
280000,0.83
281000,0.83
282000,0.84
283000,0.81
284000,0.79
285000,0.81
286000,0.84
287000,0.81
288000,0.83
289000,0.88
290000,0.89
291000,0.9
292000,0.87
293000,0.9
294000,0.88
295000,0.87
296000,0.86
297000,0.86
298000,0.88
299000,0.88
300000,0.91
301000,0.91
302000,0.89
303000,0.9
304000,0.92
305000,0.9
306000,0.89
307000,0.9
308000,0.9
309000,0.89
310000,0.87
311000,0.87
312000,0.84
313000,0.84
314000,0.85
315000,0.82
316000,0.82
317000,0.84
318000,0.86
319000,0.85
320000,0.84
321000,0.87
322000,0.87
323000,0.85
324000,0.87
325000,0.86
326000,0.86
327000,0.85
328000,0.83
329000,0.85
330000,0.85
331000,0.84
332000,0.85
333000,0.84
334000,0.86
335000,0.86
336000,0.84
337000,0.82
338000,0.83
339000,0.86
340000,0.87
341000,0.86
342000,0.87
343000,0.89
344000,0.88
345000,0.88
346000,0.88
347000,0.87
348000,0.85
349000,0.85
350000,0.86
351000,0.84
352000,0.86
353000,0.86
354000,0.89
355000,0.88
356000,0.9
357000,0.89
358000,0.9
359000,0.9
360000,0.89
361000,0.86
362000,0.87
363000,0.85
364000,0.86
365000,0.83
366000,0.85
367000,0.87
368000,0.85
369000,0.85
370000,0.82
371000,0.85
372000,0.82
373000,0.79
374000,0.77
375000,0.76
376000,0.8
377000,0.81
378000,0.8
379000,0.82
380000,0.81
381000,0.82
382000,0.8
383000,0.79
384000,0.77
385000,0.78
386000,0.77
387000,0.77
388000,0.75
389000,0.76
390000,0.8
391000,0.81
392000,0.83
393000,0.84
394000,0.86
395000,0.86
396000,0.87
397000,0.86
398000,0.83
399000,0.82
400000,0.85
401000,0.87
402000,0.87
403000,0.89
404000,0.9
405000,0.91
406000,0.88
407000,0.88
408000,0.85
409000,0.87
410000,0.85
411000,0.85
412000,0.85
413000,0.86
414000,0.85
415000,0.86
416000,0.87
417000,0.88
418000,0.86
419000,0.83
420000,0.83
421000,0.82
422000,0.82
423000,0.83
424000,0.82
425000,0.85
426000,0.86
427000,0.84
428000,0.85
429000,0.82
430000,0.83
431000,0.85
432000,0.85
433000,0.86
434000,0.86
435000,0.86
436000,0.88
437000,0.87
438000,0.88
439000,0.89
440000,0.89
441000,0.91
442000,0.92
443000,0.92
444000,0.89
445000,0.88
446000,0.84
447000,0.84
448000,0.84
449000,0.86
450000,0.89
451000,0.88
452000,0.89
453000,0.88
454000,0.84
455000,0.83
456000,0.83
457000,0.84
458000,0.83
459000,0.85
460000,0.85
461000,0.82
462000,0.84
463000,0.84
464000,0.86
465000,0.84
466000,0.87
467000,0.86
468000,0.88
469000,0.87
470000,0.89
471000,0.89
472000,0.9
473000,0.9
474000,0.88
475000,0.88
476000,0.89
477000,0.87
478000,0.86
479000,0.87
480000,0.87
481000,0.87
482000,0.85
483000,0.86
484000,0.85
485000,0.85
486000,0.85
487000,0.84
488000,0.83
489000,0.85
490000,0.86
491000,0.88
492000,0.88
493000,0.86
494000,0.87
495000,0.89
496000,0.89
497000,0.91
498000,0.92
499000,0.92
500000,0.93
501000,0.92
502000,0.93
503000,0.93
504000,0.94
505000,0.93
506000,0.9
507000,0.91
508000,0.9
509000,0.89
510000,0.88
511000,0.9
512000,0.89
513000,0.88
514000,0.88
515000,0.9
516000,0.9
517000,0.92
518000,0.89
519000,0.89
520000,0.89
521000,0.88
522000,0.89
523000,0.9
524000,0.92
525000,0.9
526000,0.93
527000,0.91
528000,0.89
529000,0.86
