Idx,win_rate0
0,0.5
1000,0.7777777777777778
2000,0.6666666666666666
3000,0.6
4000,0.62
5000,0.6428571428571429
6000,0.6739130434782609
7000,0.69
8000,0.72
9000,0.75
10000,0.75
11000,0.75
12000,0.77
13000,0.76
14000,0.75
15000,0.75
16000,0.74
17000,0.75
18000,0.76
19000,0.76
20000,0.76
21000,0.74
22000,0.74
23000,0.72
24000,0.72
25000,0.74
26000,0.76
27000,0.74
28000,0.75
29000,0.74
30000,0.73
31000,0.75
32000,0.74
33000,0.73
34000,0.75
35000,0.73
36000,0.75
37000,0.74
38000,0.73
39000,0.75
40000,0.75
41000,0.77
42000,0.77
43000,0.77
44000,0.77
45000,0.77
46000,0.75
47000,0.74
48000,0.75
49000,0.75
50000,0.76
51000,0.76
52000,0.77
53000,0.76
54000,0.75
55000,0.74
56000,0.73
57000,0.73
58000,0.73
59000,0.72
60000,0.71
61000,0.73
62000,0.75
63000,0.74
64000,0.74
65000,0.76
66000,0.76
67000,0.74
68000,0.76
69000,0.75
70000,0.75
71000,0.78
72000,0.77
73000,0.74
74000,0.72
75000,0.71
76000,0.7
77000,0.73
78000,0.73
79000,0.76
80000,0.76
81000,0.75
82000,0.74
83000,0.74
84000,0.72
85000,0.74
86000,0.75
87000,0.73
88000,0.75
89000,0.75
90000,0.74
91000,0.77
92000,0.75
93000,0.76
94000,0.74
95000,0.74
96000,0.75
97000,0.73
98000,0.74
99000,0.74
100000,0.73
101000,0.76
102000,0.75
103000,0.75
104000,0.77
105000,0.76
106000,0.77
107000,0.76
108000,0.75
109000,0.75
110000,0.74
111000,0.76
112000,0.74
113000,0.73
114000,0.74
115000,0.72
116000,0.74
117000,0.74
118000,0.75
119000,0.76
120000,0.75
121000,0.75
122000,0.75
123000,0.74
124000,0.75
125000,0.74
126000,0.76
127000,0.76
128000,0.76
129000,0.76
130000,0.76
131000,0.77
132000,0.77
133000,0.77
134000,0.76
135000,0.75
136000,0.75
137000,0.75
138000,0.75
139000,0.74
140000,0.75
141000,0.74
142000,0.76
143000,0.77
144000,0.77
145000,0.75
146000,0.77
147000,0.78
148000,0.77
149000,0.77
150000,0.75
151000,0.75
152000,0.74
153000,0.75
154000,0.77
155000,0.76
156000,0.75
157000,0.75
158000,0.74
159000,0.73
160000,0.75
161000,0.75
162000,0.75
163000,0.76
164000,0.75
165000,0.75
166000,0.75
167000,0.76
168000,0.76
169000,0.76
170000,0.76
171000,0.76
172000,0.77
173000,0.77
174000,0.77
175000,0.77
176000,0.77
177000,0.77
178000,0.76
179000,0.75
180000,0.74
181000,0.73
182000,0.75
183000,0.76
184000,0.75
185000,0.74
186000,0.75
187000,0.75
188000,0.74
189000,0.76
190000,0.76
191000,0.76
192000,0.75
193000,0.76
194000,0.74
195000,0.75
196000,0.76
197000,0.76
198000,0.76
199000,0.74
200000,0.74
201000,0.74
202000,0.74
203000,0.74
204000,0.76
205000,0.75
206000,0.76
207000,0.74
208000,0.75
209000,0.75
210000,0.76
211000,0.77
212000,0.77
213000,0.77
214000,0.78
215000,0.79
216000,0.79
217000,0.77
218000,0.76
219000,0.76
220000,0.76
221000,0.77
222000,0.77
223000,0.76
224000,0.76
225000,0.76
226000,0.77
227000,0.77
228000,0.76
229000,0.76
230000,0.74
231000,0.74
232000,0.75
233000,0.75
234000,0.76
235000,0.75
236000,0.74
237000,0.74
238000,0.74
239000,0.75
240000,0.75
241000,0.75
242000,0.75
243000,0.75
244000,0.73
245000,0.73
246000,0.74
247000,0.71
248000,0.72
249000,0.71
250000,0.71
251000,0.72
252000,0.75
253000,0.75
254000,0.76
255000,0.76
256000,0.74
257000,0.75
258000,0.74
259000,0.73
260000,0.74
261000,0.74
262000,0.73
263000,0.74
264000,0.75
265000,0.76
266000,0.73
267000,0.73
268000,0.73
269000,0.71
270000,0.72
271000,0.74
272000,0.74
273000,0.75
274000,0.76
275000,0.77
276000,0.76
277000,0.75
278000,0.74
279000,0.76
280000,0.77
281000,0.79
282000,0.79
283000,0.76
284000,0.76
285000,0.76
286000,0.76
287000,0.76
288000,0.75
289000,0.73
290000,0.72
291000,0.71
292000,0.72
293000,0.73
294000,0.75
295000,0.75
296000,0.76
297000,0.77
298000,0.76
299000,0.78
300000,0.77
301000,0.76
302000,0.75
303000,0.74
304000,0.73
305000,0.75
306000,0.75
307000,0.76
308000,0.76
309000,0.75
310000,0.76
311000,0.76
312000,0.76
313000,0.76
314000,0.75
315000,0.74
316000,0.74
317000,0.75
318000,0.75
319000,0.76
320000,0.77
321000,0.77
322000,0.77
323000,0.76
324000,0.75
325000,0.73
326000,0.74
327000,0.74
328000,0.76
329000,0.76
330000,0.76
331000,0.77
332000,0.78
333000,0.76
334000,0.77
335000,0.76
336000,0.74
337000,0.76
338000,0.75
339000,0.74
340000,0.76
341000,0.76
342000,0.75
343000,0.76
344000,0.76
345000,0.75
346000,0.75
347000,0.77
348000,0.76
349000,0.77
350000,0.77
351000,0.76
352000,0.74
353000,0.74
354000,0.75
355000,0.75
356000,0.75
357000,0.75
358000,0.75
359000,0.76
360000,0.76
361000,0.76
362000,0.75
363000,0.75
364000,0.75
365000,0.74
366000,0.74
367000,0.73
368000,0.72
369000,0.73
370000,0.73
371000,0.73
372000,0.75
373000,0.76
374000,0.76
375000,0.78
376000,0.77
377000,0.77
378000,0.77
379000,0.74
380000,0.73
381000,0.74
382000,0.74
383000,0.76
384000,0.76
385000,0.76
386000,0.77
387000,0.76
388000,0.77
389000,0.76
390000,0.75
391000,0.76
392000,0.77
393000,0.76
394000,0.77
395000,0.76
396000,0.76
397000,0.77
398000,0.76
399000,0.75
400000,0.75
401000,0.75
402000,0.74
403000,0.75
404000,0.77
405000,0.76
406000,0.77
407000,0.77
408000,0.78
409000,0.77
410000,0.77
411000,0.78
412000,0.77
413000,0.78
414000,0.78
415000,0.78
416000,0.77
417000,0.77
418000,0.77
419000,0.76
420000,0.76
421000,0.76
422000,0.76
423000,0.75
424000,0.75
425000,0.74
426000,0.75
427000,0.75
428000,0.76
429000,0.77
430000,0.77
431000,0.75
432000,0.76
433000,0.75
434000,0.76
435000,0.77
436000,0.77
437000,0.76
438000,0.77
439000,0.75
440000,0.74
441000,0.75
442000,0.75
443000,0.77
444000,0.77
445000,0.78
446000,0.76
447000,0.76
448000,0.75
449000,0.75
450000,0.75
451000,0.76
452000,0.75
453000,0.75
454000,0.75
455000,0.75
456000,0.76
457000,0.75
458000,0.76
459000,0.76
460000,0.75
461000,0.74
462000,0.76
463000,0.77
464000,0.78
465000,0.77
466000,0.76
467000,0.76
468000,0.75
469000,0.76
470000,0.74
471000,0.72
472000,0.74
473000,0.75
474000,0.77
475000,0.78
476000,0.76
477000,0.76
478000,0.76
479000,0.76
480000,0.76
481000,0.77
482000,0.77
483000,0.76
484000,0.76
485000,0.76
486000,0.76
487000,0.77
488000,0.76
489000,0.78
490000,0.78
491000,0.76
492000,0.75
493000,0.75
494000,0.75
495000,0.75
496000,0.77
497000,0.77
498000,0.77
499000,0.78
500000,0.77
501000,0.75
502000,0.76
503000,0.77
504000,0.78
505000,0.79
506000,0.79
507000,0.79
508000,0.77
509000,0.77
510000,0.76
511000,0.75
512000,0.75
513000,0.75
514000,0.73
515000,0.73
516000,0.74
517000,0.74
518000,0.74
519000,0.76
520000,0.76
521000,0.76
522000,0.75
523000,0.74
524000,0.73
525000,0.73
526000,0.74
527000,0.77
528000,0.76
529000,0.77
530000,0.76
531000,0.77
532000,0.75
533000,0.76
534000,0.77
535000,0.77
536000,0.77
537000,0.79
538000,0.76
539000,0.76
540000,0.76
541000,0.75
542000,0.76
543000,0.77
544000,0.76
545000,0.75
546000,0.75
547000,0.76
548000,0.76
549000,0.75
550000,0.74
551000,0.73
552000,0.73
553000,0.74
554000,0.75
555000,0.76
556000,0.75
557000,0.76
558000,0.75
559000,0.75
560000,0.76
561000,0.75
562000,0.77
563000,0.76
564000,0.75
565000,0.76
566000,0.77
567000,0.77
568000,0.77
569000,0.76
570000,0.76
571000,0.78
572000,0.78
573000,0.78
574000,0.78
575000,0.77
576000,0.77
577000,0.75
578000,0.74
