Idx,win_rate0
0,0.5
1000,0.6666666666666666
2000,0.7647058823529411
3000,0.6071428571428571
4000,0.59375
5000,0.5384615384615384
6000,0.5777777777777777
7000,0.6037735849056604
8000,0.6271186440677966
9000,0.6363636363636364
10000,0.6351351351351351
11000,0.6282051282051282
12000,0.6309523809523809
13000,0.6421052631578947
14000,0.63
15000,0.62
16000,0.63
17000,0.65
18000,0.68
19000,0.69
20000,0.69
21000,0.69
22000,0.69
23000,0.7
24000,0.71
25000,0.71
26000,0.7
27000,0.71
28000,0.7
29000,0.7
30000,0.71
31000,0.68
32000,0.68
33000,0.68
34000,0.69
35000,0.68
36000,0.69
37000,0.68
38000,0.68
39000,0.68
40000,0.68
41000,0.68
42000,0.68
43000,0.64
44000,0.65
45000,0.67
46000,0.67
47000,0.66
48000,0.66
49000,0.66
50000,0.65
51000,0.66
52000,0.64
53000,0.66
54000,0.66
55000,0.67
56000,0.65
57000,0.65
58000,0.66
59000,0.66
60000,0.66
61000,0.65
62000,0.67
63000,0.69
64000,0.69
65000,0.7
66000,0.73
67000,0.77
68000,0.77
69000,0.76
70000,0.75
71000,0.76
72000,0.77
73000,0.76
74000,0.78
75000,0.77
76000,0.75
77000,0.75
78000,0.77
79000,0.77
80000,0.76
81000,0.77
82000,0.77
83000,0.77
84000,0.78
85000,0.83
86000,0.83
87000,0.82
88000,0.84
89000,0.85
90000,0.82
91000,0.83
92000,0.82
93000,0.81
94000,0.8
95000,0.8
96000,0.8
97000,0.81
98000,0.8
99000,0.79
100000,0.81
101000,0.83
102000,0.78
103000,0.79
104000,0.74
105000,0.73
106000,0.69
107000,0.67
108000,0.64
109000,0.64
110000,0.65
111000,0.68
112000,0.69
113000,0.68
114000,0.72
115000,0.74
116000,0.75
117000,0.72
118000,0.74
119000,0.73
120000,0.72
121000,0.73
122000,0.77
123000,0.76
124000,0.79
125000,0.8
126000,0.83
127000,0.81
128000,0.81
129000,0.81
130000,0.81
131000,0.78
132000,0.75
133000,0.74
134000,0.76
135000,0.73
136000,0.74
137000,0.72
138000,0.75
139000,0.74
140000,0.78
141000,0.71
142000,0.72
143000,0.72
144000,0.7
145000,0.71
146000,0.71
147000,0.7
148000,0.71
149000,0.7
150000,0.7
151000,0.69
152000,0.71
153000,0.67
154000,0.64
155000,0.64
156000,0.63
157000,0.67
158000,0.69
159000,0.71
160000,0.7
161000,0.71
162000,0.72
163000,0.75
164000,0.77
165000,0.72
166000,0.73
167000,0.73
168000,0.73
169000,0.75
170000,0.77
171000,0.76
172000,0.74
173000,0.75
174000,0.76
175000,0.73
176000,0.75
177000,0.77
178000,0.76
179000,0.76
180000,0.79
181000,0.77
182000,0.8
183000,0.8
184000,0.8
185000,0.79
186000,0.78
187000,0.77
188000,0.75
189000,0.78
190000,0.71
191000,0.71
192000,0.71
193000,0.71
194000,0.69
195000,0.72
196000,0.71
197000,0.71
198000,0.78
199000,0.78
200000,0.79
201000,0.79
202000,0.76
203000,0.75
204000,0.7
205000,0.72
206000,0.72
207000,0.69
208000,0.68
209000,0.68
210000,0.66
211000,0.67
212000,0.71
213000,0.73
214000,0.76
215000,0.76
216000,0.75
217000,0.75
218000,0.75
219000,0.73
220000,0.71
221000,0.69
222000,0.72
223000,0.72
224000,0.67
225000,0.69
226000,0.72
227000,0.68
228000,0.66
229000,0.68
230000,0.7
231000,0.65
232000,0.66
233000,0.68
234000,0.67
235000,0.66
236000,0.74
237000,0.74
238000,0.76
239000,0.77
240000,0.8
241000,0.8
242000,0.84
243000,0.81
244000,0.81
245000,0.81
246000,0.81
247000,0.79
248000,0.77
249000,0.78
250000,0.75
251000,0.76
252000,0.75
253000,0.74
254000,0.75
255000,0.77
256000,0.79
257000,0.77
258000,0.76
259000,0.75
260000,0.74
261000,0.73
262000,0.74
263000,0.74
264000,0.75
265000,0.73
266000,0.74
267000,0.75
268000,0.77
269000,0.77
270000,0.8
271000,0.8
272000,0.76
273000,0.75
274000,0.78
275000,0.76
276000,0.77
277000,0.78
278000,0.77
279000,0.76
280000,0.75
281000,0.77
282000,0.8
283000,0.82
284000,0.82
285000,0.82
286000,0.83
287000,0.84
288000,0.81
289000,0.78
290000,0.78
291000,0.74
292000,0.74
293000,0.73
294000,0.73
295000,0.7
296000,0.75
297000,0.73
298000,0.75
299000,0.79
300000,0.8
301000,0.82
302000,0.84
303000,0.84
304000,0.79
305000,0.82
306000,0.8
307000,0.82
308000,0.79
309000,0.76
310000,0.74
