Idx,win_rate0
0,0.5
1000,0.6428571428571429
2000,0.64
3000,0.647887323943662
4000,0.6444444444444445
5000,0.64
6000,0.65
7000,0.66
8000,0.64
9000,0.64
10000,0.64
11000,0.64
12000,0.64
13000,0.65
14000,0.65
15000,0.64
16000,0.66
17000,0.67
18000,0.66
19000,0.66
20000,0.66
21000,0.65
22000,0.64
23000,0.64
24000,0.65
25000,0.64
26000,0.65
27000,0.68
28000,0.68
29000,0.68
30000,0.67
31000,0.67
32000,0.66
33000,0.67
34000,0.67
35000,0.67
36000,0.66
37000,0.66
38000,0.66
39000,0.65
40000,0.64
41000,0.65
42000,0.68
43000,0.68
44000,0.68
45000,0.68
46000,0.68
47000,0.66
48000,0.64
49000,0.63
50000,0.65
51000,0.64
52000,0.64
53000,0.65
54000,0.66
55000,0.65
56000,0.67
57000,0.67
58000,0.68
59000,0.67
60000,0.68
61000,0.67
62000,0.67
63000,0.67
64000,0.66
65000,0.67
66000,0.67
67000,0.67
68000,0.68
69000,0.67
70000,0.65
71000,0.64
72000,0.63
73000,0.63
74000,0.64
75000,0.66
76000,0.66
77000,0.66
78000,0.66
79000,0.67
80000,0.67
81000,0.66
82000,0.67
83000,0.67
84000,0.69
85000,0.7
86000,0.7
87000,0.69
88000,0.67
89000,0.66
90000,0.67
91000,0.67
92000,0.67
93000,0.67
94000,0.66
95000,0.65
96000,0.65
97000,0.64
98000,0.65
99000,0.65
100000,0.64
101000,0.64
102000,0.64
103000,0.65
104000,0.66
105000,0.66
106000,0.67
107000,0.68
108000,0.68
109000,0.69
110000,0.69
111000,0.67
112000,0.68
113000,0.67
114000,0.66
115000,0.65
116000,0.66
117000,0.68
118000,0.68
119000,0.68
120000,0.66
121000,0.65
122000,0.66
123000,0.66
124000,0.66
125000,0.66
126000,0.66
127000,0.66
128000,0.67
129000,0.67
130000,0.67
131000,0.66
132000,0.67
133000,0.66
134000,0.66
135000,0.67
136000,0.65
137000,0.66
138000,0.66
139000,0.67
140000,0.67
141000,0.67
142000,0.66
143000,0.67
144000,0.66
145000,0.65
146000,0.65
147000,0.66
148000,0.68
149000,0.66
150000,0.65
151000,0.64
152000,0.64
153000,0.64
154000,0.63
155000,0.65
156000,0.65
157000,0.66
158000,0.67
159000,0.67
160000,0.67
161000,0.67
162000,0.68
163000,0.67
164000,0.66
165000,0.66
166000,0.65
167000,0.65
168000,0.66
169000,0.67
170000,0.67
171000,0.69
172000,0.69
173000,0.67
174000,0.67
175000,0.66
176000,0.66
177000,0.65
178000,0.65
179000,0.66
180000,0.64
181000,0.66
182000,0.66
183000,0.66
184000,0.66
185000,0.66
186000,0.67
187000,0.66
188000,0.68
189000,0.66
190000,0.66
191000,0.67
192000,0.69
193000,0.67
194000,0.68
195000,0.67
196000,0.64
197000,0.65
198000,0.65
199000,0.65
200000,0.65
201000,0.66
202000,0.65
203000,0.66
204000,0.65
205000,0.65
206000,0.66
207000,0.64
208000,0.65
209000,0.64
210000,0.65
211000,0.66
212000,0.66
213000,0.67
214000,0.67
215000,0.66
216000,0.66
217000,0.66
218000,0.66
219000,0.65
220000,0.65
221000,0.67
222000,0.67
223000,0.67
224000,0.66
225000,0.65
226000,0.66
227000,0.66
228000,0.65
229000,0.65
230000,0.65
231000,0.67
232000,0.68
233000,0.7
234000,0.7
235000,0.67
236000,0.68
237000,0.67
238000,0.67
239000,0.65
240000,0.64
241000,0.66
242000,0.67
243000,0.69
244000,0.69
245000,0.68
246000,0.67
247000,0.64
248000,0.63
249000,0.64
250000,0.67
251000,0.67
252000,0.68
253000,0.69
254000,0.66
255000,0.67
256000,0.67
257000,0.66
258000,0.66
259000,0.66
260000,0.66
261000,0.66
262000,0.67
263000,0.67
264000,0.66
265000,0.67
266000,0.67
267000,0.66
268000,0.66
269000,0.67
270000,0.65
271000,0.67
272000,0.67
273000,0.67
274000,0.67
275000,0.66
276000,0.66
277000,0.64
278000,0.63
279000,0.63
280000,0.64
281000,0.66
282000,0.65
283000,0.67
284000,0.66
285000,0.65
286000,0.65
287000,0.65
288000,0.66
289000,0.66
290000,0.66
291000,0.65
292000,0.66
293000,0.65
294000,0.66
295000,0.66
296000,0.66
297000,0.68
298000,0.66
299000,0.66
300000,0.66
301000,0.66
302000,0.65
303000,0.65
304000,0.66
305000,0.68
306000,0.67
307000,0.69
308000,0.69
309000,0.69
310000,0.68
311000,0.66
312000,0.66
313000,0.66
314000,0.66
315000,0.68
316000,0.67
317000,0.66
318000,0.67
319000,0.66
320000,0.66
321000,0.67
322000,0.65
323000,0.66
324000,0.67
325000,0.68
326000,0.69
327000,0.68
328000,0.67
329000,0.66
330000,0.65
331000,0.65
332000,0.65
333000,0.64
334000,0.66
335000,0.65
336000,0.66
337000,0.65
338000,0.66
339000,0.65
340000,0.65
341000,0.65
342000,0.66
343000,0.68
344000,0.68
345000,0.68
346000,0.68
347000,0.67
348000,0.67
349000,0.68
350000,0.65
351000,0.66
352000,0.67
353000,0.67
354000,0.68
355000,0.68
356000,0.68
357000,0.67
358000,0.66
359000,0.67
360000,0.67
361000,0.67
362000,0.66
363000,0.66
364000,0.66
365000,0.65
366000,0.66
367000,0.65
368000,0.64
369000,0.64
370000,0.65
371000,0.63
372000,0.65
373000,0.64
374000,0.65
375000,0.65
376000,0.66
377000,0.66
378000,0.65
379000,0.66
380000,0.67
381000,0.68
382000,0.7
383000,0.69
384000,0.68
385000,0.64
386000,0.64
387000,0.66
388000,0.67
389000,0.68
390000,0.69
391000,0.67
392000,0.67
393000,0.66
394000,0.64
395000,0.63
396000,0.64
397000,0.67
398000,0.67
399000,0.67
400000,0.67
401000,0.66
402000,0.66
403000,0.64
404000,0.65
405000,0.64
406000,0.65
407000,0.67
408000,0.67
409000,0.67
410000,0.67
411000,0.66
412000,0.66
413000,0.67
414000,0.69
415000,0.7
416000,0.69
417000,0.67
418000,0.67
419000,0.65
420000,0.67
421000,0.66
422000,0.65
423000,0.65
424000,0.65
425000,0.66
426000,0.67
427000,0.67
428000,0.67
429000,0.66
430000,0.66
431000,0.65
432000,0.66
433000,0.66
434000,0.65
435000,0.66
436000,0.66
437000,0.65
438000,0.67
439000,0.68
440000,0.68
441000,0.69
442000,0.7
443000,0.7
444000,0.7
445000,0.69
446000,0.68
447000,0.67
448000,0.66
449000,0.66
450000,0.66
451000,0.64
452000,0.65
453000,0.66
454000,0.65
455000,0.66
456000,0.66
457000,0.67
458000,0.67
459000,0.67
460000,0.69
461000,0.67
462000,0.67
463000,0.67
464000,0.68
465000,0.66
466000,0.67
467000,0.68
468000,0.7
469000,0.7
470000,0.7
471000,0.68
472000,0.66
473000,0.67
474000,0.67
475000,0.66
476000,0.67
477000,0.68
478000,0.67
479000,0.68
480000,0.66
481000,0.67
482000,0.68
483000,0.68
484000,0.66
485000,0.67
486000,0.66
487000,0.66
488000,0.66
489000,0.65
490000,0.65
491000,0.67
492000,0.68
493000,0.68
494000,0.67
495000,0.67
496000,0.66
497000,0.67
498000,0.66
499000,0.65
500000,0.65
501000,0.65
502000,0.65
503000,0.66
504000,0.66
505000,0.65
506000,0.66
507000,0.66
508000,0.65
509000,0.65
510000,0.64
511000,0.66
512000,0.69
513000,0.68
514000,0.67
515000,0.67
516000,0.66
517000,0.66
518000,0.66
519000,0.64
520000,0.66
521000,0.67
522000,0.67
523000,0.67
524000,0.67
525000,0.66
526000,0.66
527000,0.66
528000,0.66
529000,0.66
530000,0.66
531000,0.67
532000,0.67
533000,0.66
534000,0.66
535000,0.66
536000,0.66
537000,0.66
538000,0.66
539000,0.66
540000,0.65
541000,0.65
542000,0.65
543000,0.65
544000,0.67
545000,0.69
546000,0.68
547000,0.69
548000,0.67
549000,0.69
550000,0.68
551000,0.67
552000,0.67
553000,0.67
554000,0.67
555000,0.67
556000,0.69
557000,0.69
558000,0.69
559000,0.69
560000,0.69
561000,0.68
562000,0.66
563000,0.66
564000,0.64
565000,0.64
566000,0.65
567000,0.65
568000,0.66
569000,0.66
570000,0.67
571000,0.67
572000,0.67
573000,0.68
574000,0.67
575000,0.66
576000,0.67
577000,0.67
578000,0.66
579000,0.66
580000,0.66
581000,0.66
582000,0.68
583000,0.68
584000,0.69
585000,0.67
586000,0.67
587000,0.66
588000,0.66
589000,0.66
590000,0.66
591000,0.66
592000,0.66
593000,0.67
594000,0.67
595000,0.67
596000,0.66
597000,0.66
598000,0.66
599000,0.67
600000,0.67
601000,0.68
602000,0.69
603000,0.71
604000,0.69
605000,0.7
606000,0.68
607000,0.67
608000,0.67
609000,0.67
610000,0.65
611000,0.66
612000,0.67
613000,0.69
614000,0.7
615000,0.69
616000,0.68
617000,0.67
618000,0.66
619000,0.66
620000,0.66
621000,0.67
622000,0.67
623000,0.67
624000,0.67
625000,0.66
626000,0.66
627000,0.66
628000,0.66
629000,0.67
630000,0.66
631000,0.67
632000,0.67
633000,0.68
634000,0.68
635000,0.69
636000,0.68
637000,0.68
638000,0.68
639000,0.67
640000,0.68
641000,0.68
642000,0.68
643000,0.67
644000,0.67
645000,0.68
646000,0.66
647000,0.68
648000,0.67
649000,0.66
650000,0.66
651000,0.66
652000,0.67
653000,0.68
654000,0.67
655000,0.67
656000,0.68
657000,0.68
658000,0.66
659000,0.66
660000,0.66
661000,0.66
662000,0.68
663000,0.67
664000,0.68
665000,0.68
666000,0.67
667000,0.67
668000,0.67
669000,0.67
670000,0.66
671000,0.67
672000,0.67
673000,0.67
674000,0.68
675000,0.66
676000,0.66
677000,0.67
678000,0.67
679000,0.68
680000,0.7
681000,0.7
682000,0.69
683000,0.68
684000,0.68
685000,0.68
686000,0.68
687000,0.68
688000,0.69
689000,0.69
690000,0.68
691000,0.68
692000,0.68
693000,0.67
694000,0.68
695000,0.69
696000,0.69
697000,0.7
698000,0.72
699000,0.72
700000,0.7
701000,0.69
702000,0.68
703000,0.68
704000,0.71
705000,0.7
706000,0.69
707000,0.7
708000,0.67
709000,0.67
710000,0.66
711000,0.66
712000,0.66
713000,0.67
714000,0.68
715000,0.67
716000,0.67
717000,0.66
718000,0.66
719000,0.69
720000,0.7
721000,0.71
722000,0.7
723000,0.7
724000,0.7
725000,0.69
726000,0.66
727000,0.66
728000,0.66
729000,0.69
730000,0.68
731000,0.67
732000,0.67
733000,0.67
734000,0.67
735000,0.67
736000,0.65
737000,0.65
738000,0.66
739000,0.67
740000,0.67
741000,0.68
742000,0.68
743000,0.68
