Idx,win_rate0
0,0.5
1000,0.9
2000,0.8974358974358975
3000,0.875
4000,0.88
5000,0.8723404255319149
6000,0.86
7000,0.84
8000,0.82
9000,0.81
10000,0.79
11000,0.75
12000,0.77
13000,0.79
14000,0.81
15000,0.83
16000,0.87
17000,0.87
18000,0.86
19000,0.88
20000,0.89
21000,0.88
22000,0.87
23000,0.87
24000,0.86
25000,0.86
26000,0.85
27000,0.87
28000,0.84
29000,0.84
30000,0.83
31000,0.81
32000,0.79
33000,0.79
34000,0.8
35000,0.79
36000,0.8
37000,0.82
38000,0.84
39000,0.84
40000,0.82
41000,0.84
42000,0.82
43000,0.83
44000,0.82
45000,0.82
46000,0.83
47000,0.82
48000,0.8
49000,0.8
50000,0.79
51000,0.77
52000,0.78
53000,0.8
54000,0.83
55000,0.85
56000,0.88
57000,0.88
58000,0.87
59000,0.86
60000,0.83
61000,0.8
62000,0.82
63000,0.83
64000,0.84
65000,0.83
66000,0.83
67000,0.83
68000,0.81
69000,0.8
70000,0.81
71000,0.8
72000,0.79
73000,0.79
74000,0.8
75000,0.8
76000,0.82
77000,0.81
78000,0.79
79000,0.78
80000,0.8
81000,0.78
82000,0.78
83000,0.79
84000,0.8
85000,0.8
86000,0.77
87000,0.78
88000,0.77
89000,0.79
90000,0.78
91000,0.82
92000,0.83
93000,0.84
94000,0.86
95000,0.88
96000,0.87
97000,0.87
98000,0.86
99000,0.86
100000,0.85
101000,0.85
102000,0.85
103000,0.85
104000,0.84
105000,0.84
106000,0.85
107000,0.85
108000,0.85
109000,0.84
110000,0.81
111000,0.82
112000,0.82
113000,0.82
114000,0.83
115000,0.84
116000,0.84
117000,0.86
118000,0.87
119000,0.85
120000,0.85
121000,0.84
122000,0.82
123000,0.78
124000,0.78
125000,0.76
126000,0.77
127000,0.74
128000,0.77
129000,0.79
130000,0.81
131000,0.82
132000,0.86
133000,0.86
134000,0.85
135000,0.87
136000,0.85
137000,0.84
138000,0.84
139000,0.82
140000,0.82
141000,0.81
142000,0.81
143000,0.82
144000,0.81
145000,0.8
146000,0.79
147000,0.8
148000,0.79
149000,0.82
150000,0.8
151000,0.84
152000,0.86
153000,0.86
154000,0.82
155000,0.83
156000,0.81
157000,0.77
158000,0.77
159000,0.78
160000,0.8
161000,0.81
162000,0.81
163000,0.78
164000,0.8
165000,0.82
166000,0.82
167000,0.84
168000,0.87
169000,0.87
170000,0.86
171000,0.84
172000,0.86
173000,0.83
174000,0.83
175000,0.83
176000,0.81
177000,0.8
178000,0.79
179000,0.77
180000,0.79
181000,0.8
182000,0.84
183000,0.86
184000,0.86
185000,0.83
186000,0.81
187000,0.81
188000,0.78
189000,0.77
190000,0.78
191000,0.79
192000,0.79
193000,0.82
194000,0.82
195000,0.83
196000,0.85
197000,0.86
198000,0.85
199000,0.86
200000,0.86
201000,0.81
202000,0.78
203000,0.77
204000,0.8
205000,0.78
206000,0.78
207000,0.84
208000,0.83
209000,0.79
210000,0.78
211000,0.79
212000,0.78
213000,0.79
214000,0.8
215000,0.83
216000,0.82
217000,0.83
218000,0.83
219000,0.81
220000,0.81
221000,0.82
222000,0.81
223000,0.78
224000,0.81
225000,0.81
