Idx,win_rate0
0,0.5
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.02
7000,0.03508771929824561
8000,0.03225806451612903
9000,0.02857142857142857
10000,0.04054054054054054
11000,0.0375
12000,0.03571428571428571
13000,0.033707865168539325
14000,0.03125
15000,0.03
16000,0.03
17000,0.03
18000,0.03
19000,0.03
20000,0.03
21000,0.03
22000,0.03
23000,0.03
24000,0.03
25000,0.03
26000,0.03
27000,0.02
28000,0.01
29000,0.01
30000,0.02
31000,0.04
32000,0.05
33000,0.07
34000,0.07
35000,0.08
36000,0.09
37000,0.09
38000,0.1
39000,0.11
40000,0.12
41000,0.13
42000,0.14
43000,0.15
44000,0.17
45000,0.18
46000,0.19
47000,0.19
48000,0.2
49000,0.2
50000,0.2
51000,0.2
52000,0.22
53000,0.24
54000,0.25
55000,0.24
56000,0.22
57000,0.2
58000,0.18
59000,0.19
60000,0.21
61000,0.21
62000,0.2
63000,0.18
64000,0.18
65000,0.18
66000,0.15
67000,0.15
68000,0.15
69000,0.13
70000,0.13
71000,0.13
72000,0.13
73000,0.12
74000,0.12
75000,0.12
76000,0.1
77000,0.08
78000,0.07
79000,0.07
80000,0.08
81000,0.09
82000,0.11
83000,0.12
84000,0.11
85000,0.11
86000,0.11
87000,0.11
88000,0.11
89000,0.1
90000,0.1
91000,0.11
92000,0.13
93000,0.14
94000,0.14
95000,0.14
96000,0.14
97000,0.15
98000,0.17
99000,0.17
100000,0.19
101000,0.21
102000,0.23
103000,0.23
104000,0.24
105000,0.23
106000,0.23
107000,0.22
108000,0.22
109000,0.22
110000,0.2
111000,0.22
112000,0.22
113000,0.22
114000,0.22
115000,0.23
116000,0.24
117000,0.22
118000,0.2
119000,0.19
120000,0.19
121000,0.16
122000,0.15
123000,0.16
124000,0.16
125000,0.17
126000,0.16
127000,0.15
128000,0.16
129000,0.18
130000,0.17
131000,0.17
132000,0.17
133000,0.16
134000,0.16
135000,0.15
136000,0.15
137000,0.15
138000,0.15
139000,0.15
140000,0.15
141000,0.15
142000,0.15
143000,0.17
144000,0.18
145000,0.18
146000,0.17
147000,0.16
148000,0.16
149000,0.17
150000,0.14
151000,0.15
152000,0.16
153000,0.16
154000,0.16
155000,0.17
156000,0.17
157000,0.17
158000,0.18
159000,0.18
160000,0.2
161000,0.19
162000,0.19
163000,0.18
164000,0.19
165000,0.2
166000,0.19
167000,0.18
168000,0.17
169000,0.17
170000,0.18
171000,0.19
172000,0.17
173000,0.14
174000,0.14
175000,0.13
176000,0.11
177000,0.12
178000,0.12
179000,0.11
180000,0.12
181000,0.14
182000,0.14
183000,0.12
184000,0.12
185000,0.12
186000,0.13
187000,0.14
188000,0.13
189000,0.14
190000,0.15
191000,0.14
192000,0.14
193000,0.12
194000,0.13
195000,0.14
196000,0.14
197000,0.14
198000,0.14
199000,0.16
200000,0.16
201000,0.15
202000,0.15
203000,0.14
204000,0.1
205000,0.1
206000,0.1
207000,0.12
208000,0.09
209000,0.09
210000,0.1
211000,0.1
212000,0.1
213000,0.11
214000,0.12
215000,0.13
216000,0.14
217000,0.14
218000,0.15
219000,0.16
220000,0.16
221000,0.17
222000,0.17
223000,0.18
224000,0.18
225000,0.18
226000,0.19
227000,0.2
228000,0.2
229000,0.21
230000,0.22
231000,0.22
232000,0.2
233000,0.21
234000,0.22
235000,0.21
236000,0.21
237000,0.21
238000,0.2
239000,0.19
240000,0.18
241000,0.19
242000,0.18
243000,0.16
244000,0.15
245000,0.16
246000,0.16
247000,0.15
248000,0.15
249000,0.12
250000,0.13
251000,0.12
252000,0.12
253000,0.13
254000,0.15
255000,0.14
256000,0.13
257000,0.15
258000,0.17
259000,0.17
260000,0.18
261000,0.17
262000,0.18
263000,0.17
264000,0.18
265000,0.18
266000,0.18
267000,0.2
268000,0.22
269000,0.22
270000,0.23
271000,0.25
272000,0.25
273000,0.25
274000,0.25
275000,0.26
276000,0.26
277000,0.27
278000,0.26
279000,0.26
280000,0.23
281000,0.23
282000,0.22
283000,0.2
284000,0.2
285000,0.21
286000,0.21
287000,0.2
288000,0.21
289000,0.23
290000,0.23
291000,0.22
292000,0.23
293000,0.21
294000,0.2
295000,0.18
296000,0.16
297000,0.16
298000,0.16
299000,0.15
300000,0.15
301000,0.13
302000,0.14
303000,0.14
304000,0.15
305000,0.15
306000,0.16
307000,0.16
308000,0.16
309000,0.15
310000,0.16
311000,0.14
312000,0.13
313000,0.11
314000,0.11
315000,0.11
316000,0.1
317000,0.1
318000,0.1
319000,0.1
320000,0.1
321000,0.1
322000,0.1
323000,0.1
324000,0.11
325000,0.11
326000,0.12
327000,0.12
328000,0.1
329000,0.1
330000,0.1
331000,0.08
332000,0.07
333000,0.08
334000,0.08
335000,0.1
336000,0.11
337000,0.12
338000,0.13
339000,0.13
340000,0.13
341000,0.15
342000,0.17
343000,0.17
344000,0.16
345000,0.15
346000,0.15
347000,0.17
348000,0.16
349000,0.15
350000,0.15
351000,0.15
352000,0.17
353000,0.18
354000,0.19
355000,0.2
356000,0.19
357000,0.19
358000,0.2
359000,0.2
360000,0.19
361000,0.2
362000,0.19
363000,0.19
364000,0.19
365000,0.19
366000,0.19
367000,0.17
368000,0.17
369000,0.18
370000,0.19
371000,0.2
372000,0.2
373000,0.18
374000,0.19
375000,0.2
376000,0.19
377000,0.2
378000,0.18
379000,0.18
380000,0.16
381000,0.17
382000,0.19
383000,0.19
384000,0.2
385000,0.21
386000,0.21
387000,0.19
388000,0.19
389000,0.2
390000,0.21
391000,0.21
392000,0.2
393000,0.21
394000,0.21
395000,0.21
396000,0.21
397000,0.22
398000,0.21
399000,0.2
400000,0.19
