Idx,win_rate0
0,0.5
1000,0.5
2000,0.3333333333333333
3000,0.3
4000,0.4
5000,0.3333333333333333
6000,0.2857142857142857
7000,0.32
8000,0.34375
9000,0.32432432432432434
10000,0.35714285714285715
11000,0.3695652173913043
12000,0.4117647058823529
13000,0.41818181818181815
14000,0.4666666666666667
15000,0.47619047619047616
16000,0.4696969696969697
17000,0.4852941176470588
18000,0.4657534246575342
19000,0.4868421052631579
20000,0.49382716049382713
21000,0.49411764705882355
22000,0.4942528735632184
23000,0.5054945054945055
24000,0.4842105263157895
25000,0.4897959183673469
26000,0.48
27000,0.49
28000,0.51
29000,0.52
30000,0.51
31000,0.53
32000,0.54
33000,0.57
34000,0.57
35000,0.57
36000,0.58
37000,0.59
38000,0.58
39000,0.58
40000,0.58
41000,0.57
42000,0.56
43000,0.55
44000,0.55
45000,0.55
46000,0.54
47000,0.55
48000,0.53
49000,0.52
50000,0.5
51000,0.5
52000,0.5
53000,0.51
54000,0.52
55000,0.53
56000,0.54
57000,0.54
58000,0.54
59000,0.54
60000,0.54
61000,0.55
62000,0.56
63000,0.56
64000,0.55
65000,0.56
66000,0.56
67000,0.56
68000,0.59
69000,0.59
70000,0.6
71000,0.61
72000,0.61
73000,0.59
74000,0.6
75000,0.61
76000,0.63
77000,0.63
78000,0.63
79000,0.64
80000,0.65
81000,0.65
82000,0.66
83000,0.66
84000,0.68
85000,0.7
86000,0.71
87000,0.73
88000,0.73
89000,0.73
90000,0.71
91000,0.72
92000,0.73
93000,0.74
94000,0.73
95000,0.76
96000,0.77
97000,0.75
98000,0.76
99000,0.78
100000,0.79
101000,0.79
102000,0.79
103000,0.8
104000,0.81
105000,0.78
106000,0.8
107000,0.79
108000,0.8
109000,0.82
110000,0.83
111000,0.86
112000,0.86
113000,0.87
114000,0.87
115000,0.86
116000,0.86
117000,0.86
118000,0.85
119000,0.83
120000,0.82
121000,0.8
122000,0.81
123000,0.81
124000,0.79
125000,0.81
126000,0.81
127000,0.8
128000,0.79
129000,0.78
130000,0.77
131000,0.75
132000,0.75
133000,0.75
134000,0.75
135000,0.74
136000,0.74
137000,0.71
138000,0.7
139000,0.71
140000,0.72
141000,0.73
142000,0.74
143000,0.74
144000,0.77
145000,0.77
146000,0.78
147000,0.8
148000,0.82
149000,0.84
150000,0.86
151000,0.86
152000,0.86
153000,0.86
154000,0.86
155000,0.86
156000,0.88
157000,0.88
158000,0.85
159000,0.85
160000,0.85
161000,0.84
162000,0.84
163000,0.83
164000,0.81
165000,0.78
166000,0.76
167000,0.77
168000,0.75
169000,0.75
170000,0.72
171000,0.73
172000,0.71
173000,0.68
174000,0.68
175000,0.68
176000,0.69
177000,0.7
178000,0.7
179000,0.67
180000,0.67
181000,0.67
182000,0.67
183000,0.67
184000,0.68
185000,0.67
186000,0.66
187000,0.66
188000,0.65
189000,0.67
190000,0.68
191000,0.68
192000,0.69
193000,0.7
194000,0.72
195000,0.7
196000,0.7
197000,0.71
198000,0.73
199000,0.74
200000,0.75
201000,0.76
202000,0.75
203000,0.74
204000,0.74
205000,0.73
206000,0.73
207000,0.72
208000,0.7
209000,0.71
210000,0.71
211000,0.71
212000,0.71
213000,0.72
214000,0.73
215000,0.72
216000,0.72
217000,0.71
218000,0.72
219000,0.73
220000,0.73
221000,0.71
222000,0.71
223000,0.71
224000,0.72
225000,0.71
226000,0.7
227000,0.7
228000,0.71
229000,0.72
230000,0.7
231000,0.7
232000,0.69
233000,0.69
234000,0.67
235000,0.67
236000,0.66
237000,0.63
238000,0.61
239000,0.58
240000,0.59
241000,0.59
242000,0.59
243000,0.63
244000,0.66
245000,0.68
246000,0.7
247000,0.73
248000,0.73
249000,0.7
250000,0.69
251000,0.71
252000,0.7
253000,0.68
254000,0.69
255000,0.7
256000,0.67
257000,0.63
258000,0.62
259000,0.6
260000,0.6
261000,0.59
262000,0.61
263000,0.63
264000,0.65
265000,0.64
266000,0.64
267000,0.65
268000,0.67
269000,0.67
270000,0.66
271000,0.65
272000,0.65
273000,0.65
274000,0.65
275000,0.66
276000,0.67
277000,0.67
278000,0.67
279000,0.67
280000,0.68
281000,0.68
282000,0.67
283000,0.66
284000,0.66
285000,0.66
286000,0.66
287000,0.67
288000,0.67
289000,0.66
290000,0.67
291000,0.66
292000,0.67
293000,0.68
294000,0.69
295000,0.69
296000,0.69
297000,0.69
298000,0.68
299000,0.69
300000,0.67
301000,0.67
302000,0.68
303000,0.68
304000,0.66
305000,0.67
306000,0.7
307000,0.71
308000,0.71
309000,0.72
310000,0.73
311000,0.71
312000,0.7
313000,0.71
314000,0.7
315000,0.7
316000,0.7
317000,0.7
318000,0.71
319000,0.71
320000,0.7
321000,0.69
322000,0.71
323000,0.69
324000,0.69
325000,0.71
326000,0.71
327000,0.73
328000,0.73
329000,0.74
330000,0.73
331000,0.74
332000,0.71
333000,0.72
334000,0.72
335000,0.71
336000,0.71
337000,0.7
338000,0.73
339000,0.74
340000,0.74
341000,0.74
342000,0.74
343000,0.75
344000,0.75
345000,0.73
346000,0.73
347000,0.73
348000,0.73
349000,0.73
350000,0.74
351000,0.75
352000,0.74
353000,0.75
354000,0.75
355000,0.76
356000,0.77
357000,0.77
358000,0.77
359000,0.78
360000,0.77
361000,0.79
362000,0.78
363000,0.78
364000,0.76
365000,0.76
366000,0.77
367000,0.8
368000,0.8
369000,0.8
370000,0.81
371000,0.81
372000,0.81
373000,0.8
374000,0.8
375000,0.79
376000,0.79
377000,0.79
378000,0.78
379000,0.77
380000,0.76
381000,0.76
382000,0.76
383000,0.76
384000,0.76
385000,0.77
386000,0.76
387000,0.76
388000,0.76
389000,0.76
390000,0.77
391000,0.78
392000,0.76
393000,0.77
394000,0.77
395000,0.76
396000,0.77
397000,0.76
398000,0.77
399000,0.78
400000,0.78
401000,0.78
402000,0.76
403000,0.75
404000,0.75
405000,0.74
406000,0.73
407000,0.73
408000,0.73
409000,0.72
410000,0.72
411000,0.7
412000,0.7
413000,0.7
414000,0.71
415000,0.72
416000,0.71
417000,0.69
418000,0.67
419000,0.67
420000,0.67
421000,0.67
422000,0.66
423000,0.65
424000,0.67
425000,0.66
426000,0.67
427000,0.67
428000,0.66
429000,0.67
430000,0.67
431000,0.65
432000,0.64
433000,0.65
434000,0.64
435000,0.64
436000,0.65
437000,0.67
438000,0.69
439000,0.7
440000,0.7
441000,0.69
442000,0.69
443000,0.7
444000,0.7
445000,0.71
446000,0.71
447000,0.72
448000,0.73
449000,0.72
450000,0.73
451000,0.74
452000,0.73
453000,0.73
454000,0.72
455000,0.72
456000,0.72
457000,0.71
458000,0.68
459000,0.68
460000,0.68
461000,0.66
462000,0.67
463000,0.67
464000,0.68
465000,0.68
466000,0.67
467000,0.68
468000,0.69
469000,0.69
470000,0.69
471000,0.69
472000,0.68
473000,0.69
474000,0.68
475000,0.68
476000,0.69
477000,0.69
478000,0.7
479000,0.7
480000,0.69
481000,0.69
482000,0.68
483000,0.69
484000,0.67
485000,0.69
486000,0.7
487000,0.72
488000,0.73
489000,0.72
490000,0.72
491000,0.71
492000,0.68
493000,0.69
494000,0.69
495000,0.68
496000,0.67
497000,0.66
498000,0.66
499000,0.66
500000,0.66
501000,0.63
502000,0.62
503000,0.64
504000,0.65
505000,0.66
506000,0.66
507000,0.66
508000,0.66
509000,0.65
510000,0.65
511000,0.63
512000,0.63
513000,0.64
514000,0.64
515000,0.62
516000,0.61
517000,0.61
518000,0.62
519000,0.62
520000,0.62
521000,0.64
522000,0.65
523000,0.62
524000,0.62
525000,0.62
526000,0.64
527000,0.64
528000,0.64
529000,0.63
530000,0.64
531000,0.63
532000,0.65
533000,0.66
534000,0.67
535000,0.68
536000,0.67
537000,0.67
538000,0.69
539000,0.71
540000,0.72
541000,0.73
542000,0.72
543000,0.74
544000,0.74
545000,0.73
546000,0.74
547000,0.75
548000,0.75
549000,0.76
550000,0.74
551000,0.74
