Idx,win_rate0
0,0.5
1000,0.8
2000,0.6
3000,0.5833333333333334
4000,0.6470588235294118
5000,0.65
6000,0.625
7000,0.5172413793103449
8000,0.5625
9000,0.5882352941176471
10000,0.6052631578947368
11000,0.625
12000,0.6046511627906976
13000,0.5882352941176471
14000,0.6181818181818182
15000,0.6101694915254238
16000,0.640625
17000,0.6428571428571429
18000,0.631578947368421
19000,0.6463414634146342
20000,0.6395348837209303
21000,0.6333333333333333
22000,0.6170212765957447
23000,0.6161616161616161
24000,0.61
25000,0.61
26000,0.61
27000,0.61
28000,0.61
29000,0.61
30000,0.63
31000,0.62
32000,0.6
33000,0.61
34000,0.59
35000,0.62
36000,0.63
37000,0.63
38000,0.63
39000,0.62
40000,0.64
41000,0.65
42000,0.64
43000,0.64
44000,0.67
45000,0.67
46000,0.68
47000,0.68
48000,0.66
49000,0.66
50000,0.64
51000,0.64
52000,0.65
53000,0.68
54000,0.66
55000,0.65
56000,0.65
57000,0.67
58000,0.66
59000,0.65
60000,0.66
61000,0.63
62000,0.62
63000,0.6
64000,0.6
65000,0.59
66000,0.57
67000,0.56
68000,0.56
69000,0.57
70000,0.6
71000,0.61
72000,0.62
73000,0.65
74000,0.65
75000,0.64
76000,0.66
77000,0.69
78000,0.68
79000,0.68
80000,0.69
81000,0.7
82000,0.69
83000,0.71
84000,0.72
85000,0.72
86000,0.73
87000,0.75
88000,0.75
89000,0.76
90000,0.73
91000,0.73
92000,0.7
93000,0.7
94000,0.69
95000,0.67
96000,0.68
97000,0.67
98000,0.68
99000,0.68
100000,0.68
101000,0.67
102000,0.68
103000,0.65
104000,0.64
105000,0.62
106000,0.6
107000,0.61
108000,0.6
109000,0.6
110000,0.61
111000,0.63
112000,0.63
113000,0.64
114000,0.65
115000,0.65
116000,0.63
117000,0.64
118000,0.63
119000,0.64
120000,0.63
121000,0.64
122000,0.63
123000,0.61
124000,0.61
125000,0.61
126000,0.6
127000,0.6
128000,0.61
129000,0.63
130000,0.62
131000,0.62
132000,0.61
133000,0.64
134000,0.64
135000,0.61
136000,0.6
137000,0.58
138000,0.58
139000,0.58
140000,0.59
141000,0.6
142000,0.6
143000,0.6
144000,0.57
145000,0.58
146000,0.57
147000,0.58
148000,0.59
149000,0.59
150000,0.59
151000,0.57
152000,0.58
153000,0.59
154000,0.58
155000,0.61
156000,0.61
157000,0.62
158000,0.61
159000,0.62
160000,0.64
161000,0.66
162000,0.67
163000,0.67
164000,0.64
165000,0.65
166000,0.69
167000,0.69
168000,0.67
169000,0.66
170000,0.66
171000,0.66
172000,0.66
173000,0.65
174000,0.66
175000,0.68
176000,0.69
177000,0.66
178000,0.68
179000,0.68
180000,0.7
181000,0.69
182000,0.68
183000,0.65
184000,0.65
185000,0.65
186000,0.63
187000,0.61
188000,0.65
189000,0.63
190000,0.62
191000,0.63
192000,0.62
193000,0.64
194000,0.65
195000,0.66
196000,0.67
197000,0.68
198000,0.67
199000,0.67
200000,0.68
201000,0.68
202000,0.69
203000,0.67
204000,0.67
205000,0.67
206000,0.66
207000,0.67
208000,0.67
209000,0.67
210000,0.67
211000,0.67
212000,0.65
213000,0.66
214000,0.67
215000,0.65
216000,0.63
217000,0.64
218000,0.65
219000,0.65
220000,0.65
221000,0.66
222000,0.65
223000,0.65
224000,0.65
225000,0.65
226000,0.65
227000,0.66
228000,0.66
229000,0.66
230000,0.67
231000,0.67
232000,0.64
233000,0.63
234000,0.62
235000,0.61
236000,0.6
237000,0.62
238000,0.6
239000,0.62
240000,0.59
241000,0.6
242000,0.61
243000,0.61
244000,0.63
245000,0.62
246000,0.58
247000,0.57
248000,0.58
249000,0.58
250000,0.58
251000,0.58
252000,0.56
253000,0.54
254000,0.55
255000,0.55
256000,0.57
257000,0.57
258000,0.55
259000,0.56
260000,0.58
261000,0.59
262000,0.59
263000,0.59
264000,0.6
265000,0.6
266000,0.61
267000,0.62
268000,0.63
269000,0.64
270000,0.65
271000,0.64
272000,0.62
273000,0.62
274000,0.62
275000,0.61
276000,0.63
277000,0.64
278000,0.64
279000,0.63
280000,0.63
281000,0.63
282000,0.63
283000,0.63
284000,0.63
285000,0.61
286000,0.63
287000,0.65
288000,0.64
289000,0.64
290000,0.62
291000,0.62
292000,0.61
293000,0.62
294000,0.6
295000,0.61
296000,0.6
297000,0.64
298000,0.64
299000,0.63
300000,0.62
301000,0.61
302000,0.6
303000,0.62
304000,0.62
305000,0.64
306000,0.63
307000,0.63
308000,0.65
309000,0.62
310000,0.6
311000,0.61
312000,0.65
313000,0.66
314000,0.68
315000,0.68
316000,0.69
317000,0.7
318000,0.7
319000,0.69
320000,0.68
321000,0.67
322000,0.68
323000,0.67
324000,0.65
325000,0.66
326000,0.66
327000,0.66
328000,0.64
329000,0.64
330000,0.63
331000,0.65
332000,0.64
333000,0.62
334000,0.62
335000,0.61
336000,0.63
337000,0.62
338000,0.61
339000,0.6
340000,0.58
341000,0.58
342000,0.59
343000,0.57
344000,0.58
345000,0.58
346000,0.61
347000,0.63
348000,0.63
349000,0.62
350000,0.64
351000,0.63
352000,0.65
353000,0.64
354000,0.64
355000,0.67
356000,0.66
357000,0.66
358000,0.66
359000,0.63
360000,0.66
361000,0.68
362000,0.69
363000,0.68
364000,0.68
365000,0.69
366000,0.71
367000,0.71
368000,0.7
369000,0.69
370000,0.7
371000,0.69
372000,0.7
373000,0.72
374000,0.71
375000,0.73
376000,0.74
377000,0.75
378000,0.75
379000,0.73
380000,0.7
381000,0.71
382000,0.69
383000,0.69
384000,0.69
385000,0.69
386000,0.67
387000,0.66
388000,0.65
389000,0.64
390000,0.64
391000,0.64
392000,0.65
393000,0.64
394000,0.65
395000,0.63
396000,0.64
397000,0.64
398000,0.63
399000,0.62
400000,0.61
401000,0.62
402000,0.65
403000,0.68
404000,0.67
405000,0.68
406000,0.69
407000,0.69
408000,0.69
409000,0.7
410000,0.73
411000,0.75
412000,0.75
413000,0.77
414000,0.77
415000,0.78
416000,0.77
417000,0.74
418000,0.74
419000,0.74
420000,0.75
421000,0.73
422000,0.71
423000,0.72
424000,0.72
425000,0.7
426000,0.68
427000,0.67
428000,0.67
429000,0.66
430000,0.63
431000,0.64
432000,0.61
433000,0.6
434000,0.58
435000,0.56
436000,0.58
437000,0.58
438000,0.58
439000,0.58
440000,0.57
441000,0.59
442000,0.6
443000,0.58
444000,0.61
445000,0.62
446000,0.63
447000,0.64
448000,0.65
449000,0.68
450000,0.67
451000,0.67
452000,0.68
453000,0.7
454000,0.71
