Idx,win_rate0
0,0.5
1000,0.4
2000,0.3333333333333333
3000,0.25
4000,0.18181818181818182
5000,0.16666666666666666
6000,0.14285714285714285
7000,0.14285714285714285
8000,0.1111111111111111
9000,0.09523809523809523
10000,0.09090909090909091
11000,0.08695652173913043
12000,0.08333333333333333
13000,0.12
14000,0.12
15000,0.10714285714285714
16000,0.10344827586206896
17000,0.13333333333333333
18000,0.14705882352941177
19000,0.1388888888888889
20000,0.1388888888888889
21000,0.125
22000,0.1111111111111111
23000,0.10416666666666667
24000,0.09803921568627451
25000,0.09615384615384616
26000,0.09615384615384616
27000,0.1111111111111111
28000,0.1
29000,0.09230769230769231
30000,0.08955223880597014
31000,0.08695652173913043
32000,0.08333333333333333
33000,0.08108108108108109
34000,0.09090909090909091
35000,0.09090909090909091
36000,0.08860759493670886
37000,0.08641975308641975
38000,0.09302325581395349
39000,0.09195402298850575
40000,0.09090909090909091
41000,0.08791208791208792
42000,0.08602150537634409
43000,0.08602150537634409
44000,0.08333333333333333
45000,0.09
46000,0.08
47000,0.08
48000,0.08
49000,0.09
50000,0.09
51000,0.09
52000,0.09
53000,0.1
54000,0.11
55000,0.1
56000,0.1
57000,0.09
58000,0.1
59000,0.1
60000,0.1
61000,0.1
62000,0.1
63000,0.11
64000,0.12
65000,0.12
66000,0.12
67000,0.12
68000,0.13
69000,0.14
70000,0.14
71000,0.14
72000,0.13
73000,0.13
74000,0.14
75000,0.14
76000,0.14
77000,0.13
78000,0.15
79000,0.15
80000,0.14
81000,0.14
82000,0.13
83000,0.13
84000,0.13
85000,0.13
86000,0.14
87000,0.13
88000,0.13
89000,0.13
90000,0.13
91000,0.12
92000,0.13
93000,0.13
94000,0.13
95000,0.13
96000,0.13
97000,0.13
98000,0.13
99000,0.14
100000,0.14
101000,0.14
102000,0.13
103000,0.13
104000,0.13
105000,0.12
106000,0.12
107000,0.12
108000,0.11
109000,0.11
110000,0.11
111000,0.12
112000,0.11
113000,0.11
114000,0.11
115000,0.11
116000,0.11
117000,0.11
118000,0.11
119000,0.11
120000,0.11
121000,0.11
122000,0.11
123000,0.12
124000,0.12
125000,0.12
126000,0.12
127000,0.12
128000,0.12
129000,0.12
130000,0.12
131000,0.12
132000,0.12
133000,0.12
134000,0.12
135000,0.12
136000,0.12
137000,0.12
138000,0.1
139000,0.1
