Idx,win_rate0
0,0.5
1000,0.2
2000,0.2727272727272727
3000,0.35714285714285715
4000,0.4117647058823529
5000,0.42857142857142855
6000,0.52
7000,0.5333333333333333
8000,0.5151515151515151
9000,0.5
10000,0.5
11000,0.45652173913043476
12000,0.42857142857142855
13000,0.44
14000,0.43636363636363634
15000,0.42105263157894735
16000,0.4098360655737705
17000,0.40298507462686567
18000,0.40540540540540543
19000,0.4025974025974026
20000,0.4146341463414634
21000,0.4186046511627907
22000,0.42045454545454547
23000,0.4065934065934066
24000,0.40860215053763443
25000,0.4166666666666667
26000,0.44
27000,0.44
28000,0.45
29000,0.47
30000,0.46
31000,0.45
32000,0.43
33000,0.44
34000,0.43
35000,0.43
36000,0.42
37000,0.44
38000,0.45
39000,0.45
40000,0.44
41000,0.45
42000,0.47
43000,0.48
44000,0.48
45000,0.49
46000,0.49
47000,0.48
48000,0.51
49000,0.5
50000,0.5
51000,0.49
52000,0.46
53000,0.45
54000,0.45
55000,0.44
56000,0.45
57000,0.47
58000,0.48
59000,0.47
60000,0.47
61000,0.44
62000,0.46
63000,0.48
64000,0.49
65000,0.47
66000,0.47
67000,0.48
68000,0.47
69000,0.49
70000,0.47
71000,0.45
72000,0.45
73000,0.46
74000,0.46
75000,0.48
76000,0.46
77000,0.46
78000,0.45
79000,0.44
80000,0.44
81000,0.45
82000,0.47
83000,0.49
84000,0.47
85000,0.47
86000,0.46
87000,0.47
88000,0.48
89000,0.5
90000,0.49
91000,0.51
92000,0.51
93000,0.52
94000,0.53
95000,0.56
96000,0.54
97000,0.55
98000,0.56
99000,0.55
100000,0.55
101000,0.53
102000,0.51
103000,0.49
104000,0.48
105000,0.47
106000,0.47
107000,0.47
108000,0.48
109000,0.48
110000,0.48
111000,0.47
112000,0.46
113000,0.44
114000,0.44
115000,0.45
116000,0.45
117000,0.44
118000,0.43
119000,0.42
120000,0.42
121000,0.41
122000,0.41
123000,0.41
124000,0.4
125000,0.43
126000,0.42
127000,0.42
128000,0.43
129000,0.43
130000,0.45
131000,0.44
132000,0.41
133000,0.41
134000,0.39
135000,0.4
136000,0.4
137000,0.4
138000,0.41
139000,0.39
140000,0.39
141000,0.39
142000,0.37
143000,0.36
144000,0.36
145000,0.35
146000,0.35
147000,0.34
148000,0.35
149000,0.35
150000,0.36
151000,0.38
152000,0.39
153000,0.41
154000,0.42
155000,0.42
156000,0.42
157000,0.43
158000,0.41
159000,0.4
160000,0.39
161000,0.39
162000,0.41
163000,0.43
164000,0.44
165000,0.47
166000,0.47
167000,0.48
168000,0.5
169000,0.5
170000,0.5
171000,0.51
172000,0.51
173000,0.52
174000,0.52
175000,0.5
176000,0.49
177000,0.48
178000,0.49
179000,0.48
180000,0.48
181000,0.48
182000,0.5
183000,0.52
184000,0.52
185000,0.49
186000,0.48
187000,0.47
188000,0.44
189000,0.44
190000,0.44
191000,0.44
192000,0.41
193000,0.45
194000,0.44
195000,0.46
196000,0.44
197000,0.43
198000,0.43
199000,0.4
200000,0.41
201000,0.41
202000,0.41
203000,0.42
204000,0.43
205000,0.42
206000,0.42
207000,0.42
208000,0.43
209000,0.44
210000,0.45
211000,0.46
212000,0.47
213000,0.47
214000,0.48
215000,0.46
216000,0.47
217000,0.43
218000,0.41
219000,0.39
220000,0.39
221000,0.39
222000,0.4
223000,0.42
224000,0.43
225000,0.43
226000,0.43
227000,0.42
228000,0.43
229000,0.41
230000,0.41
231000,0.41
232000,0.4
233000,0.41
234000,0.41
235000,0.39
236000,0.41
237000,0.4
238000,0.4
239000,0.39
240000,0.41
241000,0.42
242000,0.42
243000,0.43
244000,0.44
245000,0.46
246000,0.47
247000,0.46
248000,0.48
249000,0.48
250000,0.47
251000,0.47
252000,0.46
253000,0.46
254000,0.45
255000,0.44
256000,0.42
257000,0.43
258000,0.43
259000,0.46
260000,0.47
261000,0.46
262000,0.46
263000,0.46
264000,0.44
265000,0.45
266000,0.44
267000,0.43
268000,0.42
269000,0.4
270000,0.38
271000,0.38
272000,0.38
273000,0.37
274000,0.38
275000,0.39
276000,0.41
277000,0.43
278000,0.45
279000,0.44
280000,0.45
281000,0.45
282000,0.44
283000,0.41
284000,0.43
285000,0.43
286000,0.43
287000,0.44
288000,0.45
289000,0.47
290000,0.47
