Idx,win_rate0
0,0.5
1000,0.6
2000,0.5555555555555556
3000,0.5384615384615384
4000,0.5555555555555556
5000,0.5833333333333334
6000,0.5333333333333333
7000,0.5714285714285714
8000,0.5526315789473685
9000,0.5813953488372093
10000,0.574468085106383
11000,0.6037735849056604
12000,0.6271186440677966
13000,0.6461538461538462
14000,0.6428571428571429
15000,0.6538461538461539
16000,0.6585365853658537
17000,0.6511627906976745
18000,0.6483516483516484
19000,0.6354166666666666
20000,0.6428571428571429
21000,0.62
22000,0.64
23000,0.64
24000,0.64
25000,0.64
26000,0.66
27000,0.67
28000,0.66
29000,0.67
30000,0.68
31000,0.67
32000,0.67
33000,0.68
34000,0.67
35000,0.66
36000,0.67
37000,0.64
38000,0.65
39000,0.64
40000,0.64
41000,0.66
42000,0.67
43000,0.69
44000,0.71
45000,0.71
46000,0.71
47000,0.71
48000,0.71
49000,0.69
50000,0.68
51000,0.67
52000,0.64
53000,0.66
54000,0.66
55000,0.65
56000,0.66
57000,0.65
58000,0.64
59000,0.64
60000,0.63
61000,0.62
62000,0.62
63000,0.6
64000,0.6
65000,0.58
66000,0.55
67000,0.54
68000,0.57
69000,0.54
70000,0.56
71000,0.55
72000,0.56
73000,0.57
74000,0.57
75000,0.59
76000,0.59
77000,0.59
78000,0.57
79000,0.58
80000,0.57
81000,0.56
82000,0.57
83000,0.56
84000,0.57
85000,0.56
86000,0.56
87000,0.57
88000,0.56
89000,0.59
90000,0.58
91000,0.6
92000,0.62
93000,0.61
94000,0.63
95000,0.62
96000,0.63
97000,0.63
98000,0.63
99000,0.63
100000,0.63
101000,0.64
102000,0.67
103000,0.68
104000,0.7
105000,0.71
106000,0.72
107000,0.71
108000,0.71
109000,0.71
110000,0.71
111000,0.72
112000,0.72
113000,0.69
114000,0.69
115000,0.68
116000,0.66
117000,0.67
118000,0.68
119000,0.7
120000,0.7
121000,0.69
122000,0.7
123000,0.67
124000,0.66
125000,0.64
126000,0.63
127000,0.63
128000,0.66
129000,0.64
130000,0.63
131000,0.62
132000,0.61
133000,0.61
134000,0.6
135000,0.59
136000,0.59
137000,0.59
138000,0.6
139000,0.61
140000,0.61
141000,0.62
142000,0.62
143000,0.62
144000,0.6
145000,0.6
146000,0.57
147000,0.57
148000,0.59
149000,0.6
150000,0.6
151000,0.62
152000,0.62
153000,0.6
154000,0.59
155000,0.58
156000,0.6
157000,0.63
158000,0.63
159000,0.63
160000,0.62
161000,0.63
162000,0.62
163000,0.61
164000,0.59
165000,0.58
166000,0.59
167000,0.6
168000,0.61
169000,0.61
170000,0.61
171000,0.61
172000,0.63
173000,0.61
174000,0.6
175000,0.6
176000,0.59
177000,0.59
178000,0.59
179000,0.62
180000,0.62
181000,0.61
182000,0.61
183000,0.62
184000,0.61
185000,0.61
186000,0.61
187000,0.63
188000,0.62
189000,0.62
190000,0.6
191000,0.6
192000,0.6
193000,0.59
194000,0.59
195000,0.6
196000,0.57
197000,0.57
198000,0.58
199000,0.59
200000,0.6
201000,0.6
202000,0.61
203000,0.63
204000,0.64
205000,0.65
206000,0.65
207000,0.67
208000,0.67
209000,0.68
210000,0.66
211000,0.68
212000,0.69
213000,0.7
214000,0.72
215000,0.72
216000,0.73
217000,0.73
218000,0.73
219000,0.74
220000,0.71
221000,0.71
222000,0.73
223000,0.72
224000,0.73
225000,0.72
226000,0.72
227000,0.72
228000,0.72
229000,0.71
230000,0.71
231000,0.68
232000,0.67
233000,0.67
234000,0.66
235000,0.65
236000,0.64
237000,0.64
238000,0.63
239000,0.61
240000,0.62
241000,0.63
242000,0.64
243000,0.63
244000,0.64
245000,0.63
246000,0.66
247000,0.67
248000,0.66
249000,0.65
250000,0.66
251000,0.67
252000,0.65
253000,0.66
254000,0.67
255000,0.67
256000,0.67
257000,0.67
258000,0.67
259000,0.68
260000,0.67
261000,0.68
262000,0.7
263000,0.71
264000,0.73
265000,0.73
266000,0.74
267000,0.74
268000,0.73
269000,0.73
270000,0.72
271000,0.73
272000,0.72
273000,0.7
274000,0.71
275000,0.7
276000,0.71
277000,0.71
278000,0.71
279000,0.72
280000,0.72
281000,0.72
282000,0.73
283000,0.73
284000,0.72
285000,0.7
286000,0.71
287000,0.69
288000,0.68
289000,0.69
290000,0.69
291000,0.69
292000,0.69
293000,0.7
294000,0.7
295000,0.72
296000,0.71
297000,0.7
298000,0.69
