Idx,win_rate0
1000,0.25
2000,0.3333333333333333
3000,0.4
4000,0.4375
5000,0.45
6000,0.4090909090909091
7000,0.4074074074074074
8000,0.47058823529411764
9000,0.46153846153846156
10000,0.46511627906976744
11000,0.44680851063829785
12000,0.43137254901960786
13000,0.41818181818181815
14000,0.38333333333333336
15000,0.40625
16000,0.42028985507246375
17000,0.4246575342465753
18000,0.42105263157894735
19000,0.4146341463414634
20000,0.40229885057471265
21000,0.40217391304347827
22000,0.39361702127659576
23000,0.3838383838383838
24000,0.37
25000,0.35
26000,0.35
27000,0.35
28000,0.35
29000,0.35
30000,0.33
31000,0.3
32000,0.29
33000,0.29
34000,0.3
35000,0.31
36000,0.32
37000,0.34
38000,0.32
39000,0.33
40000,0.33
41000,0.33
42000,0.34
43000,0.35
44000,0.34
45000,0.35
46000,0.34
47000,0.36
48000,0.37
49000,0.38
50000,0.37
51000,0.39
52000,0.39
53000,0.39
54000,0.39
55000,0.39
56000,0.4
57000,0.4
58000,0.39
59000,0.39
60000,0.41
61000,0.4
62000,0.41
63000,0.41
64000,0.42
65000,0.4
66000,0.41
67000,0.41
68000,0.4
69000,0.39
70000,0.4
71000,0.42
72000,0.44
73000,0.44
74000,0.45
75000,0.44
76000,0.44
77000,0.47
78000,0.47
79000,0.49
80000,0.49
81000,0.47
82000,0.5
83000,0.5
84000,0.48
85000,0.48
86000,0.48
87000,0.47
88000,0.46
89000,0.46
90000,0.46
91000,0.48
92000,0.47
93000,0.48
94000,0.49
95000,0.5
96000,0.47
97000,0.45
98000,0.44
99000,0.47
100000,0.45
101000,0.46
102000,0.45
103000,0.46
104000,0.45
105000,0.42
106000,0.42
107000,0.44
108000,0.45
109000,0.43
110000,0.43
111000,0.42
112000,0.43
113000,0.43
114000,0.43
115000,0.42
116000,0.42
117000,0.4
118000,0.4
119000,0.39
120000,0.4
121000,0.41
122000,0.42
123000,0.42
124000,0.43
125000,0.41
126000,0.44
127000,0.44
128000,0.42
129000,0.4
130000,0.4
131000,0.4
132000,0.4
133000,0.38
134000,0.37
135000,0.36
136000,0.37
137000,0.38
138000,0.39
139000,0.4
140000,0.4
141000,0.42
142000,0.43
143000,0.44
144000,0.45
145000,0.45
146000,0.45
147000,0.47
148000,0.46
149000,0.44
150000,0.46
151000,0.46
152000,0.47
153000,0.45
154000,0.45
155000,0.46
156000,0.45
157000,0.47
158000,0.48
159000,0.49
160000,0.51
161000,0.52
162000,0.54
163000,0.55
164000,0.54
165000,0.52
166000,0.52
167000,0.51
168000,0.5
169000,0.48
170000,0.48
171000,0.47
172000,0.47
173000,0.47
174000,0.45
175000,0.44
176000,0.46
177000,0.46
178000,0.46
179000,0.46
180000,0.45
181000,0.44
182000,0.44
183000,0.44
184000,0.44
185000,0.45
186000,0.45
187000,0.43
188000,0.42
189000,0.44
190000,0.45
191000,0.45
192000,0.47
193000,0.48
194000,0.49
195000,0.5
196000,0.49
197000,0.48
198000,0.49
199000,0.49
200000,0.52
201000,0.55
202000,0.55
203000,0.54
204000,0.54
205000,0.54
206000,0.54
207000,0.52
208000,0.54
209000,0.54
210000,0.52
211000,0.5
212000,0.51
213000,0.52
214000,0.52
215000,0.52
216000,0.51
217000,0.51
218000,0.5
219000,0.48
220000,0.47
221000,0.47
222000,0.49
223000,0.49
224000,0.48
225000,0.47
226000,0.44
227000,0.43
228000,0.42
229000,0.42
230000,0.42
231000,0.43
232000,0.43
233000,0.44
234000,0.46
235000,0.42
236000,0.42
237000,0.43
238000,0.47
239000,0.48
240000,0.46
241000,0.47
242000,0.47
243000,0.48
244000,0.47
245000,0.48
246000,0.48
247000,0.48
248000,0.5
249000,0.51
250000,0.53
251000,0.55
252000,0.56
253000,0.54
254000,0.54
255000,0.55
256000,0.55
257000,0.55
258000,0.53
259000,0.51
260000,0.51
261000,0.52
262000,0.52
263000,0.52
264000,0.5
265000,0.48
266000,0.47
267000,0.48
268000,0.5
269000,0.5
270000,0.49
271000,0.5
272000,0.51
273000,0.5
274000,0.51
275000,0.5
276000,0.47
277000,0.46
278000,0.45
279000,0.46
280000,0.46
281000,0.46
282000,0.48
283000,0.46
284000,0.46
285000,0.47
286000,0.48
287000,0.5
288000,0.5
289000,0.49
290000,0.47
291000,0.48
292000,0.49
293000,0.52
294000,0.51
295000,0.5
296000,0.49
297000,0.47
298000,0.44
299000,0.42
300000,0.41
301000,0.4
302000,0.41
303000,0.44
304000,0.43
305000,0.42
306000,0.4
307000,0.36
308000,0.39
309000,0.39
310000,0.41
311000,0.41
312000,0.42
313000,0.4
314000,0.41
315000,0.41
316000,0.41
317000,0.43
318000,0.43
319000,0.43
320000,0.43
321000,0.42
322000,0.43
323000,0.44
324000,0.43
325000,0.44
326000,0.46
327000,0.45
328000,0.45
329000,0.47
330000,0.46
331000,0.44
332000,0.43
333000,0.44
334000,0.44
335000,0.45
336000,0.45
337000,0.45
338000,0.43
339000,0.44
340000,0.44
341000,0.44
342000,0.42
343000,0.42
344000,0.41
345000,0.43
346000,0.42
347000,0.4
348000,0.43
349000,0.43
350000,0.41
351000,0.41
352000,0.42
353000,0.45
354000,0.44
355000,0.46
356000,0.48
357000,0.47
358000,0.47
359000,0.48
360000,0.49
361000,0.49
362000,0.49
363000,0.47
364000,0.47
365000,0.47
366000,0.46
367000,0.46
368000,0.46
369000,0.46
370000,0.47
371000,0.46
372000,0.48
373000,0.47
374000,0.49
375000,0.5
376000,0.49
377000,0.48
378000,0.46
379000,0.46
380000,0.44
381000,0.44
382000,0.43
383000,0.4
384000,0.39
385000,0.39
386000,0.39
387000,0.4
388000,0.42
389000,0.43
390000,0.43
391000,0.43
392000,0.47
393000,0.47
394000,0.48
395000,0.47
396000,0.49
397000,0.49
398000,0.48
399000,0.49
400000,0.47
401000,0.46
402000,0.47
403000,0.46
404000,0.46
405000,0.46
406000,0.47
407000,0.48
408000,0.52
409000,0.51
410000,0.51
411000,0.5
412000,0.49
413000,0.49
414000,0.47
415000,0.49
416000,0.47
417000,0.46
418000,0.46
419000,0.46
420000,0.44
421000,0.44
422000,0.44
423000,0.42
424000,0.43
425000,0.43
426000,0.46
427000,0.45
428000,0.46
429000,0.47
430000,0.49
431000,0.5
432000,0.51
433000,0.51
434000,0.5
435000,0.49
436000,0.49
437000,0.53
438000,0.52
439000,0.5
440000,0.48
441000,0.49
442000,0.51
443000,0.53
444000,0.56
445000,0.56
446000,0.57
447000,0.56
448000,0.59
449000,0.57
450000,0.58
451000,0.59
452000,0.58
453000,0.56
454000,0.55
455000,0.55
456000,0.54
457000,0.55
458000,0.55
459000,0.54
460000,0.54
461000,0.56
462000,0.56
463000,0.58
464000,0.57
465000,0.55
466000,0.54
467000,0.55
468000,0.52
469000,0.47
470000,0.46
471000,0.47
472000,0.48
473000,0.47
474000,0.46
475000,0.45
476000,0.44
477000,0.44
478000,0.43
479000,0.43
480000,0.42
481000,0.44
482000,0.44
483000,0.45
484000,0.44
485000,0.44
486000,0.43
487000,0.43
488000,0.42
489000,0.41
490000,0.41
491000,0.41
492000,0.42
493000,0.43
494000,0.42
495000,0.42
496000,0.44
497000,0.43
498000,0.44
499000,0.43
500000,0.42
501000,0.44
502000,0.45
503000,0.44
504000,0.46
505000,0.45
506000,0.45
507000,0.46
508000,0.46
509000,0.46
510000,0.45
511000,0.45
512000,0.46
513000,0.48
514000,0.5
515000,0.51
516000,0.49
517000,0.47
518000,0.44
519000,0.43
520000,0.44
521000,0.45
522000,0.46
523000,0.47
524000,0.47
525000,0.48
526000,0.47
527000,0.47
528000,0.45
529000,0.45
530000,0.46
531000,0.45
532000,0.41
533000,0.42
534000,0.45
535000,0.46
536000,0.45
537000,0.43
538000,0.42
539000,0.41
540000,0.42
541000,0.44
542000,0.45
543000,0.46
544000,0.47
545000,0.46
546000,0.44
547000,0.44
548000,0.45
549000,0.43
550000,0.44
551000,0.42
552000,0.44
553000,0.46
554000,0.45
555000,0.46
556000,0.46
557000,0.45
558000,0.47
559000,0.47
560000,0.45
561000,0.42
562000,0.4
563000,0.39
564000,0.41
565000,0.41
566000,0.43
567000,0.43
568000,0.43
569000,0.42
570000,0.41
571000,0.42
572000,0.45
573000,0.45
574000,0.44
575000,0.43
576000,0.43
577000,0.42
578000,0.42
579000,0.44
580000,0.42
581000,0.4
582000,0.39
