Idx,win_rate0
0,0.5
1000,0.2
2000,0.2727272727272727
3000,0.47368421052631576
4000,0.43478260869565216
5000,0.4074074074074074
6000,0.45161290322580644
7000,0.4444444444444444
8000,0.425
9000,0.41304347826086957
10000,0.4166666666666667
11000,0.46153846153846156
12000,0.43103448275862066
13000,0.4098360655737705
14000,0.43283582089552236
15000,0.42857142857142855
16000,0.43243243243243246
17000,0.45
18000,0.4470588235294118
19000,0.47191011235955055
20000,0.46236559139784944
21000,0.4742268041237113
22000,0.48484848484848486
23000,0.49
24000,0.49
25000,0.49
26000,0.49
27000,0.47
28000,0.48
29000,0.47
30000,0.46
31000,0.48
32000,0.48
33000,0.48
34000,0.46
35000,0.49
36000,0.49
37000,0.51
38000,0.51
39000,0.49
40000,0.48
41000,0.48
42000,0.49
43000,0.49
44000,0.5
45000,0.51
46000,0.53
47000,0.54
48000,0.53
49000,0.53
50000,0.54
51000,0.54
52000,0.54
53000,0.54
54000,0.57
55000,0.56
56000,0.56
57000,0.55
58000,0.53
59000,0.51
60000,0.54
61000,0.55
62000,0.54
63000,0.53
64000,0.54
65000,0.52
66000,0.49
67000,0.48
68000,0.45
69000,0.44
70000,0.45
71000,0.46
72000,0.45
73000,0.45
74000,0.47
75000,0.48
76000,0.48
77000,0.47
78000,0.46
79000,0.46
80000,0.47
81000,0.48
82000,0.47
83000,0.45
84000,0.45
85000,0.46
86000,0.48
87000,0.49
88000,0.47
89000,0.46
90000,0.49
91000,0.49
92000,0.49
93000,0.51
94000,0.51
95000,0.52
96000,0.5
97000,0.48
98000,0.47
99000,0.45
100000,0.44
101000,0.42
102000,0.42
103000,0.44
104000,0.44
105000,0.44
106000,0.43
107000,0.45
108000,0.45
109000,0.44
110000,0.41
111000,0.4
112000,0.43
113000,0.43
114000,0.42
115000,0.44
116000,0.44
117000,0.44
118000,0.42
119000,0.42
120000,0.46
121000,0.47
122000,0.48
123000,0.47
124000,0.5
125000,0.48
126000,0.49
127000,0.48
128000,0.49
129000,0.49
130000,0.48
131000,0.48
132000,0.5
133000,0.49
134000,0.48
135000,0.48
136000,0.46
137000,0.45
138000,0.44
139000,0.42
140000,0.44
141000,0.45
142000,0.46
143000,0.46
144000,0.47
145000,0.46
146000,0.48
147000,0.49
148000,0.48
149000,0.49
150000,0.48
151000,0.5
152000,0.51
153000,0.5
154000,0.49
155000,0.5
156000,0.49
157000,0.49
158000,0.51
159000,0.51
160000,0.51
161000,0.51
162000,0.52
163000,0.52
164000,0.5
165000,0.48
166000,0.48
167000,0.47
168000,0.47
169000,0.46
170000,0.45
171000,0.43
172000,0.43
173000,0.42
174000,0.43
175000,0.4
176000,0.38
177000,0.38
178000,0.37
179000,0.38
180000,0.37
181000,0.41
182000,0.39
183000,0.39
184000,0.39
185000,0.4
186000,0.38
187000,0.37
188000,0.37
189000,0.38
190000,0.38
191000,0.4
192000,0.39
193000,0.39
194000,0.38
195000,0.38
196000,0.41
197000,0.38
198000,0.4
199000,0.41
200000,0.43
201000,0.44
202000,0.45
203000,0.46
204000,0.46
205000,0.43
206000,0.43
207000,0.42
208000,0.43
209000,0.43
210000,0.45
211000,0.45
212000,0.45
213000,0.45
214000,0.45
215000,0.44
216000,0.45
217000,0.44
218000,0.45
219000,0.43
220000,0.42
221000,0.42
222000,0.42
223000,0.4
224000,0.39
225000,0.39
226000,0.4
227000,0.41
228000,0.42
229000,0.44
230000,0.45
231000,0.45
232000,0.45
233000,0.45
234000,0.45
235000,0.43
236000,0.42
237000,0.44
238000,0.43
239000,0.45
240000,0.44
241000,0.44
242000,0.42
243000,0.43
244000,0.45
245000,0.46
246000,0.46
247000,0.45
248000,0.45
249000,0.44
250000,0.42
251000,0.4
252000,0.4
253000,0.4
254000,0.39
255000,0.37
256000,0.37
257000,0.37
258000,0.38
259000,0.38
260000,0.4
261000,0.4
262000,0.42
263000,0.42
264000,0.42
265000,0.43
266000,0.43
267000,0.43
268000,0.45
269000,0.45
270000,0.45
271000,0.44
272000,0.45
273000,0.45
274000,0.46
275000,0.46
276000,0.47
277000,0.47
278000,0.47
279000,0.46
280000,0.44
281000,0.46
282000,0.44
283000,0.43
284000,0.43
285000,0.42
286000,0.42
287000,0.42
288000,0.39
289000,0.38
290000,0.36
