Idx,win_rate0,win_rate1,win_rate2
0,0.5,0.5,0.5
1000,0.25,0.0,0.0
2000,0.3,0.0,0.14285714285714285
3000,0.3333333333333333,0.0,0.09090909090909091
4000,0.3125,0.0,0.14285714285714285
5000,0.2857142857142857,0.0,0.125
6000,0.30434782608695654,0.0,0.1111111111111111
7000,0.2962962962962963,0.0625,0.09523809523809523
8000,0.2903225806451613,0.1,0.08695652173913043
9000,0.29411764705882354,0.16,0.07692307692307693
10000,0.2894736842105263,0.13793103448275862,0.07142857142857142
11000,0.2619047619047619,0.12121212121212122,0.06666666666666667
12000,0.2558139534883721,0.19444444444444445,0.08333333333333333
13000,0.2826086956521739,0.1794871794871795,0.10526315789473684
14000,0.2653061224489796,0.18604651162790697,0.1
15000,0.26,0.18181818181818182,0.11363636363636363
16000,0.2692307692307692,0.21739130434782608,0.13043478260869565
17000,0.2777777777777778,0.20833333333333334,0.14893617021276595
18000,0.26785714285714285,0.2,0.17647058823529413
19000,0.25862068965517243,0.18518518518518517,0.16666666666666666
20000,0.2857142857142857,0.1724137931034483,0.17543859649122806
21000,0.28125,0.18032786885245902,0.1724137931034483
22000,0.26865671641791045,0.19047619047619047,0.1774193548387097
23000,0.2714285714285714,0.2,0.16923076923076924
24000,0.2602739726027397,0.19117647058823528,0.16176470588235295
25000,0.25333333333333335,0.18571428571428572,0.18309859154929578
26000,0.2564102564102564,0.18055555555555555,0.17567567567567569
27000,0.2619047619047619,0.2,0.17105263157894737
28000,0.24719101123595505,0.19480519480519481,0.1794871794871795
29000,0.2391304347826087,0.19480519480519481,0.18292682926829268
30000,0.25252525252525254,0.189873417721519,0.19047619047619047
31000,0.25,0.18072289156626506,0.19767441860465115
32000,0.25,0.18604651162790697,0.20224719101123595
33000,0.26,0.18181818181818182,0.1956521739130435
34000,0.26,0.18888888888888888,0.20408163265306123
35000,0.27,0.20212765957446807,0.2
36000,0.26,0.20408163265306123,0.21
37000,0.26,0.21,0.21
38000,0.27,0.21,0.21
39000,0.26,0.22,0.22
40000,0.27,0.22,0.22
41000,0.29,0.24,0.22
42000,0.31,0.23,0.22
43000,0.31,0.22,0.22
44000,0.33,0.22,0.22
45000,0.34,0.23,0.22
46000,0.34,0.21,0.24
47000,0.35,0.21,0.26
48000,0.36,0.21,0.28
49000,0.36,0.21,0.3
50000,0.36,0.21,0.3
51000,0.35,0.22,0.28
52000,0.36,0.25,0.28
53000,0.37,0.23,0.28
54000,0.37,0.24,0.29
55000,0.38,0.25,0.29
56000,0.4,0.24,0.3
57000,0.4,0.27,0.3
58000,0.4,0.28,0.3
59000,0.4,0.29,0.31
60000,0.41,0.29,0.31
61000,0.41,0.29,0.3
62000,0.4,0.28,0.3
63000,0.41,0.31,0.31
64000,0.41,0.31,0.3
65000,0.41,0.31,0.31
66000,0.41,0.3,0.31
67000,0.4,0.29,0.31
68000,0.4,0.28,0.34
69000,0.41,0.3,0.32
70000,0.43,0.31,0.34
71000,0.44,0.31,0.33
72000,0.4,0.32,0.33
73000,0.4,0.33,0.34
74000,0.37,0.31,0.35
75000,0.34,0.33,0.37
76000,0.34,0.34,0.37
77000,0.34,0.33,0.36
78000,0.34,0.33,0.35
79000,0.34,0.34,0.35
80000,0.33,0.36,0.37
81000,0.34,0.37,0.37
82000,0.35,0.37,0.35
83000,0.37,0.36,0.36
84000,0.36,0.38,0.38
85000,0.34,0.39,0.37
86000,0.33,0.38,0.38
87000,0.32,0.39,0.39
88000,0.34,0.41,0.4
89000,0.34,0.41,0.4
90000,0.35,0.41,0.41
91000,0.34,0.41,0.42
92000,0.34,0.42,0.4
93000,0.33,0.46,0.4
94000,0.34,0.48,0.4
95000,0.34,0.49,0.4
96000,0.32,0.49,0.41
97000,0.31,0.49,0.42
98000,0.32,0.49,0.41
99000,0.31,0.49,0.41
100000,0.32,0.51,0.39
101000,0.33,0.51,0.4
102000,0.35,0.52,0.4
103000,0.37,0.53,0.41
104000,0.38,0.52,0.43
105000,0.4,0.52,0.44
106000,0.41,0.53,0.44
107000,0.43,0.52,0.41
108000,0.42,0.5,0.4
109000,0.41,0.49,0.42
110000,0.43,0.48,0.42
111000,0.43,0.47,0.42
112000,0.43,0.48,0.4
113000,0.43,0.46,0.42
114000,0.42,0.44,0.4
115000,0.41,0.45,0.39
116000,0.42,0.45,0.41
117000,0.4,0.45,0.41
118000,0.4,0.44,0.41
119000,0.4,0.44,0.41
120000,0.4,0.43,0.42
121000,0.4,0.43,0.4
122000,0.41,0.43,0.39
123000,0.41,0.45,0.39
124000,0.42,0.44,0.38
125000,0.43,0.44,0.37
126000,0.4,0.42,0.37
127000,0.39,0.44,0.37
128000,0.39,0.44,0.38
129000,0.4,0.43,0.38
130000,0.4,0.44,0.37
131000,0.42,0.43,0.38
132000,0.42,0.45,0.38
133000,0.41,0.46,0.38
134000,0.38,0.47,0.36
135000,0.37,0.47,0.36
136000,0.36,0.5,0.37
137000,0.38,0.52,0.37
138000,0.37,0.54,0.37
139000,0.37,0.55,0.35
140000,0.37,0.55,0.33
141000,0.36,0.55,0.32
142000,0.37,0.53,0.32
143000,0.36,0.54,0.32
144000,0.36,0.55,0.3
145000,0.36,0.54,0.33
146000,0.37,0.53,0.31
147000,0.37,0.53,0.32
148000,0.37,0.55,0.32
149000,0.39,0.55,0.31
150000,0.41,0.54,0.33
151000,0.4,0.55,0.34
152000,0.4,0.54,0.34
153000,0.41,0.53,0.36
154000,0.41,0.52,0.36
155000,0.43,0.53,0.37
156000,0.43,0.52,0.39
157000,0.44,0.52,0.39
