Idx,win_rate0,win_rate1,win_rate2
0,0.5,0.5,0.5
1000,0.5,0.2,0.5
2000,0.5,0.4444444444444444,0.5714285714285714
3000,0.5714285714285714,0.5384615384615384,0.5454545454545454
4000,0.6666666666666666,0.5555555555555556,0.6470588235294118
5000,0.6774193548387096,0.5909090909090909,0.6956521739130435
6000,0.6470588235294118,0.5925925925925926,0.6296296296296297
7000,0.6666666666666666,0.6451612903225806,0.6551724137931034
8000,0.6666666666666666,0.6176470588235294,0.6666666666666666
9000,0.6382978723404256,0.5526315789473685,0.6578947368421053
10000,0.6274509803921569,0.5681818181818182,0.627906976744186
11000,0.631578947368421,0.6,0.6458333333333334
12000,0.6031746031746031,0.6,0.6666666666666666
13000,0.5909090909090909,0.6031746031746031,0.609375
14000,0.6,0.5882352941176471,0.6323529411764706
15000,0.6052631578947368,0.6027397260273972,0.6338028169014085
16000,0.6219512195121951,0.6025641025641025,0.6081081081081081
17000,0.632183908045977,0.6071428571428571,0.5949367088607594
18000,0.631578947368421,0.6206896551724138,0.5903614457831325
19000,0.6464646464646465,0.6382978723404256,0.6022727272727273
20000,0.64,0.61,0.6105263157894737
21000,0.66,0.62,0.6082474226804123
22000,0.67,0.63,0.61
23000,0.65,0.64,0.61
24000,0.66,0.65,0.61
25000,0.66,0.67,0.6
26000,0.64,0.69,0.58
27000,0.65,0.7,0.58
28000,0.68,0.7,0.58
29000,0.72,0.72,0.56
30000,0.72,0.73,0.57
31000,0.72,0.73,0.57
32000,0.71,0.74,0.57
33000,0.72,0.73,0.58
34000,0.7,0.72,0.61
35000,0.68,0.76,0.61
36000,0.67,0.78,0.65
37000,0.69,0.77,0.66
38000,0.71,0.76,0.65
39000,0.7,0.74,0.64
40000,0.72,0.71,0.64
41000,0.72,0.7,0.64
42000,0.71,0.68,0.66
43000,0.7,0.68,0.64
44000,0.7,0.67,0.66
45000,0.71,0.67,0.66
46000,0.71,0.69,0.67
47000,0.72,0.67,0.68
48000,0.75,0.66,0.69
49000,0.75,0.67,0.7
50000,0.75,0.67,0.69
51000,0.73,0.67,0.69
52000,0.73,0.68,0.69
53000,0.73,0.68,0.67
54000,0.73,0.68,0.67
55000,0.69,0.7,0.67
56000,0.7,0.72,0.7
57000,0.7,0.73,0.71
58000,0.68,0.75,0.7
59000,0.66,0.74,0.71
60000,0.66,0.73,0.7
61000,0.65,0.72,0.73
62000,0.64,0.73,0.74
63000,0.63,0.68,0.74
64000,0.64,0.67,0.74
65000,0.66,0.65,0.75
66000,0.64,0.62,0.72
67000,0.64,0.63,0.72
68000,0.62,0.65,0.71
69000,0.62,0.62,0.74
70000,0.63,0.62,0.73
71000,0.62,0.6,0.72
72000,0.64,0.58,0.73
73000,0.65,0.58,0.74
74000,0.65,0.57,0.75
75000,0.66,0.61,0.74
76000,0.68,0.64,0.75
77000,0.69,0.61,0.74
78000,0.7,0.59,0.74
79000,0.69,0.61,0.74
80000,0.69,0.62,0.73
81000,0.67,0.62,0.72
82000,0.66,0.62,0.72
83000,0.65,0.66,0.73
84000,0.64,0.67,0.72
85000,0.66,0.66,0.74
86000,0.67,0.7,0.73
87000,0.67,0.73,0.73
88000,0.69,0.72,0.72
89000,0.68,0.74,0.72
90000,0.66,0.77,0.72
91000,0.66,0.8,0.7
92000,0.64,0.79,0.69
93000,0.66,0.78,0.68
94000,0.66,0.76,0.66
95000,0.7,0.75,0.65
96000,0.7,0.74,0.65
97000,0.71,0.73,0.67
98000,0.69,0.74,0.69
99000,0.69,0.73,0.7
100000,0.7,0.72,0.7
101000,0.68,0.7,0.69
102000,0.68,0.68,0.69
