,Unnamed: 0,Idx,win_rate0,win_rate1,win_rate2,win_rate3,win_rate4,win_rate5
0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
1,1,1000,0.3076923076923077,0.3076923076923077,0.05263157894736842,0.26666666666666666,0.1,0.21428571428571427
2,2,2000,0.3,0.3,0.05555555555555555,0.2647058823529412,0.15151515151515152,0.21875
3,3,3000,0.3571428571428571,0.3333333333333333,0.09090909090909091,0.19298245614035087,0.18867924528301888,0.22
4,4,4000,0.375,0.3571428571428571,0.12121212121212122,0.24193548387096775,0.14705882352941177,0.2459016393442623
5,5,5000,0.3333333333333333,0.3076923076923077,0.1411764705882353,0.21052631578947367,0.1511627906976744,0.25333333333333335
6,6,6000,0.2921348314606741,0.2747252747252747,0.14,0.2222222222222222,0.13,0.23255813953488372
7,7,7000,0.2727272727272727,0.27,0.16,0.25,0.16,0.24742268041237114
8,8,8000,0.24,0.22,0.16,0.24,0.18,0.25
9,9,9000,0.21,0.19,0.17,0.23,0.19,0.24
10,10,10000,0.17,0.16,0.19,0.23,0.19,0.23
11,11,11000,0.17,0.16,0.18,0.24,0.23,0.23
12,12,12000,0.17,0.15,0.2,0.23,0.26,0.22
13,13,13000,0.17,0.16,0.23,0.21,0.26,0.22
14,14,14000,0.16,0.17,0.24,0.23,0.27,0.21
15,15,15000,0.15,0.15,0.24,0.2,0.29,0.23
16,16,16000,0.13,0.18,0.27,0.21,0.3,0.26
17,17,17000,0.17,0.21,0.28,0.23,0.3,0.25
18,18,18000,0.16,0.21,0.27,0.21,0.29,0.28
19,19,19000,0.16,0.21,0.28,0.23,0.28,0.3
20,20,20000,0.19,0.21,0.3,0.23,0.25,0.32
21,21,21000,0.23,0.24,0.3,0.24,0.23,0.33
22,22,22000,0.25,0.28,0.29,0.26,0.25,0.33
23,23,23000,0.25,0.23,0.31,0.27,0.28,0.34
24,24,24000,0.28,0.23,0.31,0.31,0.25,0.33
25,25,25000,0.27,0.23,0.31,0.31,0.25,0.31
26,26,26000,0.28,0.22,0.3,0.29,0.24,0.3
27,27,27000,0.27,0.26,0.27,0.31,0.23,0.3
28,28,28000,0.3,0.24,0.28,0.33,0.22,0.33
29,29,29000,0.28,0.2,0.27,0.34,0.26,0.34
30,30,30000,0.29,0.23,0.27,0.31,0.25,0.33
31,31,31000,0.32,0.22,0.24,0.31,0.25,0.32
32,32,32000,0.27,0.18,0.25,0.29,0.25,0.36
