,Unnamed: 0,Idx,win_rate0,win_rate1,win_rate2,win_rate3,win_rate4,win_rate5
0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
1,1,1000,0.3076923076923077,0.3076923076923077,0.05555555555555555,0.26666666666666666,0.6,0.8
2,2,2000,0.3,0.3,0.15625,0.24242424242424243,0.6190476190476191,0.7142857142857143
3,3,3000,0.3414634146341463,0.3571428571428571,0.13043478260869565,0.22,0.6451612903225806,0.71875
4,4,4000,0.3157894736842105,0.3448275862068966,0.125,0.2,0.7073170731707317,0.6976744186046512
5,5,5000,0.3181818181818182,0.2894736842105263,0.1375,0.1839080459770115,0.7307692307692307,0.7222222222222222
6,6,6000,0.3048780487804878,0.2888888888888888,0.16304347826086957,0.18,0.7580645161290323,0.7538461538461538
7,7,7000,0.2842105263157894,0.27,0.2,0.17,0.7671232876712328,0.7763157894736842
8,8,8000,0.25,0.24,0.19,0.14,0.7777777777777778,0.7674418604651163
9,9,9000,0.23,0.21,0.16,0.13,0.7865168539325843,0.7628865979381443
10,10,10000,0.21,0.17,0.18,0.15,0.79,0.78
11,11,11000,0.17,0.17,0.21,0.13,0.81,0.8
12,12,12000,0.14,0.18,0.22,0.17,0.85,0.82
13,13,13000,0.15,0.17,0.18,0.17,0.86,0.83
14,14,14000,0.17,0.17,0.17,0.18,0.83,0.86
15,15,15000,0.19,0.18,0.22,0.18,0.83,0.83
16,16,16000,0.22,0.22,0.24,0.2,0.8,0.83
17,17,17000,0.22,0.2,0.25,0.19,0.81,0.83
18,18,18000,0.24,0.23,0.27,0.21,0.81,0.83
19,19,19000,0.27,0.23,0.3,0.23,0.82,0.84
20,20,20000,0.3,0.25,0.28,0.22,0.8,0.83
21,21,21000,0.3,0.25,0.29,0.25,0.8,0.8
22,22,22000,0.29,0.26,0.31,0.27,0.8,0.8
23,23,23000,0.29,0.26,0.34,0.27,0.79,0.77
24,24,24000,0.29,0.26,0.31,0.29,0.77,0.75
25,25,25000,0.29,0.28,0.31,0.3,0.78,0.76
